Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Chinese,Mixed,Other,Don't know,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
South Wales,Tactical communication,Tactical communication,9681.0,581.0,296.0,5.0,290.0,80.0,61.0,0.0,10994.0,Excluded: Tactical Communication,Tactical Communication
South Yorkshire,Total (excluding not reported and tactical communication),*Total Tactics,10034.0,760.0,474.0,25.0,207.0,129.0,127.0,0.0,11756.0,Total,Total: all
South Yorkshire,Restraint,*Total Restraint,4275.0,320.0,202.0,13.0,104.0,57.0,39.0,0.0,5010.0,Restraint,Total: Restraint
South Yorkshire,Restraint,"Handcuffing, of which",3099.0,231.0,161.0,9.0,68.0,47.0,24.0,0.0,3639.0,Restraint,Total: Handcuffing
South Yorkshire,Restraint,Compliant handcuffing,1186.0,100.0,70.0,3.0,27.0,26.0,8.0,0.0,1420.0,Restraint,Handcuffing: compliant
South Yorkshire,Restraint,Non-compliant handcuffing,1913.0,131.0,91.0,6.0,41.0,21.0,16.0,0.0,2219.0,Restraint,Handcuffing: non-compliant
South Yorkshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
South Yorkshire,Restraint,Limb / Body restraints,275.0,23.0,11.0,0.0,8.0,4.0,3.0,0.0,324.0,Restraint,Limb / body restraints
South Yorkshire,Restraint,Ground restraint,901.0,66.0,30.0,4.0,28.0,6.0,12.0,0.0,1047.0,Restraint,Ground restraint
South Yorkshire,Unarmed skills,*Total Unarmed skills,3821.0,269.0,177.0,9.0,72.0,44.0,45.0,0.0,4437.0,Unarmed skills,Total: unarmed skills
South Yorkshire,Other equipment,*Total Other equipment,727.0,60.0,26.0,1.0,10.0,17.0,31.0,0.0,872.0,Other equipment,Total: Other equipment
South Yorkshire,Other equipment,"Baton, of which",233.0,11.0,10.0,0.0,5.0,12.0,24.0,0.0,295.0,Other equipment,Total: Baton
South Yorkshire,Other equipment,Baton drawn,140.0,8.0,7.0,0.0,3.0,9.0,15.0,0.0,182.0,Other equipment,Baton: drawn
South Yorkshire,Other equipment,Baton used,93.0,3.0,3.0,0.0,2.0,3.0,9.0,0.0,113.0,Other equipment,Baton: used
South Yorkshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
South Yorkshire,Other equipment,"Irritant spray, of which",405.0,33.0,11.0,1.0,5.0,3.0,6.0,0.0,464.0,Other equipment,Total: Irritant spray
South Yorkshire,Other equipment,Irritant spray - drawn,136.0,13.0,7.0,0.0,0.0,2.0,3.0,0.0,161.0,Other equipment,Irritant spray: drawn
South Yorkshire,Other equipment,Irritant spray - used,269.0,20.0,4.0,1.0,5.0,1.0,3.0,0.0,303.0,Other equipment,Irritant spray: used
South Yorkshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
South Yorkshire,Other equipment,Spit and bite guard,83.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,101.0,Other equipment,Spit and bite guard
South Yorkshire,Other equipment,Shield,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,Other equipment,Shield
South Yorkshire,Less lethal weapons,*Total Less lethal weapons,441.0,29.0,26.0,0.0,7.0,6.0,6.0,0.0,515.0,Less lethal weapons,Total: Less lethal weapons
South Yorkshire,Less lethal weapons,CED,438.0,28.0,25.0,0.0,7.0,6.0,6.0,0.0,510.0,Less lethal weapons,CED
South Yorkshire,Less lethal weapons,"AEP, of which",3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,Less lethal weapons,Total: AEP
South Yorkshire,Less lethal weapons,AEP aimed,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,Less lethal weapons,AEP: Aimed
South Yorkshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
South Yorkshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
South Yorkshire,Firearms,*Total Firearms,34.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,48.0,Firearms,Total: Firearms
South Yorkshire,Other,*Total Other,736.0,74.0,39.0,2.0,12.0,5.0,6.0,0.0,874.0,Other,Total: Other
South Yorkshire,Other,"Dog use, of which",75.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,94.0,Other,Total: Dog
South Yorkshire,Other,Dog deployed,49.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,60.0,Other,Dog: deployed
South Yorkshire,Other,Dog bite,26.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,34.0,Other,Dog: bite
South Yorkshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
South Yorkshire,Other,Other / improvised,661.0,69.0,26.0,2.0,11.0,5.0,6.0,0.0,780.0,Other,Other / improvised
South Yorkshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
South Yorkshire,Tactical communication,Tactical communication,3358.0,236.0,158.0,7.0,54.0,32.0,45.0,0.0,3890.0,Excluded: Tactical Communication,Tactical Communication
Staffordshire,Total (excluding not reported and tactical communication),*Total Tactics,5264.0,219.0,179.0,1.0,125.0,24.0,18.0,0.0,5830.0,Total,Total: all
Staffordshire,Restraint,*Total Restraint,3031.0,130.0,105.0,1.0,73.0,11.0,7.0,0.0,3358.0,Restraint,Total: Restraint
Staffordshire,Restraint,"Handcuffing, of which",1823.0,86.0,84.0,1.0,43.0,7.0,3.0,0.0,2047.0,Restraint,Total: Handcuffing
Staffordshire,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: compliant
Staffordshire,Restraint,Non-compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: non-compliant
Staffordshire,Restraint,Not stated handcuffing,1823.0,86.0,84.0,1.0,43.0,7.0,3.0,0.0,2047.0,Restraint,Handcuffing: not stated
Staffordshire,Restraint,Limb / Body restraints,243.0,9.0,1.0,0.0,6.0,1.0,0.0,0.0,260.0,Restraint,Limb / body restraints
Staffordshire,Restraint,Ground restraint,965.0,35.0,20.0,0.0,24.0,3.0,4.0,0.0,1051.0,Restraint,Ground restraint
Staffordshire,Unarmed skills,*Total Unarmed skills,1486.0,58.0,37.0,0.0,34.0,6.0,3.0,0.0,1624.0,Unarmed skills,Total: unarmed skills
Staffordshire,Other equipment,*Total Other equipment,547.0,13.0,30.0,0.0,13.0,3.0,4.0,0.0,610.0,Other equipment,Total: Other equipment
Staffordshire,Other equipment,"Baton, of which",94.0,3.0,8.0,0.0,5.0,2.0,1.0,0.0,113.0,Other equipment,Total: Baton
Staffordshire,Other equipment,Baton drawn,52.0,3.0,4.0,0.0,2.0,1.0,1.0,0.0,63.0,Other equipment,Baton: drawn
Staffordshire,Other equipment,Baton used,42.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,50.0,Other equipment,Baton: used
Staffordshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Staffordshire,Other equipment,"Irritant spray, of which",365.0,8.0,21.0,0.0,5.0,1.0,2.0,0.0,402.0,Other equipment,Total: Irritant spray
Staffordshire,Other equipment,Irritant spray - drawn,181.0,3.0,11.0,0.0,2.0,0.0,1.0,0.0,198.0,Other equipment,Irritant spray: drawn
Staffordshire,Other equipment,Irritant spray - used,184.0,5.0,10.0,0.0,3.0,1.0,1.0,0.0,204.0,Other equipment,Irritant spray: used
Staffordshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Staffordshire,Other equipment,Spit and bite guard,70.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,77.0,Other equipment,Spit and bite guard
Staffordshire,Other equipment,Shield,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Other equipment,Shield
Staffordshire,Less lethal weapons,*Total Less lethal weapons,29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,Less lethal weapons,Total: Less lethal weapons
Staffordshire,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,CED
Staffordshire,Less lethal weapons,"AEP, of which",29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,Less lethal weapons,Total: AEP
Staffordshire,Less lethal weapons,AEP aimed,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,Less lethal weapons,AEP: Aimed
Staffordshire,Less lethal weapons,AEP fired,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Fired
Staffordshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Staffordshire,Firearms,*Total Firearms,17.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,Firearms,Total: Firearms
Staffordshire,Other,*Total Other,154.0,15.0,5.0,0.0,4.0,4.0,4.0,0.0,186.0,Other,Total: Other
Staffordshire,Other,"Dog use, of which",63.0,6.0,2.0,0.0,4.0,2.0,3.0,0.0,80.0,Other,Total: Dog
Staffordshire,Other,Dog deployed,52.0,5.0,1.0,0.0,3.0,1.0,2.0,0.0,64.0,Other,Dog: deployed
Staffordshire,Other,Dog bite,11.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,16.0,Other,Dog: bite
Staffordshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Staffordshire,Other,Other / improvised,91.0,9.0,3.0,0.0,0.0,2.0,1.0,0.0,106.0,Other,Other / improvised
Staffordshire,Not reported,*Total Not reported,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,Not reported,Total: Not reported
Staffordshire,Tactical communication,Tactical communication,2259.0,98.0,87.0,1.0,61.0,10.0,9.0,0.0,2525.0,Excluded: Tactical Communication,Tactical Communication
Suffolk,Total (excluding not reported and tactical communication),*Total Tactics,3922.0,271.0,42.0,1.0,0.0,5.0,48.0,150.0,4439.0,Total,Total: all
Suffolk,Restraint,*Total Restraint,2372.0,171.0,29.0,1.0,0.0,4.0,29.0,84.0,2690.0,Restraint,Total: Restraint
Suffolk,Restraint,"Handcuffing, of which",1946.0,144.0,26.0,1.0,0.0,4.0,25.0,57.0,2203.0,Restraint,Total: Handcuffing
Suffolk,Restraint,Compliant handcuffing,1003.0,96.0,17.0,1.0,0.0,3.0,15.0,29.0,1164.0,Restraint,Handcuffing: compliant
Suffolk,Restraint,Non-compliant handcuffing,943.0,48.0,9.0,0.0,0.0,1.0,10.0,28.0,1039.0,Restraint,Handcuffing: non-compliant
Suffolk,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Suffolk,Restraint,Limb / Body restraints,194.0,8.0,1.0,0.0,0.0,0.0,2.0,14.0,219.0,Restraint,Limb / body restraints
Suffolk,Restraint,Ground restraint,232.0,19.0,2.0,0.0,0.0,0.0,2.0,13.0,268.0,Restraint,Ground restraint
Suffolk,Unarmed skills,*Total Unarmed skills,667.0,40.0,5.0,0.0,0.0,0.0,5.0,26.0,743.0,Unarmed skills,Total: unarmed skills
Suffolk,Other equipment,*Total Other equipment,261.0,21.0,3.0,0.0,0.0,0.0,3.0,9.0,297.0,Other equipment,Total: Other equipment
Suffolk,Other equipment,"Baton, of which",12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,Other equipment,Total: Baton
Suffolk,Other equipment,Baton drawn,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,Other equipment,Baton: drawn
Suffolk,Other equipment,Baton used,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Other equipment,Baton: used
Suffolk,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Suffolk,Other equipment,"Irritant spray, of which",201.0,17.0,2.0,0.0,0.0,0.0,2.0,7.0,229.0,Other equipment,Total: Irritant spray
Suffolk,Other equipment,Irritant spray - drawn,88.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,101.0,Other equipment,Irritant spray: drawn
Suffolk,Other equipment,Irritant spray - used,113.0,8.0,2.0,0.0,0.0,0.0,1.0,4.0,128.0,Other equipment,Irritant spray: used
Suffolk,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Suffolk,Other equipment,Spit and bite guard,47.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,Other equipment,Spit and bite guard
Suffolk,Other equipment,Shield,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,Other equipment,Shield
Suffolk,Less lethal weapons,*Total Less lethal weapons,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,Less lethal weapons,Total: Less lethal weapons
Suffolk,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,CED
Suffolk,Less lethal weapons,"AEP, of which",18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,Less lethal weapons,Total: AEP
Suffolk,Less lethal weapons,AEP aimed,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,Less lethal weapons,AEP: Aimed
Suffolk,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Suffolk,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Suffolk,Firearms,*Total Firearms,23.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,Firearms,Total: Firearms
Suffolk,Other,*Total Other,581.0,35.0,4.0,0.0,0.0,1.0,10.0,31.0,662.0,Other,Total: Other
Suffolk,Other,"Dog use, of which",18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,Other,Total: Dog
Suffolk,Other,Dog deployed,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,Other,Dog: deployed
Suffolk,Other,Dog bite,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,Other,Dog: bite
Suffolk,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Suffolk,Other,Other / improvised,563.0,35.0,4.0,0.0,0.0,1.0,10.0,30.0,643.0,Other,Other / improvised
Suffolk,Not reported,*Total Not reported,48.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,56.0,Not reported,Total: Not reported
Suffolk,Tactical communication,Tactical communication,1532.0,107.0,20.0,1.0,0.0,5.0,18.0,50.0,1733.0,Excluded: Tactical Communication,Tactical Communication
Surrey,Total (excluding not reported and tactical communication),*Total Tactics,6903.0,562.0,260.0,21.0,57.0,133.0,670.0,0.0,8606.0,Total,Total: all
Surrey,Restraint,*Total Restraint,4537.0,341.0,155.0,17.0,33.0,85.0,451.0,0.0,5619.0,Restraint,Total: Restraint
Surrey,Restraint,"Handcuffing, of which",2288.0,204.0,98.0,11.0,25.0,34.0,180.0,0.0,2840.0,Restraint,Total: Handcuffing
Surrey,Restraint,Compliant handcuffing,1853.0,166.0,78.0,10.0,16.0,32.0,176.0,0.0,2331.0,Restraint,Handcuffing: compliant
Surrey,Restraint,Non-compliant handcuffing,435.0,38.0,20.0,1.0,9.0,2.0,4.0,0.0,509.0,Restraint,Handcuffing: non-compliant
Surrey,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: not stated
Surrey,Restraint,Limb / Body restraints,1202.0,82.0,32.0,2.0,3.0,22.0,165.0,0.0,1508.0,Restraint,Limb / body restraints
Surrey,Restraint,Ground restraint,1047.0,55.0,25.0,4.0,5.0,29.0,106.0,0.0,1271.0,Restraint,Ground restraint
Surrey,Unarmed skills,*Total Unarmed skills,757.0,49.0,31.0,1.0,14.0,8.0,20.0,0.0,880.0,Unarmed skills,Total: unarmed skills
Surrey,Other equipment,*Total Other equipment,320.0,27.0,7.0,1.0,4.0,2.0,28.0,0.0,389.0,Other equipment,Total: Other equipment
Surrey,Other equipment,"Baton, of which",54.0,4.0,1.0,0.0,1.0,1.0,5.0,0.0,66.0,Other equipment,Total: Baton
Surrey,Other equipment,Baton drawn,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,Other equipment,Baton: drawn
Surrey,Other equipment,Baton used,47.0,4.0,1.0,0.0,0.0,1.0,5.0,0.0,58.0,Other equipment,Baton: used
Surrey,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Baton: not stated
Surrey,Other equipment,"Irritant spray, of which",166.0,14.0,6.0,1.0,2.0,1.0,17.0,0.0,207.0,Other equipment,Total: Irritant spray
Surrey,Other equipment,Irritant spray - drawn,83.0,8.0,6.0,0.0,0.0,0.0,10.0,0.0,107.0,Other equipment,Irritant spray: drawn
Surrey,Other equipment,Irritant spray - used,83.0,6.0,0.0,1.0,2.0,1.0,7.0,0.0,100.0,Other equipment,Irritant spray: used
Surrey,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
Surrey,Other equipment,Spit and bite guard,95.0,9.0,0.0,0.0,1.0,0.0,6.0,0.0,111.0,Other equipment,Spit and bite guard
Surrey,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Other equipment,Shield
Surrey,Less lethal weapons,*Total Less lethal weapons,212.0,37.0,6.0,1.0,5.0,6.0,25.0,0.0,292.0,Less lethal weapons,Total: Less lethal weapons
Surrey,Less lethal weapons,CED,210.0,35.0,6.0,1.0,5.0,6.0,24.0,0.0,287.0,Less lethal weapons,CED
Surrey,Less lethal weapons,"AEP, of which",2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Less lethal weapons,Total: AEP
Surrey,Less lethal weapons,AEP aimed,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,Less lethal weapons,AEP: Aimed
Surrey,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Surrey,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Surrey,Firearms,*Total Firearms,55.0,9.0,2.0,0.0,0.0,3.0,9.0,0.0,78.0,Firearms,Total: Firearms
Surrey,Other,*Total Other,1022.0,99.0,59.0,1.0,1.0,29.0,137.0,0.0,1348.0,Other,Total: Other
Surrey,Other,"Dog use, of which",9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,Other,Total: Dog
Surrey,Other,Dog deployed,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,Other,Dog: deployed
Surrey,Other,Dog bite,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Other,Dog: bite
Surrey,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Dog: not stated
Surrey,Other,Other / improvised,1013.0,98.0,59.0,1.0,0.0,29.0,137.0,0.0,1337.0,Other,Other / improvised
Surrey,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Surrey,Tactical communication,Tactical communication,843.0,84.0,32.0,0.0,26.0,7.0,5.0,0.0,997.0,Excluded: Tactical Communication,Tactical Communication
Sussex,Total (excluding not reported and tactical communication),*Total Tactics,10375.0,1055.0,260.0,10.0,110.0,41.0,15628.0,11.0,27490.0,Total,Total: all
Sussex,Restraint,*Total Restraint,5644.0,591.0,160.0,5.0,56.0,23.0,8459.0,4.0,14942.0,Restraint,Total: Restraint
Sussex,Restraint,"Handcuffing, of which",3502.0,360.0,118.0,3.0,46.0,18.0,3480.0,4.0,7531.0,Restraint,Total: Handcuffing
Sussex,Restraint,Compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: compliant
Sussex,Restraint,Non-compliant handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Restraint,Handcuffing: non-compliant
Sussex,Restraint,Not stated handcuffing,3502.0,360.0,118.0,3.0,46.0,18.0,3480.0,4.0,7531.0,Restraint,Handcuffing: not stated
Sussex,Restraint,Limb / Body restraints,1075.0,115.0,30.0,1.0,4.0,3.0,2859.0,0.0,4087.0,Restraint,Limb / body restraints
Sussex,Restraint,Ground restraint,1067.0,116.0,12.0,1.0,6.0,2.0,2120.0,0.0,3324.0,Restraint,Ground restraint
Sussex,Unarmed skills,*Total Unarmed skills,3751.0,372.0,81.0,4.0,43.0,12.0,6119.0,7.0,10389.0,Unarmed skills,Total: unarmed skills
Sussex,Other equipment,*Total Other equipment,444.0,40.0,1.0,0.0,4.0,2.0,400.0,0.0,891.0,Other equipment,Total: Other equipment
Sussex,Other equipment,"Baton, of which",91.0,7.0,0.0,0.0,0.0,0.0,96.0,0.0,194.0,Other equipment,Total: Baton
Sussex,Other equipment,Baton drawn,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,Other equipment,Baton: drawn
Sussex,Other equipment,Baton used,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,Other equipment,Baton: used
Sussex,Other equipment,Not stated baton,30.0,3.0,0.0,0.0,0.0,0.0,96.0,0.0,129.0,Other equipment,Baton: not stated
Sussex,Other equipment,"Irritant spray, of which",299.0,31.0,1.0,0.0,1.0,2.0,304.0,0.0,638.0,Other equipment,Total: Irritant spray
Sussex,Other equipment,Irritant spray - drawn,98.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,106.0,Other equipment,Irritant spray: drawn
Sussex,Other equipment,Irritant spray - used,100.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,110.0,Other equipment,Irritant spray: used
Sussex,Other equipment,Not stated irritant spray,101.0,17.0,0.0,0.0,0.0,0.0,304.0,0.0,422.0,Other equipment,Irritant spray: not stated
Sussex,Other equipment,Spit and bite guard,47.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,Other equipment,Spit and bite guard
Sussex,Other equipment,Shield,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,Other equipment,Shield
Sussex,Less lethal weapons,*Total Less lethal weapons,185.0,23.0,8.0,0.0,2.0,0.0,175.0,0.0,393.0,Less lethal weapons,Total: Less lethal weapons
Sussex,Less lethal weapons,CED,183.0,23.0,8.0,0.0,2.0,0.0,175.0,0.0,391.0,Less lethal weapons,CED
Sussex,Less lethal weapons,"AEP, of which",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,Total: AEP
Sussex,Less lethal weapons,AEP aimed,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Less lethal weapons,AEP: Aimed
Sussex,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Fired
Sussex,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less lethal weapons,AEP: Not stated
Sussex,Firearms,*Total Firearms,41.0,5.0,0.0,0.0,0.0,1.0,81.0,0.0,128.0,Firearms,Total: Firearms
Sussex,Other,*Total Other,310.0,24.0,10.0,1.0,5.0,3.0,394.0,0.0,747.0,Other,Total: Other
Sussex,Other,"Dog use, of which",34.0,3.0,2.0,0.0,0.0,3.0,30.0,0.0,72.0,Other,Total: Dog
Sussex,Other,Dog deployed,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,Other,Dog: deployed
Sussex,Other,Dog bite,4.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,10.0,Other,Dog: bite
Sussex,Other,Not stated dog,11.0,2.0,1.0,0.0,0.0,0.0,27.0,0.0,41.0,Other,Dog: not stated
Sussex,Other,Other / improvised,276.0,21.0,8.0,1.0,5.0,0.0,364.0,0.0,675.0,Other,Other / improvised
Sussex,Not reported,*Total Not reported,44.0,3.0,2.0,0.0,0.0,0.0,225.0,0.0,274.0,Not reported,Total: Not reported
Sussex,Tactical communication,Tactical communication,1749.0,157.0,44.0,0.0,30.0,11.0,15.0,5.0,2011.0,Excluded: Tactical Communication,Tactical Communication
Thames Valley,Total (excluding not reported and tactical communication),*Total Tactics,20842.0,3626.0,2151.0,23.0,1142.0,335.0,157.0,0.0,28276.0,Total,Total: all
Thames Valley,Restraint,*Total Restraint,12801.0,2129.0,1364.0,16.0,691.0,214.0,61.0,0.0,17276.0,Restraint,Total: Restraint
Thames Valley,Restraint,"Handcuffing, of which",8191.0,1370.0,986.0,12.0,440.0,157.0,35.0,0.0,11191.0,Restraint,Total: Handcuffing
Thames Valley,Restraint,Compliant handcuffing,3376.0,564.0,507.0,7.0,185.0,84.0,16.0,0.0,4739.0,Restraint,Handcuffing: compliant
Thames Valley,Restraint,Non-compliant handcuffing,4584.0,758.0,457.0,5.0,238.0,72.0,17.0,0.0,6131.0,Restraint,Handcuffing: non-compliant
Thames Valley,Restraint,Not stated handcuffing,231.0,48.0,22.0,0.0,17.0,1.0,2.0,0.0,321.0,Restraint,Handcuffing: not stated
Thames Valley,Restraint,Limb / Body restraints,797.0,112.0,50.0,2.0,52.0,12.0,4.0,0.0,1029.0,Restraint,Limb / body restraints
Thames Valley,Restraint,Ground restraint,3813.0,647.0,328.0,2.0,199.0,45.0,22.0,0.0,5056.0,Restraint,Ground restraint
Thames Valley,Unarmed skills,*Total Unarmed skills,5757.0,981.0,575.0,6.0,308.0,82.0,31.0,0.0,7740.0,Unarmed skills,Total: unarmed skills
Thames Valley,Other equipment,*Total Other equipment,1149.0,260.0,100.0,0.0,77.0,15.0,9.0,0.0,1610.0,Other equipment,Total: Other equipment
Thames Valley,Other equipment,"Baton, of which",215.0,56.0,39.0,0.0,26.0,2.0,0.0,0.0,338.0,Other equipment,Total: Baton
Thames Valley,Other equipment,Baton drawn,74.0,22.0,13.0,0.0,9.0,0.0,0.0,0.0,118.0,Other equipment,Baton: drawn
Thames Valley,Other equipment,Baton used,85.0,19.0,12.0,0.0,15.0,1.0,0.0,0.0,132.0,Other equipment,Baton: used
Thames Valley,Other equipment,Not stated baton,56.0,15.0,14.0,0.0,2.0,1.0,0.0,0.0,88.0,Other equipment,Baton: not stated
Thames Valley,Other equipment,"Irritant spray, of which",681.0,165.0,52.0,0.0,36.0,9.0,4.0,0.0,947.0,Other equipment,Total: Irritant spray
Thames Valley,Other equipment,Irritant spray - drawn,236.0,54.0,27.0,0.0,16.0,3.0,3.0,0.0,339.0,Other equipment,Irritant spray: drawn
Thames Valley,Other equipment,Irritant spray - used,445.0,111.0,25.0,0.0,20.0,6.0,1.0,0.0,608.0,Other equipment,Irritant spray: used
Thames Valley,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other equipment,Irritant spray: not stated
