Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported
Leicestershire,Other equipment,*Total Other equipment,270.0,53.0,34.0,4.0,0.0,9.0,370.0
Leicestershire,Other equipment,"Baton, of which",61.0,16.0,18.0,1.0,0.0,3.0,99.0
Leicestershire,Other equipment,Baton drawn,47.0,12.0,12.0,0.0,0.0,2.0,73.0
Leicestershire,Other equipment,Baton used,14.0,4.0,6.0,1.0,0.0,1.0,26.0
Leicestershire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,"Irritant spray, of which",121.0,17.0,11.0,1.0,0.0,5.0,155.0
Leicestershire,Other equipment,Irritant spray - drawn,66.0,11.0,6.0,0.0,0.0,3.0,86.0
Leicestershire,Other equipment,Irritant spray - used,55.0,6.0,5.0,1.0,0.0,2.0,69.0
Leicestershire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,Spit and bite guard,64.0,16.0,5.0,2.0,0.0,0.0,87.0
Leicestershire,Other equipment,Shield,24.0,4.0,0.0,0.0,0.0,1.0,29.0
Leicestershire,Less lethal weapons,*Total Less lethal weapons,580.0,104.0,61.0,29.0,3.0,6.0,783.0
Leicestershire,Less lethal weapons,CED of which,566.0,102.0,59.0,29.0,3.0,6.0,765.0
Leicestershire,Less lethal weapons,CED non-discharge,540.0,97.0,55.0,28.0,3.0,6.0,729.0
Leicestershire,Less lethal weapons,CED discharge,26.0,5.0,4.0,1.0,0.0,0.0,36.0
Leicestershire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Less lethal weapons,"AEP, of which",14.0,2.0,2.0,0.0,0.0,0.0,18.0
Leicestershire,Less lethal weapons,AEP drawn,14.0,2.0,2.0,0.0,0.0,0.0,18.0
Leicestershire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Firearms,*Total Firearms,35.0,12.0,5.0,3.0,0.0,0.0,55.0
Leicestershire,Other,*Total Other,356.0,58.0,50.0,16.0,3.0,36.0,519.0
Leicestershire,Other,"Dog use, of which",27.0,3.0,4.0,0.0,0.0,0.0,34.0
Leicestershire,Other,Dog deployed,21.0,2.0,3.0,0.0,0.0,0.0,26.0
Leicestershire,Other,Dog bite,6.0,1.0,1.0,0.0,0.0,0.0,8.0
Leicestershire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other,Other / improvised,329.0,55.0,46.0,16.0,3.0,36.0,485.0
Leicestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Tactical communication,Tactical communication,3431.0,579.0,514.0,139.0,39.0,42.0,4744.0
Lincolnshire,Total (excluding not reported and tactical communication),*Total Tactics,5474.0,172.0,67.0,88.0,37.0,48.0,5886.0
Lincolnshire,Restraint,*Total Restraint,2787.0,88.0,40.0,47.0,22.0,26.0,3010.0
Lincolnshire,Restraint,"Handcuffing, of which",2390.0,80.0,36.0,39.0,18.0,23.0,2586.0
Lincolnshire,Restraint,Compliant handcuffing,1231.0,52.0,25.0,30.0,12.0,14.0,1364.0
Lincolnshire,Restraint,Non-compliant handcuffing,1159.0,28.0,11.0,9.0,6.0,9.0,1222.0
Lincolnshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Restraint,Limb / Body restraints,133.0,2.0,1.0,3.0,1.0,0.0,140.0
Lincolnshire,Restraint,Ground restraint,264.0,6.0,3.0,5.0,3.0,3.0,284.0
Lincolnshire,Unarmed skills,*Total Unarmed skills,1782.0,48.0,20.0,31.0,9.0,12.0,1902.0
Lincolnshire,Other equipment,*Total Other equipment,364.0,15.0,2.0,1.0,3.0,0.0,385.0
Lincolnshire,Other equipment,"Baton, of which",42.0,1.0,1.0,0.0,0.0,0.0,44.0
Lincolnshire,Other equipment,Baton drawn,31.0,1.0,1.0,0.0,0.0,0.0,33.0
Lincolnshire,Other equipment,Baton used,11.0,0.0,0.0,0.0,0.0,0.0,11.0
Lincolnshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,"Irritant spray, of which",267.0,11.0,1.0,1.0,1.0,0.0,281.0
Lincolnshire,Other equipment,Irritant spray - drawn,93.0,4.0,0.0,0.0,1.0,0.0,98.0
Lincolnshire,Other equipment,Irritant spray - used,174.0,7.0,1.0,1.0,0.0,0.0,183.0
Lincolnshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,Spit and bite guard,45.0,2.0,0.0,0.0,2.0,0.0,49.0
Lincolnshire,Other equipment,Shield,10.0,1.0,0.0,0.0,0.0,0.0,11.0
Lincolnshire,Less lethal weapons,*Total Less lethal weapons,381.0,14.0,3.0,8.0,2.0,7.0,415.0
Lincolnshire,Less lethal weapons,CED of which,361.0,14.0,3.0,8.0,2.0,7.0,395.0
Lincolnshire,Less lethal weapons,CED non-discharge,322.0,10.0,3.0,8.0,2.0,6.0,351.0
Lincolnshire,Less lethal weapons,CED discharge,37.0,4.0,0.0,0.0,0.0,1.0,42.0
Lincolnshire,Less lethal weapons,CED not stated,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Lincolnshire,Less lethal weapons,"AEP, of which",20.0,0.0,0.0,0.0,0.0,0.0,20.0
Lincolnshire,Less lethal weapons,AEP drawn,18.0,0.0,0.0,0.0,0.0,0.0,18.0
Lincolnshire,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Lincolnshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Firearms,*Total Firearms,28.0,3.0,1.0,1.0,0.0,1.0,34.0
Lincolnshire,Other,*Total Other,132.0,4.0,1.0,0.0,1.0,2.0,140.0
Lincolnshire,Other,"Dog use, of which",29.0,1.0,0.0,0.0,0.0,0.0,30.0
Lincolnshire,Other,Dog deployed,20.0,1.0,0.0,0.0,0.0,0.0,21.0
Lincolnshire,Other,Dog bite,9.0,0.0,0.0,0.0,0.0,0.0,9.0
Lincolnshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other,Other / improvised,103.0,3.0,1.0,0.0,1.0,2.0,110.0
Lincolnshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Tactical communication,Tactical communication,2284.0,70.0,36.0,33.0,9.0,22.0,2454.0
Merseyside,Total (excluding not reported and tactical communication),*Total Tactics,10627.0,466.0,146.0,0.0,69.0,330.0,11638.0
Merseyside,Restraint,*Total Restraint,4507.0,212.0,66.0,0.0,28.0,89.0,4902.0
Merseyside,Restraint,"Handcuffing, of which",3319.0,159.0,54.0,0.0,23.0,57.0,3612.0
Merseyside,Restraint,Compliant handcuffing,930.0,51.0,15.0,0.0,9.0,13.0,1018.0
Merseyside,Restraint,Non-compliant handcuffing,2389.0,108.0,39.0,0.0,14.0,44.0,2594.0
Merseyside,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Restraint,Limb / Body restraints,292.0,23.0,6.0,0.0,1.0,8.0,330.0
Merseyside,Restraint,Ground restraint,896.0,30.0,6.0,0.0,4.0,24.0,960.0
Merseyside,Unarmed skills,*Total Unarmed skills,4586.0,180.0,67.0,0.0,29.0,216.0,5078.0
Merseyside,Other equipment,*Total Other equipment,948.0,37.0,8.0,0.0,3.0,15.0,1011.0
Merseyside,Other equipment,"Baton, of which",138.0,3.0,3.0,0.0,1.0,6.0,151.0
Merseyside,Other equipment,Baton drawn,86.0,2.0,2.0,0.0,0.0,5.0,95.0
Merseyside,Other equipment,Baton used,52.0,1.0,1.0,0.0,1.0,1.0,56.0
Merseyside,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,"Irritant spray, of which",595.0,22.0,3.0,0.0,0.0,5.0,625.0
Merseyside,Other equipment,Irritant spray - drawn,243.0,10.0,1.0,0.0,0.0,1.0,255.0
Merseyside,Other equipment,Irritant spray - used,352.0,12.0,2.0,0.0,0.0,4.0,370.0
Merseyside,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,Spit and bite guard,205.0,12.0,2.0,0.0,2.0,4.0,225.0
Merseyside,Other equipment,Shield,10.0,0.0,0.0,0.0,0.0,0.0,10.0
Merseyside,Less lethal weapons,*Total Less lethal weapons,313.0,17.0,1.0,0.0,6.0,6.0,343.0
Merseyside,Less lethal weapons,CED of which,308.0,17.0,1.0,0.0,6.0,6.0,338.0
Merseyside,Less lethal weapons,CED non-discharge,280.0,17.0,1.0,0.0,6.0,5.0,309.0
Merseyside,Less lethal weapons,CED discharge,28.0,0.0,0.0,0.0,0.0,1.0,29.0
Merseyside,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Less lethal weapons,"AEP, of which",5.0,0.0,0.0,0.0,0.0,0.0,5.0
Merseyside,Less lethal weapons,AEP drawn,4.0,0.0,0.0,0.0,0.0,0.0,4.0
Merseyside,Less lethal weapons,AEP used,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Merseyside,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Firearms,*Total Firearms,36.0,3.0,1.0,0.0,0.0,1.0,41.0
Merseyside,Other,*Total Other,237.0,17.0,3.0,0.0,3.0,3.0,263.0
Merseyside,Other,"Dog use, of which",28.0,1.0,2.0,0.0,0.0,0.0,31.0
Merseyside,Other,Dog deployed,16.0,1.0,2.0,0.0,0.0,0.0,19.0
Merseyside,Other,Dog bite,12.0,0.0,0.0,0.0,0.0,0.0,12.0
Merseyside,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other,Other / improvised,209.0,16.0,1.0,0.0,3.0,3.0,232.0
Merseyside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Tactical communication,Tactical communication,5308.0,232.0,74.0,0.0,40.0,216.0,5870.0
Metropolitan,Total (excluding not reported and tactical communication),*Total Tactics,87840.0,76052.0,24385.0,6461.0,8295.0,2102.0,205135.0
Metropolitan,Restraint,*Total Restraint,63452.0,54277.0,18514.0,4654.0,6209.0,1280.0,148386.0
Metropolitan,Restraint,"Handcuffing, of which",51096.0,44938.0,16283.0,3791.0,5311.0,970.0,122389.0
Metropolitan,Restraint,Compliant handcuffing,36683.0,31405.0,12913.0,2725.0,4184.0,653.0,88563.0
Metropolitan,Restraint,Non-compliant handcuffing,14413.0,13533.0,3370.0,1066.0,1127.0,317.0,33826.0
Metropolitan,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Restraint,Limb / Body restraints,4172.0,2917.0,730.0,295.0,322.0,107.0,8543.0
Metropolitan,Restraint,Ground restraint,8184.0,6422.0,1501.0,568.0,576.0,203.0,17454.0
Metropolitan,Unarmed skills,*Total Unarmed skills,14918.0,12323.0,3437.0,1063.0,1252.0,435.0,33428.0
Metropolitan,Other equipment,*Total Other equipment,2113.0,2113.0,484.0,162.0,192.0,97.0,5161.0
Metropolitan,Other equipment,"Baton, of which",740.0,909.0,246.0,63.0,79.0,60.0,2097.0
Metropolitan,Other equipment,Baton drawn,531.0,657.0,168.0,51.0,57.0,42.0,1506.0
Metropolitan,Other equipment,Baton used,209.0,252.0,78.0,12.0,22.0,18.0,591.0
Metropolitan,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,"Irritant spray, of which",508.0,650.0,114.0,45.0,63.0,15.0,1395.0
Metropolitan,Other equipment,Irritant spray - drawn,289.0,410.0,73.0,25.0,39.0,8.0,844.0
Metropolitan,Other equipment,Irritant spray - used,219.0,240.0,41.0,20.0,24.0,7.0,551.0
Metropolitan,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,Spit and bite guard,807.0,482.0,116.0,50.0,49.0,14.0,1518.0
Metropolitan,Other equipment,Shield,58.0,72.0,8.0,4.0,1.0,8.0,151.0
Metropolitan,Less lethal weapons,*Total Less lethal weapons,3818.0,4458.0,1072.0,310.0,311.0,111.0,10080.0
Metropolitan,Less lethal weapons,CED of which,3813.0,4453.0,1071.0,310.0,310.0,111.0,10068.0
Metropolitan,Less lethal weapons,CED non-discharge,3430.0,4067.0,981.0,276.0,283.0,96.0,9133.0
Metropolitan,Less lethal weapons,CED discharge,383.0,386.0,90.0,34.0,27.0,15.0,935.0
Metropolitan,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Less lethal weapons,"AEP, of which",5.0,5.0,1.0,0.0,1.0,0.0,12.0
Metropolitan,Less lethal weapons,AEP drawn,5.0,4.0,1.0,0.0,0.0,0.0,10.0
Metropolitan,Less lethal weapons,AEP used,0.0,1.0,0.0,0.0,1.0,0.0,2.0
Metropolitan,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Firearms,*Total Firearms,484.0,770.0,267.0,57.0,80.0,39.0,1697.0
Metropolitan,Other,*Total Other,3055.0,2111.0,611.0,215.0,251.0,140.0,6383.0
Metropolitan,Other,"Dog use, of which",231.0,147.0,33.0,21.0,17.0,7.0,456.0
Metropolitan,Other,Dog deployed,156.0,110.0,31.0,18.0,15.0,5.0,335.0
Metropolitan,Other,Dog bite,75.0,37.0,2.0,3.0,2.0,2.0,121.0
Metropolitan,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other,Other / improvised,2824.0,1964.0,578.0,194.0,234.0,133.0,5927.0
Metropolitan,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Tactical communication,Tactical communication,18188.0,16808.0,4957.0,1315.0,1678.0,399.0,43345.0
Norfolk,Total (excluding not reported and tactical communication),*Total Tactics,7558.0,601.0,73.0,0.0,31.0,331.0,8594.0
Norfolk,Restraint,*Total Restraint,3514.0,272.0,42.0,0.0,15.0,160.0,4003.0
Norfolk,Restraint,"Handcuffing, of which",2713.0,217.0,37.0,0.0,15.0,143.0,3125.0
Norfolk,Restraint,Compliant handcuffing,1710.0,146.0,28.0,0.0,10.0,109.0,2003.0
Norfolk,Restraint,Non-compliant handcuffing,1003.0,71.0,9.0,0.0,5.0,34.0,1122.0
Norfolk,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Restraint,Limb / Body restraints,377.0,25.0,4.0,0.0,0.0,5.0,411.0
Norfolk,Restraint,Ground restraint,424.0,30.0,1.0,0.0,0.0,12.0,467.0
Norfolk,Unarmed skills,*Total Unarmed skills,1880.0,130.0,10.0,0.0,8.0,59.0,2087.0
Norfolk,Other equipment,*Total Other equipment,478.0,46.0,8.0,0.0,0.0,19.0,551.0
Norfolk,Other equipment,"Baton, of which",43.0,10.0,0.0,0.0,0.0,1.0,54.0
Norfolk,Other equipment,Baton drawn,24.0,8.0,0.0,0.0,0.0,1.0,33.0
Norfolk,Other equipment,Baton used,19.0,2.0,0.0,0.0,0.0,0.0,21.0
Norfolk,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other equipment,"Irritant spray, of which",341.0,32.0,6.0,0.0,0.0,12.0,391.0
Norfolk,Other equipment,Irritant spray - drawn,120.0,13.0,5.0,0.0,0.0,3.0,141.0
Norfolk,Other equipment,Irritant spray - used,221.0,19.0,1.0,0.0,0.0,9.0,250.0
Norfolk,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other equipment,Spit and bite guard,82.0,4.0,2.0,0.0,0.0,1.0,89.0
Norfolk,Other equipment,Shield,12.0,0.0,0.0,0.0,0.0,5.0,17.0
Norfolk,Less lethal weapons,*Total Less lethal weapons,511.0,60.0,6.0,0.0,6.0,30.0,613.0
Norfolk,Less lethal weapons,CED of which,492.0,55.0,6.0,0.0,6.0,29.0,588.0
Norfolk,Less lethal weapons,CED non-discharge,:,:,:,:,:,:,:
Norfolk,Less lethal weapons,CED discharge,:,:,:,:,:,:,:
Norfolk,Less lethal weapons,CED not stated,492.0,55.0,6.0,0.0,6.0,29.0,588.0
Norfolk,Less lethal weapons,"AEP, of which",19.0,5.0,0.0,0.0,0.0,1.0,25.0
Norfolk,Less lethal weapons,AEP drawn,17.0,5.0,0.0,0.0,0.0,1.0,23.0
Norfolk,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Norfolk,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Firearms,*Total Firearms,6.0,3.0,0.0,0.0,0.0,2.0,11.0
Norfolk,Other,*Total Other,1169.0,90.0,7.0,0.0,2.0,61.0,1329.0
Norfolk,Other,"Dog use, of which",13.0,7.0,0.0,0.0,0.0,3.0,23.0
Norfolk,Other,Dog deployed,13.0,4.0,0.0,0.0,0.0,3.0,20.0
Norfolk,Other,Dog bite,0.0,3.0,0.0,0.0,0.0,0.0,3.0
Norfolk,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other,Other / improvised,1156.0,83.0,7.0,0.0,2.0,58.0,1306.0
Norfolk,Not reported,*Total Not reported,137.0,20.0,1.0,0.0,1.0,4.0,163.0
Norfolk,Tactical communication,Tactical communication,3202.0,268.0,31.0,0.0,18.0,153.0,3672.0
North Wales,Total (excluding not reported and tactical communication),*Total Tactics,2280.0,31.0,5.0,0.0,1.0,44.0,2361.0
North Wales,Restraint,*Total Restraint,995.0,10.0,2.0,0.0,1.0,19.0,1027.0
North Wales,Restraint,"Handcuffing, of which",924.0,10.0,2.0,0.0,1.0,16.0,953.0
North Wales,Restraint,Compliant handcuffing,193.0,1.0,2.0,0.0,1.0,3.0,200.0
North Wales,Restraint,Non-compliant handcuffing,731.0,9.0,0.0,0.0,0.0,13.0,753.0
North Wales,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Restraint,Limb / Body restraints,24.0,0.0,0.0,0.0,0.0,0.0,24.0
North Wales,Restraint,Ground restraint,47.0,0.0,0.0,0.0,0.0,3.0,50.0
North Wales,Unarmed skills,*Total Unarmed skills,327.0,2.0,0.0,0.0,0.0,8.0,337.0
North Wales,Other equipment,*Total Other equipment,211.0,4.0,0.0,0.0,0.0,5.0,220.0
North Wales,Other equipment,"Baton, of which",12.0,0.0,0.0,0.0,0.0,1.0,13.0
North Wales,Other equipment,Baton drawn,1.0,0.0,0.0,0.0,0.0,0.0,1.0
North Wales,Other equipment,Baton used,11.0,0.0,0.0,0.0,0.0,1.0,12.0
North Wales,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other equipment,"Irritant spray, of which",191.0,4.0,0.0,0.0,0.0,4.0,199.0
North Wales,Other equipment,Irritant spray - drawn,29.0,0.0,0.0,0.0,0.0,0.0,29.0
North Wales,Other equipment,Irritant spray - used,162.0,4.0,0.0,0.0,0.0,4.0,170.0
North Wales,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other equipment,Spit and bite guard,7.0,0.0,0.0,0.0,0.0,0.0,7.0
North Wales,Other equipment,Shield,1.0,0.0,0.0,0.0,0.0,0.0,1.0
North Wales,Less lethal weapons,*Total Less lethal weapons,161.0,4.0,1.0,0.0,0.0,3.0,169.0
North Wales,Less lethal weapons,CED of which,161.0,4.0,1.0,0.0,0.0,3.0,169.0
North Wales,Less lethal weapons,CED non-discharge,143.0,4.0,1.0,0.0,0.0,3.0,151.0
North Wales,Less lethal weapons,CED discharge,18.0,0.0,0.0,0.0,0.0,0.0,18.0
North Wales,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,AEP drawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Firearms,*Total Firearms,7.0,0.0,0.0,0.0,0.0,0.0,7.0
North Wales,Other,*Total Other,579.0,11.0,2.0,0.0,0.0,9.0,601.0
North Wales,Other,"Dog use, of which",2.0,0.0,0.0,0.0,0.0,0.0,2.0
North Wales,Other,Dog deployed,2.0,0.0,0.0,0.0,0.0,0.0,2.0
North Wales,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other,Other / improvised,577.0,11.0,2.0,0.0,0.0,9.0,599.0
North Wales,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Tactical communication,Tactical communication,168.0,1.0,0.0,0.0,0.0,1.0,170.0
North Yorkshire,Total (excluding not reported and tactical communication),*Total Tactics,5290.0,114.0,76.0,72.0,40.0,0.0,5592.0
North Yorkshire,Restraint,*Total Restraint,3110.0,66.0,45.0,43.0,25.0,0.0,3289.0
North Yorkshire,Restraint,"Handcuffing, of which",2217.0,48.0,34.0,27.0,20.0,0.0,2346.0
North Yorkshire,Restraint,Compliant handcuffing,1276.0,26.0,26.0,19.0,16.0,0.0,1363.0
North Yorkshire,Restraint,Non-compliant handcuffing,941.0,22.0,8.0,8.0,4.0,0.0,983.0
North Yorkshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Restraint,Limb / Body restraints,166.0,3.0,4.0,5.0,2.0,0.0,180.0
North Yorkshire,Restraint,Ground restraint,727.0,15.0,7.0,11.0,3.0,0.0,763.0
North Yorkshire,Unarmed skills,*Total Unarmed skills,1508.0,35.0,19.0,19.0,10.0,0.0,1591.0
North Yorkshire,Other equipment,*Total Other equipment,307.0,5.0,3.0,8.0,2.0,0.0,325.0
North Yorkshire,Other equipment,"Baton, of which",41.0,2.0,1.0,1.0,0.0,0.0,45.0
North Yorkshire,Other equipment,Baton drawn,25.0,1.0,0.0,0.0,0.0,0.0,26.0
North Yorkshire,Other equipment,Baton used,16.0,1.0,1.0,1.0,0.0,0.0,19.0
North Yorkshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other equipment,"Irritant spray, of which",212.0,3.0,2.0,6.0,0.0,0.0,223.0
North Yorkshire,Other equipment,Irritant spray - drawn,87.0,0.0,1.0,3.0,0.0,0.0,91.0
North Yorkshire,Other equipment,Irritant spray - used,125.0,3.0,1.0,3.0,0.0,0.0,132.0
North Yorkshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other equipment,Spit and bite guard,49.0,0.0,0.0,1.0,2.0,0.0,52.0
North Yorkshire,Other equipment,Shield,5.0,0.0,0.0,0.0,0.0,0.0,5.0
North Yorkshire,Less lethal weapons,*Total Less lethal weapons,219.0,4.0,3.0,1.0,1.0,0.0,228.0
North Yorkshire,Less lethal weapons,CED of which,206.0,4.0,3.0,1.0,0.0,0.0,214.0
North Yorkshire,Less lethal weapons,CED non-discharge,176.0,3.0,1.0,1.0,0.0,0.0,181.0
North Yorkshire,Less lethal weapons,CED discharge,30.0,1.0,2.0,0.0,0.0,0.0,33.0
North Yorkshire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Less lethal weapons,"AEP, of which",13.0,0.0,0.0,0.0,1.0,0.0,14.0
North Yorkshire,Less lethal weapons,AEP drawn,2.0,0.0,0.0,0.0,0.0,0.0,2.0
North Yorkshire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Less lethal weapons,AEP not stated,11.0,0.0,0.0,0.0,1.0,0.0,12.0
North Yorkshire,Firearms,*Total Firearms,25.0,1.0,0.0,0.0,0.0,0.0,26.0
North Yorkshire,Other,*Total Other,121.0,3.0,6.0,1.0,2.0,0.0,133.0
North Yorkshire,Other,"Dog use, of which",12.0,0.0,0.0,0.0,0.0,0.0,12.0
North Yorkshire,Other,Dog deployed,8.0,0.0,0.0,0.0,0.0,0.0,8.0
North Yorkshire,Other,Dog bite,4.0,0.0,0.0,0.0,0.0,0.0,4.0
North Yorkshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other,Other / improvised,109.0,3.0,6.0,1.0,2.0,0.0,121.0
North Yorkshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Tactical communication,Tactical communication,2108.0,54.0,31.0,33.0,12.0,0.0,2238.0
Northamptonshire,Total (excluding not reported and tactical communication),*Total Tactics,8358.0,946.0,157.0,364.0,103.0,0.0,9928.0
Northamptonshire,Restraint,*Total Restraint,4159.0,506.0,95.0,177.0,64.0,0.0,5001.0
Northamptonshire,Restraint,"Handcuffing, of which",3500.0,444.0,91.0,155.0,62.0,0.0,4252.0
Northamptonshire,Restraint,Compliant handcuffing,2181.0,308.0,76.0,104.0,53.0,0.0,2722.0
Northamptonshire,Restraint,Non-compliant handcuffing,1319.0,136.0,15.0,51.0,9.0,0.0,1530.0
Northamptonshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Restraint,Limb / Body restraints,388.0,36.0,3.0,12.0,1.0,0.0,440.0
Northamptonshire,Restraint,Ground restraint,271.0,26.0,1.0,10.0,1.0,0.0,309.0
Northamptonshire,Unarmed skills,*Total Unarmed skills,2417.0,233.0,32.0,108.0,15.0,0.0,2805.0
Northamptonshire,Other equipment,*Total Other equipment,591.0,56.0,7.0,20.0,10.0,0.0,684.0
Northamptonshire,Other equipment,"Baton, of which",89.0,8.0,2.0,2.0,1.0,0.0,102.0
Northamptonshire,Other equipment,Baton drawn,52.0,5.0,1.0,2.0,1.0,0.0,61.0
Northamptonshire,Other equipment,Baton used,37.0,3.0,1.0,0.0,0.0,0.0,41.0
Northamptonshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Other equipment,"Irritant spray, of which",380.0,40.0,3.0,11.0,9.0,0.0,443.0
Northamptonshire,Other equipment,Irritant spray - drawn,193.0,22.0,1.0,6.0,2.0,0.0,224.0
Northamptonshire,Other equipment,Irritant spray - used,187.0,18.0,2.0,5.0,7.0,0.0,219.0
Northamptonshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Other equipment,Spit and bite guard,104.0,8.0,2.0,7.0,0.0,0.0,121.0
Northamptonshire,Other equipment,Shield,18.0,0.0,0.0,0.0,0.0,0.0,18.0
Northamptonshire,Less lethal weapons,*Total Less lethal weapons,456.0,77.0,12.0,20.0,3.0,0.0,568.0
Northamptonshire,Less lethal weapons,CED of which,447.0,73.0,12.0,20.0,3.0,0.0,555.0
Northamptonshire,Less lethal weapons,CED non-discharge,423.0,70.0,12.0,18.0,3.0,0.0,526.0
