Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
Dog bite,Northumbria,Other,Dog: bite,None,15.0
Dog not stated,Northumbria,,,None,0.0
Other / improvised,Northumbria,Other,Other / improvised,None,504.0
*Total Not reported,Northumbria,Not reported,Total: Not reported,None,0.0
Tactical communication,Northumbria,Excluded: Tactical Communication,Tactical Communication,None,15049.0
*Total Tactics,Nottinghamshire,Total,Total: all,None,8807.0
*Total Restraint,Nottinghamshire,Restraint,Total: Restraint,None,5125.0
"Handcuffing, of which",Nottinghamshire,Restraint,Total: Handcuffing,None,4871.0
Compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: compliant,None,2887.0
Non-compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: non-compliant,None,1984.0
Handcuffing not stated,Nottinghamshire,,,None,0.0
Limb / Body restraints,Nottinghamshire,Restraint,Limb / body restraints,None,254.0
Ground restraint,Nottinghamshire,Restraint,Ground restraint,None,0.0
*Total Unarmed skills,Nottinghamshire,Unarmed skills,Total: unarmed skills,None,2206.0
*Total Other equipment,Nottinghamshire,Other equipment,Total: Other equipment,None,311.0
"Baton, of which",Nottinghamshire,Other equipment,Total: Baton,None,88.0
Baton drawn,Nottinghamshire,Other equipment,Baton: drawn,None,52.0
Baton used,Nottinghamshire,Other equipment,Baton: used,None,36.0
Baton not stated,Nottinghamshire,,,None,0.0
"Irritant spray, of which",Nottinghamshire,Other equipment,Total: Irritant spray,None,141.0
Irritant spray - drawn,Nottinghamshire,Other equipment,Irritant spray: drawn,None,62.0
Irritant spray - used,Nottinghamshire,Other equipment,Irritant spray: used,None,79.0
Irritant spray not stated,Nottinghamshire,,,None,0.0
Spit and bite guard,Nottinghamshire,Other equipment,Spit and bite guard,None,75.0
Shield,Nottinghamshire,Other equipment,Shield,None,7.0
*Total Less lethal weapons,Nottinghamshire,Less lethal weapons,Total: Less lethal weapons,None,321.0
CED of which,Nottinghamshire,,,None,320.0
CED non-discharge,Nottinghamshire,,,None,283.0
CED discharge,Nottinghamshire,,,None,37.0
CED not stated,Nottinghamshire,,,None,0.0
"AEP, of which",Nottinghamshire,Less lethal weapons,Total: AEP,None,1.0
AEP drawn,Nottinghamshire,,,None,1.0
AEP used,Nottinghamshire,,,None,0.0
AEP not stated,Nottinghamshire,,,None,0.0
*Total Firearms,Nottinghamshire,Firearms,Total: Firearms,None,3.0
*Total Other,Nottinghamshire,Other,Total: Other,None,841.0
"Dog use, of which",Nottinghamshire,Other,Total: Dog,None,63.0
Dog deployed,Nottinghamshire,Other,Dog: deployed,None,35.0
Dog bite,Nottinghamshire,Other,Dog: bite,None,28.0
Dog not stated,Nottinghamshire,,,None,0.0
Other / improvised,Nottinghamshire,Other,Other / improvised,None,778.0
*Total Not reported,Nottinghamshire,Not reported,Total: Not reported,None,0.0
Tactical communication,Nottinghamshire,Excluded: Tactical Communication,Tactical Communication,None,3063.0
*Total Tactics,South Wales,Total,Total: all,None,25290.0
*Total Restraint,South Wales,Restraint,Total: Restraint,None,17447.0
"Handcuffing, of which",South Wales,Restraint,Total: Handcuffing,None,14617.0
Compliant handcuffing,South Wales,Restraint,Handcuffing: compliant,None,10150.0
Non-compliant handcuffing,South Wales,Restraint,Handcuffing: non-compliant,None,4467.0
Handcuffing not stated,South Wales,,,None,0.0
Limb / Body restraints,South Wales,Restraint,Limb / body restraints,None,432.0
Ground restraint,South Wales,Restraint,Ground restraint,None,2398.0
*Total Unarmed skills,South Wales,Unarmed skills,Total: unarmed skills,None,5508.0
*Total Other equipment,South Wales,Other equipment,Total: Other equipment,None,393.0
"Baton, of which",South Wales,Other equipment,Total: Baton,None,79.0
Baton drawn,South Wales,Other equipment,Baton: drawn,None,49.0
Baton used,South Wales,Other equipment,Baton: used,None,30.0
Baton not stated,South Wales,,,None,0.0
"Irritant spray, of which",South Wales,Other equipment,Total: Irritant spray,None,163.0
Irritant spray - drawn,South Wales,Other equipment,Irritant spray: drawn,None,79.0
Irritant spray - used,South Wales,Other equipment,Irritant spray: used,None,84.0
Irritant spray not stated,South Wales,,,None,0.0
Spit and bite guard,South Wales,Other equipment,Spit and bite guard,None,145.0
Shield,South Wales,Other equipment,Shield,None,6.0
*Total Less lethal weapons,South Wales,Less lethal weapons,Total: Less lethal weapons,None,807.0
CED of which,South Wales,,,None,710.0
CED non-discharge,South Wales,,,None,479.0
CED discharge,South Wales,,,None,67.0
CED not stated,South Wales,,,None,164.0
"AEP, of which",South Wales,Less lethal weapons,Total: AEP,None,97.0
AEP drawn,South Wales,,,None,95.0
AEP used,South Wales,,,None,2.0
AEP not stated,South Wales,,,None,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,None,135.0
*Total Other,South Wales,Other,Total: Other,None,1000.0
"Dog use, of which",South Wales,Other,Total: Dog,None,81.0
Dog deployed,South Wales,Other,Dog: deployed,None,75.0
Dog bite,South Wales,Other,Dog: bite,None,6.0
Dog not stated,South Wales,,,None,0.0
Other / improvised,South Wales,Other,Other / improvised,None,919.0
*Total Not reported,South Wales,Not reported,Total: Not reported,None,17.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,None,10223.0
*Total Tactics,South Yorkshire,Total,Total: all,None,10715.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,None,4855.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,None,3309.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,None,1271.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,None,2038.0
Handcuffing not stated,South Yorkshire,,,None,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,None,323.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,None,1223.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,None,4114.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,None,736.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,None,179.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,None,108.0
Baton used,South Yorkshire,Other equipment,Baton: used,None,71.0
Baton not stated,South Yorkshire,,,None,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,None,442.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,None,145.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,None,297.0
Irritant spray not stated,South Yorkshire,,,None,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,None,110.0
Shield,South Yorkshire,Other equipment,Shield,None,5.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,None,496.0
CED of which,South Yorkshire,,,None,487.0
CED non-discharge,South Yorkshire,,,None,416.0
CED discharge,South Yorkshire,,,None,71.0
CED not stated,South Yorkshire,,,None,0.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,None,9.0
AEP drawn,South Yorkshire,,,None,9.0
AEP used,South Yorkshire,,,None,0.0
AEP not stated,South Yorkshire,,,None,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,None,52.0
*Total Other,South Yorkshire,Other,Total: Other,None,462.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,None,105.0
Dog deployed,South Yorkshire,Other,Dog: deployed,None,73.0
Dog bite,South Yorkshire,Other,Dog: bite,None,32.0
Dog not stated,South Yorkshire,,,None,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,None,357.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,None,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,None,3905.0
*Total Tactics,Staffordshire,Total,Total: all,None,6319.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,None,2724.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,None,1841.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,None,
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,None,
Handcuffing not stated,Staffordshire,,,None,1841.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,None,169.0
Ground restraint,Staffordshire,Restraint,Ground restraint,None,714.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,None,2725.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,None,532.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,None,64.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,None,34.0
Baton used,Staffordshire,Other equipment,Baton: used,None,30.0
Baton not stated,Staffordshire,,,None,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,None,387.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,None,184.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,None,203.0
Irritant spray not stated,Staffordshire,,,None,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,None,77.0
Shield,Staffordshire,Other equipment,Shield,None,4.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,None,170.0
CED of which,Staffordshire,,,None,153.0
CED non-discharge,Staffordshire,,,None,137.0
CED discharge,Staffordshire,,,None,16.0
CED not stated,Staffordshire,,,None,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,None,17.0
AEP drawn,Staffordshire,,,None,14.0
AEP used,Staffordshire,,,None,3.0
AEP not stated,Staffordshire,,,None,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,None,28.0
*Total Other,Staffordshire,Other,Total: Other,None,140.0
"Dog use, of which",Staffordshire,Other,Total: Dog,None,60.0
Dog deployed,Staffordshire,Other,Dog: deployed,None,46.0
Dog bite,Staffordshire,Other,Dog: bite,None,14.0
Dog not stated,Staffordshire,,,None,0.0
Other / improvised,Staffordshire,Other,Other / improvised,None,80.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,None,9.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,None,2393.0
*Total Tactics,Suffolk,Total,Total: all,None,5170.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,None,2898.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,None,2426.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,None,1338.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,None,1088.0
Handcuffing not stated,Suffolk,,,None,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,None,163.0
Ground restraint,Suffolk,Restraint,Ground restraint,None,309.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,None,761.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,None,319.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,None,16.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,None,12.0
Baton used,Suffolk,Other equipment,Baton: used,None,4.0
Baton not stated,Suffolk,,,None,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,None,237.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,None,103.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,None,134.0
Irritant spray not stated,Suffolk,,,None,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,None,61.0
Shield,Suffolk,Other equipment,Shield,None,5.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,None,343.0
CED of which,Suffolk,,,None,321.0
CED non-discharge,Suffolk,,,None,
CED discharge,Suffolk,,,None,
CED not stated,Suffolk,,,None,321.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,None,22.0
AEP drawn,Suffolk,,,None,18.0
AEP used,Suffolk,,,None,4.0
AEP not stated,Suffolk,,,None,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,None,16.0
*Total Other,Suffolk,Other,Total: Other,None,833.0
"Dog use, of which",Suffolk,Other,Total: Dog,None,8.0
Dog deployed,Suffolk,Other,Dog: deployed,None,4.0
Dog bite,Suffolk,Other,Dog: bite,None,4.0
Dog not stated,Suffolk,,,None,0.0
Other / improvised,Suffolk,Other,Other / improvised,None,825.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,None,79.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,None,2227.0
*Total Tactics,Surrey,Total,Total: all,None,4640.0
*Total Restraint,Surrey,Restraint,Total: Restraint,None,2729.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,None,2360.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,None,1480.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,None,880.0
Handcuffing not stated,Surrey,,,None,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,None,174.0
Ground restraint,Surrey,Restraint,Ground restraint,None,195.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,None,1205.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,None,225.0
"Baton, of which",Surrey,Other equipment,Total: Baton,None,29.0
Baton drawn,Surrey,Other equipment,Baton: drawn,None,14.0
Baton used,Surrey,Other equipment,Baton: used,None,15.0
Baton not stated,Surrey,,,None,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,None,133.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,None,60.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,None,73.0
Irritant spray not stated,Surrey,,,None,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,None,62.0
Shield,Surrey,Other equipment,Shield,None,1.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,None,325.0
CED of which,Surrey,,,None,310.0
CED non-discharge,Surrey,,,None,284.0
CED discharge,Surrey,,,None,26.0
CED not stated,Surrey,,,None,0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,None,15.0
AEP drawn,Surrey,,,None,15.0
AEP used,Surrey,,,None,0.0
AEP not stated,Surrey,,,None,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,None,54.0
*Total Other,Surrey,Other,Total: Other,None,102.0
"Dog use, of which",Surrey,Other,Total: Dog,None,7.0
Dog deployed,Surrey,Other,Dog: deployed,None,6.0
Dog bite,Surrey,Other,Dog: bite,None,1.0
Dog not stated,Surrey,,,None,0.0
Other / improvised,Surrey,Other,Other / improvised,None,95.0
*Total Not reported,Surrey,Not reported,Total: Not reported,None,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,None,1848.0
*Total Tactics,Sussex,Total,Total: all,None,16539.0
*Total Restraint,Sussex,Restraint,Total: Restraint,None,9246.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,None,7985.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,None,
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,None,
Handcuffing not stated,Sussex,,,None,7985.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,None,443.0
Ground restraint,Sussex,Restraint,Ground restraint,None,818.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,None,5291.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,None,861.0
"Baton, of which",Sussex,Other equipment,Total: Baton,None,126.0
Baton drawn,Sussex,Other equipment,Baton: drawn,None,81.0
Baton used,Sussex,Other equipment,Baton: used,None,45.0
Baton not stated,Sussex,,,None,0.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,None,576.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,None,269.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,None,307.0
Irritant spray not stated,Sussex,,,None,0.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,None,154.0
Shield,Sussex,Other equipment,Shield,None,5.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,None,637.0
CED of which,Sussex,,,None,622.0
CED non-discharge,Sussex,,,None,583.0
CED discharge,Sussex,,,None,39.0
CED not stated,Sussex,,,None,0.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,None,15.0
AEP drawn,Sussex,,,None,15.0
AEP used,Sussex,,,None,0.0
AEP not stated,Sussex,,,None,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,None,86.0
*Total Other,Sussex,Other,Total: Other,None,418.0
"Dog use, of which",Sussex,Other,Total: Dog,None,43.0
Dog deployed,Sussex,Other,Dog: deployed,None,37.0
Dog bite,Sussex,Other,Dog: bite,None,6.0
Dog not stated,Sussex,,,None,0.0
Other / improvised,Sussex,Other,Other / improvised,None,375.0
*Total Not reported,Sussex,Not reported,Total: Not reported,None,0.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,None,5910.0
*Total Tactics,Thames Valley,Total,Total: all,None,26403.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,None,16021.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,None,10509.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,None,7037.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,None,3450.0
Handcuffing not stated,Thames Valley,,,None,22.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,None,855.0
Ground restraint,Thames Valley,Restraint,Ground restraint,None,4657.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,None,6656.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,None,1268.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,None,243.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,None,
Baton used,Thames Valley,Other equipment,Baton: used,None,
Baton not stated,Thames Valley,,,None,243.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,None,749.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,None,201.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,None,479.0
Irritant spray not stated,Thames Valley,,,None,69.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,None,255.0
Shield,Thames Valley,Other equipment,Shield,None,21.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,None,944.0
CED of which,Thames Valley,,,None,940.0
CED non-discharge,Thames Valley,,,None,790.0
CED discharge,Thames Valley,,,None,106.0
CED not stated,Thames Valley,,,None,44.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,None,4.0
AEP drawn,Thames Valley,,,None,1.0
AEP used,Thames Valley,,,None,1.0
AEP not stated,Thames Valley,,,None,2.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,None,35.0
*Total Other,Thames Valley,Other,Total: Other,None,1479.0
"Dog use, of which",Thames Valley,Other,Total: Dog,None,78.0
Dog deployed,Thames Valley,Other,Dog: deployed,None,
Dog bite,Thames Valley,Other,Dog: bite,None,
Dog not stated,Thames Valley,,,None,78.0
Other / improvised,Thames Valley,Other,Other / improvised,None,1401.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,None,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,None,1422.0
*Total Tactics,Warwickshire,Total,Total: all,None,0.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,None,0.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,None,0.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,None,0.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,None,0.0
Handcuffing not stated,Warwickshire,,,None,0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,None,0.0
Ground restraint,Warwickshire,Restraint,Ground restraint,None,0.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,None,0.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,None,0.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,None,0.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,None,0.0
Baton used,Warwickshire,Other equipment,Baton: used,None,0.0
Baton not stated,Warwickshire,,,None,0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,None,0.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,None,0.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,None,0.0
Irritant spray not stated,Warwickshire,,,None,0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,None,0.0
Shield,Warwickshire,Other equipment,Shield,None,0.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,None,0.0
CED of which,Warwickshire,,,None,
CED non-discharge,Warwickshire,,,None,
CED discharge,Warwickshire,,,None,
CED not stated,Warwickshire,,,None,
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,None,0.0
AEP drawn,Warwickshire,,,None,0.0
AEP used,Warwickshire,,,None,0.0
AEP not stated,Warwickshire,,,None,0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,None,0.0
*Total Other,Warwickshire,Other,Total: Other,None,0.0
"Dog use, of which",Warwickshire,Other,Total: Dog,None,0.0
Dog deployed,Warwickshire,Other,Dog: deployed,None,0.0
Dog bite,Warwickshire,Other,Dog: bite,None,0.0
Dog not stated,Warwickshire,,,None,0.0
Other / improvised,Warwickshire,Other,Other / improvised,None,0.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,None,0.0
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,None,0.0
*Total Tactics,West Mercia,Total,Total: all,None,0.0
*Total Restraint,West Mercia,Restraint,Total: Restraint,None,0.0
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,None,0.0
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,None,0.0
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,None,0.0
Handcuffing not stated,West Mercia,,,None,0.0
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,None,0.0
Ground restraint,West Mercia,Restraint,Ground restraint,None,0.0
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,None,0.0
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,None,0.0
"Baton, of which",West Mercia,Other equipment,Total: Baton,None,0.0
Baton drawn,West Mercia,Other equipment,Baton: drawn,None,0.0
Baton used,West Mercia,Other equipment,Baton: used,None,0.0
Baton not stated,West Mercia,,,None,0.0
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,None,0.0
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,None,0.0
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,None,0.0
Irritant spray not stated,West Mercia,,,None,0.0
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,None,0.0
Shield,West Mercia,Other equipment,Shield,None,0.0
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,None,0.0
CED of which,West Mercia,,,None,
CED non-discharge,West Mercia,,,None,
CED discharge,West Mercia,,,None,
CED not stated,West Mercia,,,None,
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,None,0.0
AEP drawn,West Mercia,,,None,0.0
AEP used,West Mercia,,,None,0.0
AEP not stated,West Mercia,,,None,0.0
*Total Firearms,West Mercia,Firearms,Total: Firearms,None,0.0
*Total Other,West Mercia,Other,Total: Other,None,0.0
"Dog use, of which",West Mercia,Other,Total: Dog,None,0.0
Dog deployed,West Mercia,Other,Dog: deployed,None,0.0
Dog bite,West Mercia,Other,Dog: bite,None,0.0
Dog not stated,West Mercia,,,None,0.0
Other / improvised,West Mercia,Other,Other / improvised,None,0.0
*Total Not reported,West Mercia,Not reported,Total: Not reported,None,0.0
Tactical communication,West Mercia,Excluded: Tactical Communication,Tactical Communication,None,0.0
*Total Tactics,West Midlands,Total,Total: all,None,16945.0
*Total Restraint,West Midlands,Restraint,Total: Restraint,None,6515.0
"Handcuffing, of which",West Midlands,Restraint,Total: Handcuffing,None,3754.0
Compliant handcuffing,West Midlands,Restraint,Handcuffing: compliant,None,742.0
Non-compliant handcuffing,West Midlands,Restraint,Handcuffing: non-compliant,None,3012.0
Handcuffing not stated,West Midlands,,,None,0.0
Limb / Body restraints,West Midlands,Restraint,Limb / body restraints,None,771.0
Ground restraint,West Midlands,Restraint,Ground restraint,None,1990.0
*Total Unarmed skills,West Midlands,Unarmed skills,Total: unarmed skills,None,5528.0
*Total Other equipment,West Midlands,Other equipment,Total: Other equipment,None,1471.0
"Baton, of which",West Midlands,Other equipment,Total: Baton,None,237.0
Baton drawn,West Midlands,Other equipment,Baton: drawn,None,
Baton used,West Midlands,Other equipment,Baton: used,None,
Baton not stated,West Midlands,,,None,237.0
"Irritant spray, of which",West Midlands,Other equipment,Total: Irritant spray,None,910.0
Irritant spray - drawn,West Midlands,Other equipment,Irritant spray: drawn,None,
Irritant spray - used,West Midlands,Other equipment,Irritant spray: used,None,
Irritant spray not stated,West Midlands,,,None,910.0
Spit and bite guard,West Midlands,Other equipment,Spit and bite guard,None,306.0
Shield,West Midlands,Other equipment,Shield,None,18.0
*Total Less lethal weapons,West Midlands,Less lethal weapons,Total: Less lethal weapons,None,2243.0
CED of which,West Midlands,,,None,2231.0
CED non-discharge,West Midlands,,,None,1948.0
CED discharge,West Midlands,,,None,283.0
CED not stated,West Midlands,,,None,0.0
"AEP, of which",West Midlands,Less lethal weapons,Total: AEP,None,12.0
AEP drawn,West Midlands,,,None,9.0
AEP used,West Midlands,,,None,3.0
AEP not stated,West Midlands,,,None,0.0
*Total Firearms,West Midlands,Firearms,Total: Firearms,None,592.0
*Total Other,West Midlands,Other,Total: Other,None,596.0
"Dog use, of which",West Midlands,Other,Total: Dog,None,91.0
Dog deployed,West Midlands,Other,Dog: deployed,None,
Dog bite,West Midlands,Other,Dog: bite,None,
Dog not stated,West Midlands,,,None,91.0
Other / improvised,West Midlands,Other,Other / improvised,None,505.0
*Total Not reported,West Midlands,Not reported,Total: Not reported,None,0.0
Tactical communication,West Midlands,Excluded: Tactical Communication,Tactical Communication,None,0.0
*Total Tactics,West Yorkshire,Total,Total: all,None,17780.0
*Total Restraint,West Yorkshire,Restraint,Total: Restraint,None,10659.0
"Handcuffing, of which",West Yorkshire,Restraint,Total: Handcuffing,None,9801.0
Compliant handcuffing,West Yorkshire,Restraint,Handcuffing: compliant,None,6725.0
Non-compliant handcuffing,West Yorkshire,Restraint,Handcuffing: non-compliant,None,3076.0
Handcuffing not stated,West Yorkshire,,,None,0.0
Limb / Body restraints,West Yorkshire,Restraint,Limb / body restraints,None,372.0
Ground restraint,West Yorkshire,Restraint,Ground restraint,None,486.0
*Total Unarmed skills,West Yorkshire,Unarmed skills,Total: unarmed skills,None,4827.0
*Total Other equipment,West Yorkshire,Other equipment,Total: Other equipment,None,1272.0
"Baton, of which",West Yorkshire,Other equipment,Total: Baton,None,154.0
Baton drawn,West Yorkshire,Other equipment,Baton: drawn,None,88.0
Baton used,West Yorkshire,Other equipment,Baton: used,None,66.0
Baton not stated,West Yorkshire,,,None,0.0
"Irritant spray, of which",West Yorkshire,Other equipment,Total: Irritant spray,None,910.0
Irritant spray - drawn,West Yorkshire,Other equipment,Irritant spray: drawn,None,331.0
Irritant spray - used,West Yorkshire,Other equipment,Irritant spray: used,None,579.0
Irritant spray not stated,West Yorkshire,,,None,0.0
Spit and bite guard,West Yorkshire,Other equipment,Spit and bite guard,None,203.0
Shield,West Yorkshire,Other equipment,Shield,None,5.0
*Total Less lethal weapons,West Yorkshire,Less lethal weapons,Total: Less lethal weapons,None,606.0
CED of which,West Yorkshire,,,None,575.0
CED non-discharge,West Yorkshire,,,None,533.0
CED discharge,West Yorkshire,,,None,42.0
CED not stated,West Yorkshire,,,None,0.0
