Tactic,Police Force,Force type - Output,Tactic - Output,Age,count
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Cheshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Cheshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Cheshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Cheshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Cheshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Cheshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Cheshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Cheshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Cheshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Cheshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Cheshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Cheshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,City of London,Total,Total: all,Not reported,498.0
*Total Restraint,City of London,Restraint,Total: Restraint,Not reported,213.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,Not reported,181.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,Not reported,51.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,Not reported,130.0
Not stated handcuffing,City of London,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,Not reported,5.0
Ground restraint,City of London,Restraint,Ground restraint,Not reported,27.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,Not reported,181.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,Not reported,26.0
"Baton, of which",City of London,Other equipment,Total: Baton,Not reported,9.0
Baton drawn,City of London,Other equipment,Baton: drawn,Not reported,6.0
Baton used,City of London,Other equipment,Baton: used,Not reported,3.0
Not stated baton,City of London,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,Not reported,17.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,Not reported,11.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,Not reported,6.0
Not stated irritant spray,City of London,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,Not reported,0.0
Shield,City of London,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,Not reported,18.0
CED,City of London,Less lethal weapons,CED,Not reported,18.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,City of London,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,City of London,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,City of London,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,Not reported,10.0
*Total Other,City of London,Other,Total: Other,Not reported,50.0
"Dog use, of which",City of London,Other,Total: Dog,Not reported,28.0
Dog deployed,City of London,Other,Dog: deployed,Not reported,28.0
Dog bite,City of London,Other,Dog: bite,Not reported,0.0
Not stated dog,City of London,Other,Dog: not stated,Not reported,0.0
Other / improvised,City of London,Other,Other / improvised,Not reported,22.0
*Total Not reported,City of London,Not reported,Total: Not reported,Not reported,68.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,Not reported,240.0
*Total Tactics,Cleveland,Total,Total: all,Not reported,94.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,Not reported,56.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,Not reported,34.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,Not reported,20.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,Not reported,14.0
Not stated handcuffing,Cleveland,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,Not reported,3.0
Ground restraint,Cleveland,Restraint,Ground restraint,Not reported,19.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,Not reported,22.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,Not reported,7.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,Not reported,1.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,Not reported,1.0
Baton used,Cleveland,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Cleveland,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,Not reported,4.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,Not reported,1.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,Not reported,3.0
Not stated irritant spray,Cleveland,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,Not reported,1.0
Shield,Cleveland,Other equipment,Shield,Not reported,1.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,Not reported,5.0
CED,Cleveland,Less lethal weapons,CED,Not reported,4.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,Not reported,1.0
AEP aimed,Cleveland,Less lethal weapons,AEP: Aimed,Not reported,1.0
AEP fired,Cleveland,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Cleveland,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Cleveland,Other,Total: Other,Not reported,4.0
"Dog use, of which",Cleveland,Other,Total: Dog,Not reported,0.0
Dog deployed,Cleveland,Other,Dog: deployed,Not reported,0.0
Dog bite,Cleveland,Other,Dog: bite,Not reported,0.0
Not stated dog,Cleveland,Other,Dog: not stated,Not reported,0.0
Other / improvised,Cleveland,Other,Other / improvised,Not reported,4.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,Not reported,44.0
*Total Tactics,Cumbria,Total,Total: all,Not reported,209.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,Not reported,97.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,Not reported,75.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,Not reported,32.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,Not reported,43.0
Not stated handcuffing,Cumbria,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,Not reported,2.0
Ground restraint,Cumbria,Restraint,Ground restraint,Not reported,20.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,Not reported,66.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,Not reported,20.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,Not reported,3.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,Not reported,1.0
Baton used,Cumbria,Other equipment,Baton: used,Not reported,2.0
Not stated baton,Cumbria,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,Not reported,16.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,Not reported,6.0
Irritant spray - used,Cumbria,Other equipment,Irritant spray: used,Not reported,10.0
Not stated irritant spray,Cumbria,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Cumbria,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Cumbria,Other equipment,Shield,Not reported,1.0
*Total Less lethal weapons,Cumbria,Less lethal weapons,Total: Less lethal weapons,Not reported,10.0
CED,Cumbria,Less lethal weapons,CED,Not reported,10.0
"AEP, of which",Cumbria,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Cumbria,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Cumbria,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Cumbria,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Cumbria,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Cumbria,Other,Total: Other,Not reported,16.0
"Dog use, of which",Cumbria,Other,Total: Dog,Not reported,4.0
Dog deployed,Cumbria,Other,Dog: deployed,Not reported,4.0
Dog bite,Cumbria,Other,Dog: bite,Not reported,0.0
Not stated dog,Cumbria,Other,Dog: not stated,Not reported,0.0
Other / improvised,Cumbria,Other,Other / improvised,Not reported,12.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,Not reported,2.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,Not reported,88.0
*Total Tactics,Derbyshire,Total,Total: all,Not reported,136.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,Not reported,54.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,Not reported,43.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,Not reported,25.0
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,Not reported,18.0
Not stated handcuffing,Derbyshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,Not reported,4.0
Ground restraint,Derbyshire,Restraint,Ground restraint,Not reported,7.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,Not reported,47.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,Not reported,17.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,Not reported,6.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,Not reported,5.0
Baton used,Derbyshire,Other equipment,Baton: used,Not reported,1.0
Not stated baton,Derbyshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,Not reported,11.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,Not reported,7.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,Not reported,4.0
Not stated irritant spray,Derbyshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Derbyshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,Not reported,4.0
CED,Derbyshire,Less lethal weapons,CED,Not reported,4.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Derbyshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Derbyshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Derbyshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Derbyshire,Other,Total: Other,Not reported,14.0
"Dog use, of which",Derbyshire,Other,Total: Dog,Not reported,2.0
Dog deployed,Derbyshire,Other,Dog: deployed,Not reported,2.0
Dog bite,Derbyshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Derbyshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Derbyshire,Other,Other / improvised,Not reported,12.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,Not reported,21.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,Not reported,66.0
*Total Tactics,Devon & Cornwall ,Total,Total: all,Not reported,2490.0
*Total Restraint,Devon & Cornwall ,Restraint,Total: Restraint,Not reported,1435.0
"Handcuffing, of which",Devon & Cornwall ,Restraint,Total: Handcuffing,Not reported,1244.0
Compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: compliant,Not reported,527.0
Non-compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: non-compliant,Not reported,717.0
Not stated handcuffing,Devon & Cornwall ,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Devon & Cornwall ,Restraint,Limb / body restraints,Not reported,26.0
Ground restraint,Devon & Cornwall ,Restraint,Ground restraint,Not reported,165.0
*Total Unarmed skills,Devon & Cornwall ,Unarmed skills,Total: unarmed skills,Not reported,784.0
*Total Other equipment,Devon & Cornwall ,Other equipment,Total: Other equipment,Not reported,45.0
"Baton, of which",Devon & Cornwall ,Other equipment,Total: Baton,Not reported,7.0
Baton drawn,Devon & Cornwall ,Other equipment,Baton: drawn,Not reported,3.0
Baton used,Devon & Cornwall ,Other equipment,Baton: used,Not reported,1.0
Not stated baton,Devon & Cornwall ,Other equipment,Baton: not stated,Not reported,3.0
"Irritant spray, of which",Devon & Cornwall ,Other equipment,Total: Irritant spray,Not reported,31.0
Irritant spray - drawn,Devon & Cornwall ,Other equipment,Irritant spray: drawn,Not reported,30.0
Irritant spray - used,Devon & Cornwall ,Other equipment,Irritant spray: used,Not reported,1.0
Not stated irritant spray,Devon & Cornwall ,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Devon & Cornwall ,Other equipment,Spit and bite guard,Not reported,1.0
Shield,Devon & Cornwall ,Other equipment,Shield,Not reported,6.0
*Total Less lethal weapons,Devon & Cornwall ,Less lethal weapons,Total: Less lethal weapons,Not reported,174.0
CED,Devon & Cornwall ,Less lethal weapons,CED,Not reported,166.0
"AEP, of which",Devon & Cornwall ,Less lethal weapons,Total: AEP,Not reported,8.0
AEP aimed,Devon & Cornwall ,Less lethal weapons,AEP: Aimed,Not reported,1.0
AEP fired,Devon & Cornwall ,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Devon & Cornwall ,Less lethal weapons,AEP: Not stated,Not reported,7.0
*Total Firearms,Devon & Cornwall ,Firearms,Total: Firearms,Not reported,17.0
*Total Other,Devon & Cornwall ,Other,Total: Other,Not reported,35.0
"Dog use, of which",Devon & Cornwall ,Other,Total: Dog,Not reported,9.0
Dog deployed,Devon & Cornwall ,Other,Dog: deployed,Not reported,1.0
Dog bite,Devon & Cornwall ,Other,Dog: bite,Not reported,0.0
Not stated dog,Devon & Cornwall ,Other,Dog: not stated,Not reported,8.0
Other / improvised,Devon & Cornwall ,Other,Other / improvised,Not reported,26.0
*Total Not reported,Devon & Cornwall ,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Devon & Cornwall ,Excluded: Tactical Communication,Tactical Communication,Not reported,1885.0
*Total Tactics,Dorset,Total,Total: all,Not reported,1770.0
*Total Restraint,Dorset,Restraint,Total: Restraint,Not reported,1374.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,Not reported,993.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,Not reported,386.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,Not reported,607.0
Not stated handcuffing,Dorset,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,Not reported,108.0
Ground restraint,Dorset,Restraint,Ground restraint,Not reported,273.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Not reported,254.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Not reported,58.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Not reported,7.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Not reported,7.0
Baton used,Dorset,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Dorset,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Not reported,50.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Not reported,13.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Not reported,37.0
Not stated irritant spray,Dorset,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Not reported,1.0
Shield,Dorset,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Not reported,38.0
CED,Dorset,Less lethal weapons,CED,Not reported,38.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Dorset,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Dorset,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Dorset,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Not reported,2.0
*Total Other,Dorset,Other,Total: Other,Not reported,44.0
"Dog use, of which",Dorset,Other,Total: Dog,Not reported,12.0
Dog deployed,Dorset,Other,Dog: deployed,Not reported,9.0
Dog bite,Dorset,Other,Dog: bite,Not reported,3.0
Not stated dog,Dorset,Other,Dog: not stated,Not reported,0.0
Other / improvised,Dorset,Other,Other / improvised,Not reported,32.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Not reported,64.0
*Total Tactics,Durham,Total,Total: all,Not reported,187.0
*Total Restraint,Durham,Restraint,Total: Restraint,Not reported,84.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Not reported,67.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Not reported,44.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Not reported,23.0
Not stated handcuffing,Durham,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Not reported,1.0
Ground restraint,Durham,Restraint,Ground restraint,Not reported,16.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Not reported,34.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Not reported,5.0
"Baton, of which",Durham,Other equipment,Total: Baton,Not reported,2.0
Baton drawn,Durham,Other equipment,Baton: drawn,Not reported,1.0
Baton used,Durham,Other equipment,Baton: used,Not reported,1.0
Not stated baton,Durham,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Not reported,3.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Not reported,3.0
Not stated irritant spray,Durham,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Durham,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Not reported,5.0
CED,Durham,Less lethal weapons,CED,Not reported,5.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Durham,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Durham,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Durham,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Not reported,1.0
*Total Other,Durham,Other,Total: Other,Not reported,58.0
"Dog use, of which",Durham,Other,Total: Dog,Not reported,1.0
Dog deployed,Durham,Other,Dog: deployed,Not reported,1.0
Dog bite,Durham,Other,Dog: bite,Not reported,0.0
Not stated dog,Durham,Other,Dog: not stated,Not reported,0.0
Other / improvised,Durham,Other,Other / improvised,Not reported,57.0
*Total Not reported,Durham,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Not reported,21.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Not reported,390.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Not reported,193.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Not reported,168.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Not reported,98.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Not reported,70.0
Not stated handcuffing,Dyfed-Powys,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Not reported,11.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Not reported,14.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Not reported,147.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Not reported,7.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Not reported,1.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Not reported,1.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Dyfed-Powys,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Not reported,6.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Not reported,3.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Not reported,3.0
Not stated irritant spray,Dyfed-Powys,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Dyfed-Powys,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Not reported,17.0
CED,Dyfed-Powys,Less lethal weapons,CED,Not reported,15.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Not reported,2.0
AEP aimed,Dyfed-Powys,Less lethal weapons,AEP: Aimed,Not reported,2.0
AEP fired,Dyfed-Powys,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Dyfed-Powys,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Not reported,14.0
*Total Other,Dyfed-Powys,Other,Total: Other,Not reported,12.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Not reported,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Not reported,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Not reported,0.0
Not stated dog,Dyfed-Powys,Other,Dog: not stated,Not reported,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Not reported,12.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,Not reported,166.0
*Total Tactics,Essex,Total,Total: all,Not reported,239.0
*Total Restraint,Essex,Restraint,Total: Restraint,Not reported,143.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,Not reported,89.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,Not reported,46.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,Not reported,43.0
Not stated handcuffing,Essex,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,Not reported,18.0
Ground restraint,Essex,Restraint,Ground restraint,Not reported,36.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,Not reported,56.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,Not reported,14.0
"Baton, of which",Essex,Other equipment,Total: Baton,Not reported,2.0
Baton drawn,Essex,Other equipment,Baton: drawn,Not reported,1.0
Baton used,Essex,Other equipment,Baton: used,Not reported,1.0
Not stated baton,Essex,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,Not reported,2.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,Not reported,1.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,Not reported,1.0
Not stated irritant spray,Essex,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,Not reported,9.0
Shield,Essex,Other equipment,Shield,Not reported,1.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,Not reported,3.0
CED,Essex,Less lethal weapons,CED,Not reported,2.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,Not reported,1.0
AEP aimed,Essex,Less lethal weapons,AEP: Aimed,Not reported,1.0
AEP fired,Essex,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Essex,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,Not reported,2.0
*Total Other,Essex,Other,Total: Other,Not reported,21.0
"Dog use, of which",Essex,Other,Total: Dog,Not reported,3.0
Dog deployed,Essex,Other,Dog: deployed,Not reported,2.0
Dog bite,Essex,Other,Dog: bite,Not reported,1.0
Not stated dog,Essex,Other,Dog: not stated,Not reported,0.0
Other / improvised,Essex,Other,Other / improvised,Not reported,18.0
*Total Not reported,Essex,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,Not reported,66.0
*Total Tactics,Gloucestershire,Total,Total: all,Not reported,11.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,Not reported,9.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,Not reported,8.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,Not reported,5.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,Not reported,3.0
Not stated handcuffing,Gloucestershire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,Not reported,1.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,Not reported,1.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Gloucestershire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Gloucestershire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Gloucestershire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Gloucestershire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,Not reported,1.0
CED,Gloucestershire,Less lethal weapons,CED,Not reported,1.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Gloucestershire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Gloucestershire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Gloucestershire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Gloucestershire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,Not reported,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,Not reported,0.0
Dog bite,Gloucestershire,Other,Dog: bite,Not reported,0.0
Not stated dog,Gloucestershire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,Not reported,0.0
