Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Leicestershire,Unarmed skills,*Total Unarmed skills,0.0,211.0,1207.0,500.0,95.0,9.0,4.0,2026.0
Leicestershire,Other equipment,*Total Other equipment,0.0,40.0,322.0,136.0,16.0,1.0,2.0,517.0
Leicestershire,Other equipment,"Baton, of which",0.0,9.0,76.0,26.0,3.0,0.0,2.0,116.0
Leicestershire,Other equipment,Baton drawn,0.0,6.0,52.0,17.0,3.0,0.0,1.0,79.0
Leicestershire,Other equipment,Baton used,0.0,3.0,24.0,9.0,0.0,0.0,1.0,37.0
Leicestershire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,"Irritant spray, of which",0.0,24.0,162.0,70.0,11.0,1.0,0.0,268.0
Leicestershire,Other equipment,Irritant spray - drawn,0.0,18.0,82.0,35.0,4.0,1.0,0.0,140.0
Leicestershire,Other equipment,Irritant spray - used,0.0,6.0,80.0,35.0,7.0,0.0,0.0,128.0
Leicestershire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,Spit and bite guard,0.0,6.0,77.0,37.0,2.0,0.0,0.0,122.0
Leicestershire,Other equipment,Shield,0.0,1.0,7.0,3.0,0.0,0.0,0.0,11.0
Leicestershire,Less lethal weapons,*Total Less lethal weapons,0.0,62.0,363.0,156.0,45.0,1.0,2.0,629.0
Leicestershire,Less lethal weapons,CED,0.0,59.0,357.0,154.0,42.0,1.0,2.0,615.0
Leicestershire,Less lethal weapons,"AEP, of which",0.0,3.0,6.0,2.0,3.0,0.0,0.0,14.0
Leicestershire,Less lethal weapons,AEP aimed,0.0,3.0,6.0,2.0,3.0,0.0,0.0,14.0
Leicestershire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Firearms,*Total Firearms,0.0,2.0,14.0,6.0,3.0,0.0,0.0,25.0
Leicestershire,Other,*Total Other,0.0,77.0,364.0,163.0,29.0,5.0,4.0,642.0
Leicestershire,Other,"Dog use, of which",0.0,4.0,23.0,10.0,0.0,1.0,0.0,38.0
Leicestershire,Other,Dog deployed,0.0,3.0,15.0,7.0,0.0,1.0,0.0,26.0
Leicestershire,Other,Dog bite,0.0,1.0,8.0,3.0,0.0,0.0,0.0,12.0
Leicestershire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other,Other / improvised,0.0,73.0,341.0,153.0,29.0,4.0,4.0,604.0
Leicestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Tactical communication,Tactical communication,0.0,315.0,1654.0,767.0,156.0,17.0,11.0,2920.0
Lincolnshire,Total (excluding not reported and tactical communication),*Total Tactics,26.0,394.0,3272.0,1657.0,330.0,62.0,4.0,5745.0
Lincolnshire,Restraint,*Total Restraint,8.0,220.0,1853.0,969.0,184.0,31.0,2.0,3267.0
Lincolnshire,Restraint,"Handcuffing, of which",5.0,186.0,1420.0,781.0,166.0,25.0,1.0,2584.0
Lincolnshire,Restraint,Compliant handcuffing,3.0,98.0,775.0,471.0,92.0,12.0,1.0,1452.0
Lincolnshire,Restraint,Non-compliant handcuffing,2.0,88.0,645.0,310.0,74.0,13.0,0.0,1132.0
Lincolnshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Restraint,Limb / Body restraints,3.0,8.0,109.0,40.0,4.0,3.0,0.0,167.0
Lincolnshire,Restraint,Ground restraint,0.0,26.0,324.0,148.0,14.0,3.0,1.0,516.0
Lincolnshire,Unarmed skills,*Total Unarmed skills,16.0,126.0,961.0,455.0,98.0,25.0,0.0,1681.0
Lincolnshire,Other equipment,*Total Other equipment,0.0,18.0,239.0,104.0,21.0,2.0,1.0,385.0
Lincolnshire,Other equipment,"Baton, of which",0.0,6.0,36.0,9.0,0.0,0.0,1.0,52.0
Lincolnshire,Other equipment,Baton drawn,0.0,6.0,17.0,7.0,0.0,0.0,1.0,31.0
Lincolnshire,Other equipment,Baton used,0.0,0.0,19.0,2.0,0.0,0.0,0.0,21.0
Lincolnshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,"Irritant spray, of which",0.0,11.0,177.0,74.0,17.0,1.0,0.0,280.0
Lincolnshire,Other equipment,Irritant spray - drawn,0.0,4.0,88.0,26.0,6.0,1.0,0.0,125.0
Lincolnshire,Other equipment,Irritant spray - used,0.0,7.0,89.0,48.0,11.0,0.0,0.0,155.0
Lincolnshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,Spit and bite guard,0.0,1.0,22.0,14.0,4.0,1.0,0.0,42.0
Lincolnshire,Other equipment,Shield,0.0,0.0,4.0,7.0,0.0,0.0,0.0,11.0
Lincolnshire,Less lethal weapons,*Total Less lethal weapons,0.0,17.0,151.0,86.0,22.0,2.0,1.0,279.0
Lincolnshire,Less lethal weapons,CED,0.0,16.0,145.0,81.0,22.0,2.0,1.0,267.0
Lincolnshire,Less lethal weapons,"AEP, of which",0.0,1.0,6.0,5.0,0.0,0.0,0.0,12.0
Lincolnshire,Less lethal weapons,AEP aimed,0.0,1.0,5.0,4.0,0.0,0.0,0.0,10.0
Lincolnshire,Less lethal weapons,AEP fired,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Lincolnshire,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Firearms,*Total Firearms,0.0,0.0,6.0,9.0,2.0,0.0,0.0,17.0
Lincolnshire,Other,*Total Other,2.0,13.0,62.0,34.0,3.0,2.0,0.0,116.0
Lincolnshire,Other,"Dog use, of which",0.0,2.0,17.0,7.0,0.0,0.0,0.0,26.0
Lincolnshire,Other,Dog deployed,0.0,2.0,15.0,7.0,0.0,0.0,0.0,24.0
Lincolnshire,Other,Dog bite,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Lincolnshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other,Other / improvised,2.0,11.0,45.0,27.0,3.0,2.0,0.0,90.0
Lincolnshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Tactical communication,Tactical communication,18.0,199.0,1374.0,736.0,158.0,35.0,1.0,2521.0
Merseyside,Total (excluding not reported and tactical communication),*Total Tactics,18.0,1145.0,6147.0,2798.0,647.0,36.0,330.0,11121.0
Merseyside,Restraint,*Total Restraint,2.0,418.0,2015.0,972.0,228.0,15.0,72.0,3722.0
Merseyside,Restraint,"Handcuffing, of which",1.0,353.0,1703.0,800.0,200.0,11.0,55.0,3123.0
Merseyside,Restraint,Compliant handcuffing,0.0,88.0,511.0,258.0,68.0,1.0,13.0,939.0
Merseyside,Restraint,Non-compliant handcuffing,1.0,265.0,1192.0,542.0,132.0,10.0,42.0,2184.0
Merseyside,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Restraint,Limb / Body restraints,0.0,29.0,136.0,76.0,9.0,1.0,7.0,258.0
Merseyside,Restraint,Ground restraint,1.0,36.0,176.0,96.0,19.0,3.0,10.0,341.0
Merseyside,Unarmed skills,*Total Unarmed skills,11.0,415.0,2063.0,904.0,223.0,13.0,108.0,3737.0
Merseyside,Other equipment,*Total Other equipment,0.0,51.0,384.0,152.0,23.0,3.0,34.0,647.0
Merseyside,Other equipment,"Baton, of which",0.0,10.0,69.0,15.0,2.0,0.0,7.0,103.0
Merseyside,Other equipment,Baton drawn,0.0,7.0,45.0,11.0,2.0,0.0,5.0,70.0
Merseyside,Other equipment,Baton used,0.0,3.0,24.0,4.0,0.0,0.0,2.0,33.0
Merseyside,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,"Irritant spray, of which",0.0,34.0,260.0,112.0,16.0,2.0,25.0,449.0
Merseyside,Other equipment,Irritant spray - drawn,0.0,18.0,111.0,50.0,7.0,1.0,14.0,201.0
Merseyside,Other equipment,Irritant spray - used,0.0,16.0,149.0,62.0,9.0,1.0,11.0,248.0
Merseyside,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,Spit and bite guard,0.0,7.0,41.0,14.0,2.0,1.0,2.0,67.0
Merseyside,Other equipment,Shield,0.0,0.0,14.0,11.0,3.0,0.0,0.0,28.0
Merseyside,Less lethal weapons,*Total Less lethal weapons,0.0,17.0,179.0,97.0,17.0,1.0,11.0,322.0
Merseyside,Less lethal weapons,CED,0.0,17.0,178.0,97.0,17.0,1.0,11.0,321.0
Merseyside,Less lethal weapons,"AEP, of which",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Merseyside,Less lethal weapons,AEP aimed,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Merseyside,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Firearms,*Total Firearms,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Merseyside,Other,*Total Other,5.0,244.0,1505.0,672.0,156.0,4.0,105.0,2691.0
Merseyside,Other,"Dog use, of which",0.0,4.0,43.0,3.0,1.0,0.0,0.0,51.0
Merseyside,Other,Dog deployed,0.0,2.0,21.0,2.0,0.0,0.0,0.0,25.0
Merseyside,Other,Dog bite,0.0,2.0,22.0,1.0,1.0,0.0,0.0,26.0
Merseyside,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other,Other / improvised,5.0,240.0,1462.0,669.0,155.0,4.0,105.0,2640.0
Merseyside,Not reported,*Total Not reported,0.0,0.0,14.0,5.0,1.0,0.0,1.0,21.0
Merseyside,Tactical communication,Tactical communication,12.0,499.0,2581.0,1196.0,290.0,17.0,137.0,4732.0
Metropolitan,Total (excluding not reported and tactical communication),*Total Tactics,97.0,19951.0,100128.0,40109.0,10731.0,789.0,0.0,171805.0
Metropolitan,Restraint,*Total Restraint,45.0,14306.0,70957.0,28880.0,7674.0,525.0,0.0,122387.0
Metropolitan,Restraint,"Handcuffing, of which",18.0,11480.0,56017.0,23367.0,6429.0,442.0,0.0,97753.0
Metropolitan,Restraint,Compliant handcuffing,4.0,7708.0,38813.0,16200.0,4420.0,266.0,0.0,67411.0
Metropolitan,Restraint,Non-compliant handcuffing,14.0,3772.0,17204.0,7167.0,2009.0,176.0,0.0,30342.0
Metropolitan,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Restraint,Limb / Body restraints,12.0,830.0,4747.0,1958.0,466.0,47.0,0.0,8060.0
Metropolitan,Restraint,Ground restraint,15.0,1996.0,10193.0,3555.0,779.0,36.0,0.0,16574.0
Metropolitan,Unarmed skills,*Total Unarmed skills,39.0,3747.0,18133.0,7236.0,1893.0,164.0,0.0,31212.0
Metropolitan,Other equipment,*Total Other equipment,1.0,449.0,2767.0,904.0,214.0,9.0,0.0,4344.0
Metropolitan,Other equipment,"Baton, of which",1.0,278.0,1477.0,390.0,95.0,3.0,0.0,2244.0
Metropolitan,Other equipment,Baton drawn,1.0,231.0,1022.0,278.0,71.0,3.0,0.0,1606.0
Metropolitan,Other equipment,Baton used,0.0,47.0,455.0,112.0,24.0,0.0,0.0,638.0
Metropolitan,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,"Irritant spray, of which",0.0,116.0,645.0,205.0,43.0,1.0,0.0,1010.0
Metropolitan,Other equipment,Irritant spray - drawn,0.0,83.0,413.0,134.0,32.0,1.0,0.0,663.0
Metropolitan,Other equipment,Irritant spray - used,0.0,33.0,232.0,71.0,11.0,0.0,0.0,347.0
Metropolitan,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,Spit and bite guard,0.0,49.0,546.0,244.0,57.0,3.0,0.0,899.0
Metropolitan,Other equipment,Shield,0.0,6.0,99.0,65.0,19.0,2.0,0.0,191.0
Metropolitan,Less lethal weapons,*Total Less lethal weapons,0.0,783.0,4472.0,1629.0,492.0,35.0,0.0,7411.0
Metropolitan,Less lethal weapons,CED,0.0,783.0,4461.0,1625.0,492.0,35.0,0.0,7396.0
Metropolitan,Less lethal weapons,"AEP, of which",0.0,0.0,11.0,4.0,0.0,0.0,0.0,15.0
Metropolitan,Less lethal weapons,AEP aimed,0.0,0.0,11.0,4.0,0.0,0.0,0.0,15.0
Metropolitan,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Firearms,*Total Firearms,0.0,88.0,930.0,271.0,92.0,8.0,0.0,1389.0
Metropolitan,Other,*Total Other,12.0,578.0,2869.0,1189.0,366.0,48.0,0.0,5062.0
Metropolitan,Other,"Dog use, of which",0.0,71.0,293.0,67.0,8.0,1.0,0.0,440.0
Metropolitan,Other,Dog deployed,0.0,54.0,204.0,54.0,6.0,1.0,0.0,319.0
Metropolitan,Other,Dog bite,0.0,17.0,89.0,13.0,2.0,0.0,0.0,121.0
Metropolitan,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other,Other / improvised,12.0,507.0,2576.0,1122.0,358.0,47.0,0.0,4622.0
Metropolitan,Not reported,*Total Not reported,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Metropolitan,Tactical communication,Tactical communication,41.0,4248.0,20415.0,8053.0,2266.0,201.0,0.0,35224.0
Norfolk,Total (excluding not reported and tactical communication),*Total Tactics,7.0,629.0,4197.0,1668.0,439.0,39.0,192.0,7171.0
Norfolk,Restraint,*Total Restraint,2.0,411.0,2776.0,1116.0,295.0,26.0,116.0,4742.0
Norfolk,Restraint,"Handcuffing, of which",1.0,334.0,2188.0,898.0,252.0,23.0,94.0,3790.0
Norfolk,Restraint,Compliant handcuffing,0.0,159.0,1151.0,481.0,136.0,14.0,60.0,2001.0
Norfolk,Restraint,Non-compliant handcuffing,1.0,175.0,1037.0,417.0,116.0,9.0,34.0,1789.0
Norfolk,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Restraint,Limb / Body restraints,0.0,30.0,220.0,81.0,23.0,1.0,11.0,366.0
Norfolk,Restraint,Ground restraint,1.0,47.0,368.0,137.0,20.0,2.0,11.0,586.0
Norfolk,Unarmed skills,*Total Unarmed skills,1.0,119.0,657.0,245.0,64.0,5.0,33.0,1124.0
Norfolk,Other equipment,*Total Other equipment,0.0,35.0,348.0,143.0,28.0,2.0,23.0,579.0
Norfolk,Other equipment,"Baton, of which",0.0,2.0,30.0,12.0,4.0,0.0,6.0,54.0
Norfolk,Other equipment,Baton drawn,0.0,1.0,22.0,9.0,4.0,0.0,5.0,41.0
Norfolk,Other equipment,Baton used,0.0,1.0,8.0,3.0,0.0,0.0,1.0,13.0
Norfolk,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other equipment,"Irritant spray, of which",0.0,27.0,262.0,106.0,18.0,2.0,13.0,428.0
Norfolk,Other equipment,Irritant spray - drawn,0.0,17.0,105.0,39.0,7.0,0.0,5.0,173.0
Norfolk,Other equipment,Irritant spray - used,0.0,10.0,157.0,67.0,11.0,2.0,8.0,255.0
Norfolk,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other equipment,Spit and bite guard,0.0,6.0,55.0,25.0,6.0,0.0,2.0,94.0
Norfolk,Other equipment,Shield,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0
Norfolk,Less lethal weapons,*Total Less lethal weapons,0.0,1.0,11.0,4.0,0.0,0.0,1.0,17.0
Norfolk,Less lethal weapons,CED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Less lethal weapons,"AEP, of which",0.0,1.0,11.0,4.0,0.0,0.0,1.0,17.0
Norfolk,Less lethal weapons,AEP aimed,0.0,1.0,11.0,4.0,0.0,0.0,1.0,17.0
Norfolk,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Firearms,*Total Firearms,0.0,1.0,6.0,1.0,1.0,0.0,1.0,10.0
Norfolk,Other,*Total Other,4.0,62.0,399.0,159.0,51.0,6.0,18.0,699.0
Norfolk,Other,"Dog use, of which",0.0,0.0,6.0,3.0,0.0,0.0,4.0,13.0
Norfolk,Other,Dog deployed,0.0,0.0,4.0,2.0,0.0,0.0,4.0,10.0
Norfolk,Other,Dog bite,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Norfolk,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other,Other / improvised,4.0,62.0,393.0,156.0,51.0,6.0,14.0,686.0
Norfolk,Not reported,*Total Not reported,0.0,18.0,117.0,34.0,6.0,0.0,7.0,182.0
Norfolk,Tactical communication,Tactical communication,4.0,258.0,1634.0,686.0,184.0,15.0,83.0,2864.0
North Wales,Total (excluding not reported and tactical communication),*Total Tactics,0.0,113.0,1186.0,529.0,112.0,12.0,0.0,1952.0
North Wales,Restraint,*Total Restraint,0.0,52.0,477.0,211.0,36.0,9.0,0.0,785.0
North Wales,Restraint,"Handcuffing, of which",0.0,47.0,435.0,200.0,36.0,9.0,0.0,727.0
North Wales,Restraint,Compliant handcuffing,0.0,11.0,124.0,56.0,7.0,1.0,0.0,199.0
North Wales,Restraint,Non-compliant handcuffing,0.0,36.0,311.0,144.0,29.0,8.0,0.0,528.0
North Wales,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Restraint,Limb / Body restraints,0.0,1.0,11.0,4.0,0.0,0.0,0.0,16.0
North Wales,Restraint,Ground restraint,0.0,4.0,31.0,7.0,0.0,0.0,0.0,42.0
North Wales,Unarmed skills,*Total Unarmed skills,0.0,15.0,156.0,64.0,17.0,2.0,0.0,254.0
North Wales,Other equipment,*Total Other equipment,0.0,2.0,113.0,51.0,8.0,0.0,0.0,174.0
North Wales,Other equipment,"Baton, of which",0.0,0.0,6.0,3.0,0.0,0.0,0.0,9.0
North Wales,Other equipment,Baton drawn,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
North Wales,Other equipment,Baton used,0.0,0.0,5.0,3.0,0.0,0.0,0.0,8.0
North Wales,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other equipment,"Irritant spray, of which",0.0,2.0,103.0,47.0,7.0,0.0,0.0,159.0
North Wales,Other equipment,Irritant spray - drawn,0.0,0.0,19.0,6.0,0.0,0.0,0.0,25.0
North Wales,Other equipment,Irritant spray - used,0.0,2.0,84.0,41.0,7.0,0.0,0.0,134.0
North Wales,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other equipment,Spit and bite guard,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0
North Wales,Other equipment,Shield,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
North Wales,Less lethal weapons,*Total Less lethal weapons,0.0,6.0,79.0,43.0,2.0,0.0,0.0,130.0
North Wales,Less lethal weapons,CED,0.0,6.0,79.0,43.0,2.0,0.0,0.0,130.0
North Wales,Less lethal weapons,"AEP, of which",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Less lethal weapons,Not stated AEP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Firearms,*Total Firearms,0.0,0.0,5.0,5.0,0.0,0.0,0.0,10.0
North Wales,Other,*Total Other,0.0,38.0,356.0,155.0,49.0,1.0,0.0,599.0
North Wales,Other,"Dog use, of which",0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
North Wales,Other,Dog deployed,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0
North Wales,Other,Dog bite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other,Other / improvised,0.0,37.0,354.0,155.0,49.0,1.0,0.0,596.0
North Wales,Not reported,*Total Not reported,0.0,3.0,21.0,10.0,5.0,0.0,0.0,39.0
North Wales,Tactical communication,Tactical communication,0.0,4.0,73.0,23.0,6.0,1.0,0.0,107.0
North Yorkshire,Total (excluding not reported and tactical communication),*Total Tactics,10.0,457.0,2760.0,1282.0,282.0,39.0,0.0,4830.0
North Yorkshire,Restraint,*Total Restraint,8.0,258.0,1580.0,719.0,142.0,23.0,0.0,2730.0
North Yorkshire,Restraint,"Handcuffing, of which",1.0,174.0,1093.0,505.0,113.0,18.0,0.0,1904.0
North Yorkshire,Restraint,Compliant handcuffing,0.0,90.0,615.0,273.0,60.0,9.0,0.0,1047.0
North Yorkshire,Restraint,Non-compliant handcuffing,1.0,84.0,478.0,232.0,53.0,9.0,0.0,857.0
North Yorkshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Restraint,Limb / Body restraints,1.0,16.0,91.0,39.0,5.0,2.0,0.0,154.0
North Yorkshire,Restraint,Ground restraint,6.0,68.0,396.0,175.0,24.0,3.0,0.0,672.0
North Yorkshire,Unarmed skills,*Total Unarmed skills,2.0,165.0,757.0,346.0,84.0,10.0,0.0,1364.0
North Yorkshire,Other equipment,*Total Other equipment,0.0,11.0,200.0,107.0,14.0,1.0,0.0,333.0
North Yorkshire,Other equipment,"Baton, of which",0.0,2.0,16.0,10.0,5.0,0.0,0.0,33.0
North Yorkshire,Other equipment,Baton drawn,0.0,2.0,12.0,7.0,4.0,0.0,0.0,25.0
North Yorkshire,Other equipment,Baton used,0.0,0.0,4.0,3.0,1.0,0.0,0.0,8.0
North Yorkshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other equipment,"Irritant spray, of which",0.0,8.0,142.0,77.0,7.0,1.0,0.0,235.0
North Yorkshire,Other equipment,Irritant spray - drawn,0.0,5.0,57.0,29.0,0.0,0.0,0.0,91.0
North Yorkshire,Other equipment,Irritant spray - used,0.0,3.0,85.0,48.0,7.0,1.0,0.0,144.0
North Yorkshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other equipment,Spit and bite guard,0.0,1.0,40.0,20.0,2.0,0.0,0.0,63.0
North Yorkshire,Other equipment,Shield,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
North Yorkshire,Less lethal weapons,*Total Less lethal weapons,0.0,13.0,145.0,77.0,27.0,2.0,0.0,264.0
North Yorkshire,Less lethal weapons,CED,0.0,13.0,136.0,73.0,22.0,2.0,0.0,246.0
North Yorkshire,Less lethal weapons,"AEP, of which",0.0,0.0,9.0,4.0,5.0,0.0,0.0,18.0
North Yorkshire,Less lethal weapons,AEP aimed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Less lethal weapons,AEP fired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Less lethal weapons,Not stated AEP,0.0,0.0,9.0,4.0,5.0,0.0,0.0,18.0
North Yorkshire,Firearms,*Total Firearms,0.0,0.0,25.0,12.0,4.0,1.0,0.0,42.0
North Yorkshire,Other,*Total Other,0.0,10.0,53.0,21.0,11.0,2.0,0.0,97.0
North Yorkshire,Other,"Dog use, of which",0.0,1.0,5.0,1.0,1.0,0.0,0.0,8.0
North Yorkshire,Other,Dog deployed,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0
North Yorkshire,Other,Dog bite,0.0,1.0,2.0,1.0,0.0,0.0,0.0,4.0
North Yorkshire,Other,Not stated dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Other,Other / improvised,0.0,9.0,48.0,20.0,10.0,2.0,0.0,89.0
North Yorkshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Yorkshire,Tactical communication,Tactical communication,4.0,198.0,1073.0,502.0,135.0,22.0,0.0,1934.0
Northamptonshire,Total (excluding not reported and tactical communication),*Total Tactics,6.0,1257.0,7015.0,3122.0,696.0,46.0,1.0,12143.0
Northamptonshire,Restraint,*Total Restraint,6.0,724.0,4106.0,1871.0,391.0,29.0,0.0,7127.0
Northamptonshire,Restraint,"Handcuffing, of which",2.0,492.0,2848.0,1376.0,306.0,24.0,0.0,5048.0
Northamptonshire,Restraint,Compliant handcuffing,1.0,281.0,1842.0,912.0,177.0,13.0,0.0,3226.0
Northamptonshire,Restraint,Non-compliant handcuffing,1.0,211.0,1006.0,464.0,129.0,11.0,0.0,1822.0
Northamptonshire,Restraint,Not stated handcuffing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Restraint,Limb / Body restraints,0.0,47.0,328.0,106.0,15.0,3.0,0.0,499.0
Northamptonshire,Restraint,Ground restraint,4.0,185.0,930.0,389.0,70.0,2.0,0.0,1580.0
Northamptonshire,Unarmed skills,*Total Unarmed skills,0.0,313.0,1542.0,683.0,159.0,12.0,0.0,2709.0
Northamptonshire,Other equipment,*Total Other equipment,0.0,70.0,550.0,216.0,43.0,0.0,1.0,880.0
Northamptonshire,Other equipment,"Baton, of which",0.0,10.0,81.0,39.0,10.0,0.0,0.0,140.0
Northamptonshire,Other equipment,Baton drawn,0.0,7.0,42.0,21.0,3.0,0.0,0.0,73.0
Northamptonshire,Other equipment,Baton used,0.0,3.0,39.0,18.0,7.0,0.0,0.0,67.0
Northamptonshire,Other equipment,Not stated baton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Other equipment,"Irritant spray, of which",0.0,43.0,357.0,141.0,30.0,0.0,1.0,572.0
Northamptonshire,Other equipment,Irritant spray - drawn,0.0,23.0,162.0,64.0,14.0,0.0,0.0,263.0
Northamptonshire,Other equipment,Irritant spray - used,0.0,20.0,195.0,77.0,16.0,0.0,1.0,309.0
Northamptonshire,Other equipment,Not stated irritant spray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northamptonshire,Other equipment,Spit and bite guard,0.0,17.0,101.0,34.0,3.0,0.0,0.0,155.0
Northamptonshire,Other equipment,Shield,0.0,0.0,11.0,2.0,0.0,0.0,0.0,13.0
Northamptonshire,Less lethal weapons,*Total Less lethal weapons,0.0,46.0,323.0,148.0,59.0,1.0,0.0,577.0
Northamptonshire,Less lethal weapons,CED,0.0,45.0,308.0,148.0,58.0,1.0,0.0,560.0
