Police Force,Type of force,Tactic,Under 11 years,11 - 17 years,18 - 34 years,35 - 49 years,50 - 64 years,65 and over,Not reported,Number of times tactic reported
Kent,Less lethal weapons,*Total Less lethal weapons,1.0,55.0,502.0,194.0,44.0,4.0,122.0,922.0
Kent,Less lethal weapons,CED of which,1.0,52.0,468.0,185.0,41.0,3.0,113.0,863.0
Kent,Less lethal weapons,CED non-discharge,0.0,34.0,234.0,80.0,21.0,0.0,48.0,417.0
Kent,Less lethal weapons,CED discharge,0.0,2.0,63.0,35.0,1.0,0.0,15.0,116.0
Kent,Less lethal weapons,CED not stated,1.0,16.0,171.0,70.0,19.0,3.0,50.0,330.0
Kent,Less lethal weapons,"AEP, of which",0.0,3.0,34.0,9.0,3.0,1.0,9.0,59.0
Kent,Less lethal weapons,AEP drawn,0.0,3.0,32.0,9.0,3.0,1.0,9.0,57.0
Kent,Less lethal weapons,AEP used,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Kent,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Firearms,*Total Firearms,0.0,2.0,74.0,17.0,9.0,2.0,23.0,127.0
Kent,Other,*Total Other,3.0,90.0,516.0,236.0,94.0,11.0,169.0,1119.0
Kent,Other,"Dog use, of which",1.0,2.0,15.0,1.0,0.0,0.0,4.0,23.0
Kent,Other,Dog deployed,0.0,2.0,10.0,1.0,0.0,0.0,3.0,16.0
Kent,Other,Dog bite,1.0,0.0,5.0,0.0,0.0,0.0,1.0,7.0
Kent,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Other,Other / improvised,2.0,88.0,501.0,235.0,94.0,11.0,165.0,1096.0
Kent,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent,Tactical communication,Tactical communication,15.0,403.0,2494.0,1180.0,346.0,31.0,535.0,5004.0
Lancashire,Total (excluding not reported and tactical communication),*Total Tactics,20.0,1253.0,7312.0,3448.0,898.0,95.0,426.0,13452.0
Lancashire,Restraint,*Total Restraint,11.0,620.0,3514.0,1630.0,415.0,47.0,44.0,6281.0
Lancashire,Restraint,"Handcuffing, of which",9.0,511.0,2805.0,1357.0,356.0,42.0,39.0,5119.0
Lancashire,Restraint,Compliant handcuffing,,,,,,,,
Lancashire,Restraint,Non-compliant handcuffing,,,,,,,,
Lancashire,Restraint,Handcuffing not stated,9.0,511.0,2805.0,1357.0,356.0,42.0,39.0,5119.0
Lancashire,Restraint,Limb / Body restraints,0.0,39.0,178.0,62.0,13.0,3.0,1.0,296.0
Lancashire,Restraint,Ground restraint,2.0,70.0,531.0,211.0,46.0,2.0,4.0,866.0
Lancashire,Unarmed skills,*Total Unarmed skills,6.0,480.0,2559.0,1197.0,321.0,31.0,255.0,4849.0
Lancashire,Other equipment,*Total Other equipment,2.0,71.0,668.0,322.0,77.0,8.0,31.0,1179.0
Lancashire,Other equipment,"Baton, of which",0.0,13.0,51.0,20.0,9.0,1.0,14.0,108.0
Lancashire,Other equipment,Baton drawn,0.0,9.0,24.0,9.0,3.0,0.0,11.0,56.0
Lancashire,Other equipment,Baton used,0.0,4.0,27.0,11.0,6.0,1.0,3.0,52.0
Lancashire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,"Irritant spray, of which",2.0,52.0,539.0,276.0,66.0,7.0,15.0,957.0
Lancashire,Other equipment,Irritant spray - drawn,1.0,13.0,153.0,81.0,16.0,1.0,7.0,272.0
Lancashire,Other equipment,Irritant spray - used,1.0,39.0,386.0,195.0,50.0,6.0,8.0,685.0
Lancashire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other equipment,Spit and bite guard,0.0,6.0,72.0,25.0,1.0,0.0,2.0,106.0
Lancashire,Other equipment,Shield,0.0,0.0,6.0,1.0,1.0,0.0,0.0,8.0
Lancashire,Less lethal weapons,*Total Less lethal weapons,0.0,28.0,256.0,125.0,35.0,3.0,4.0,451.0
Lancashire,Less lethal weapons,CED of which,0.0,28.0,250.0,124.0,35.0,2.0,4.0,443.0
Lancashire,Less lethal weapons,CED non-discharge,0.0,28.0,212.0,99.0,28.0,2.0,4.0,373.0
Lancashire,Less lethal weapons,CED discharge,0.0,0.0,38.0,25.0,7.0,0.0,0.0,70.0
Lancashire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Less lethal weapons,"AEP, of which",0.0,0.0,6.0,1.0,0.0,1.0,0.0,8.0
Lancashire,Less lethal weapons,AEP drawn,0.0,0.0,4.0,1.0,0.0,1.0,0.0,6.0
Lancashire,Less lethal weapons,AEP used,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Lancashire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Firearms,*Total Firearms,0.0,0.0,3.0,2.0,0.0,0.0,1.0,6.0
Lancashire,Other,*Total Other,1.0,54.0,312.0,172.0,50.0,6.0,91.0,686.0
Lancashire,Other,"Dog use, of which",0.0,15.0,34.0,14.0,1.0,1.0,1.0,66.0
Lancashire,Other,Dog deployed,0.0,8.0,20.0,9.0,1.0,1.0,0.0,39.0
Lancashire,Other,Dog bite,0.0,7.0,14.0,5.0,0.0,0.0,1.0,27.0
Lancashire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Other,Other / improvised,1.0,39.0,278.0,158.0,49.0,5.0,90.0,620.0
Lancashire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lancashire,Tactical communication,Tactical communication,10.0,596.0,3269.0,1602.0,447.0,56.0,279.0,6259.0
Leicestershire,Total (excluding not reported and tactical communication),*Total Tactics,10.0,1212.0,6715.0,3305.0,712.0,49.0,44.0,12047.0
Leicestershire,Restraint,*Total Restraint,2.0,757.0,4463.0,2216.0,477.0,35.0,7.0,7957.0
Leicestershire,Restraint,"Handcuffing, of which",1.0,695.0,3990.0,2018.0,445.0,33.0,5.0,7187.0
Leicestershire,Restraint,Compliant handcuffing,1.0,510.0,3108.0,1559.0,329.0,25.0,5.0,5537.0
Leicestershire,Restraint,Non-compliant handcuffing,0.0,185.0,882.0,459.0,116.0,8.0,0.0,1650.0
Leicestershire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Restraint,Limb / Body restraints,0.0,27.0,222.0,99.0,15.0,2.0,0.0,365.0
Leicestershire,Restraint,Ground restraint,1.0,35.0,251.0,99.0,17.0,0.0,2.0,405.0
Leicestershire,Unarmed skills,*Total Unarmed skills,5.0,294.0,1278.0,636.0,139.0,10.0,1.0,2363.0
Leicestershire,Other equipment,*Total Other equipment,0.0,22.0,228.0,105.0,13.0,2.0,0.0,370.0
Leicestershire,Other equipment,"Baton, of which",0.0,6.0,71.0,19.0,3.0,0.0,0.0,99.0
Leicestershire,Other equipment,Baton drawn,0.0,6.0,52.0,12.0,3.0,0.0,0.0,73.0
Leicestershire,Other equipment,Baton used,0.0,0.0,19.0,7.0,0.0,0.0,0.0,26.0
Leicestershire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,"Irritant spray, of which",0.0,9.0,94.0,44.0,6.0,2.0,0.0,155.0
Leicestershire,Other equipment,Irritant spray - drawn,0.0,7.0,50.0,26.0,2.0,1.0,0.0,86.0
Leicestershire,Other equipment,Irritant spray - used,0.0,2.0,44.0,18.0,4.0,1.0,0.0,69.0
Leicestershire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other equipment,Spit and bite guard,0.0,7.0,48.0,29.0,3.0,0.0,0.0,87.0
Leicestershire,Other equipment,Shield,0.0,0.0,15.0,13.0,1.0,0.0,0.0,29.0
Leicestershire,Less lethal weapons,*Total Less lethal weapons,0.0,75.0,435.0,223.0,48.0,0.0,2.0,783.0
Leicestershire,Less lethal weapons,CED of which,0.0,72.0,424.0,220.0,47.0,0.0,2.0,765.0
Leicestershire,Less lethal weapons,CED non-discharge,0.0,71.0,400.0,212.0,44.0,0.0,2.0,729.0
Leicestershire,Less lethal weapons,CED discharge,0.0,1.0,24.0,8.0,3.0,0.0,0.0,36.0
Leicestershire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Less lethal weapons,"AEP, of which",0.0,3.0,11.0,3.0,1.0,0.0,0.0,18.0
Leicestershire,Less lethal weapons,AEP drawn,0.0,3.0,11.0,3.0,1.0,0.0,0.0,18.0
Leicestershire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Firearms,*Total Firearms,0.0,5.0,41.0,8.0,1.0,0.0,0.0,55.0
Leicestershire,Other,*Total Other,3.0,59.0,270.0,117.0,34.0,2.0,34.0,519.0
Leicestershire,Other,"Dog use, of which",0.0,4.0,23.0,7.0,0.0,0.0,0.0,34.0
Leicestershire,Other,Dog deployed,0.0,2.0,18.0,6.0,0.0,0.0,0.0,26.0
Leicestershire,Other,Dog bite,0.0,2.0,5.0,1.0,0.0,0.0,0.0,8.0
Leicestershire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Other,Other / improvised,3.0,55.0,247.0,110.0,34.0,2.0,34.0,485.0
Leicestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicestershire,Tactical communication,Tactical communication,5.0,497.0,2632.0,1287.0,302.0,19.0,2.0,4744.0
Lincolnshire,Total (excluding not reported and tactical communication),*Total Tactics,4.0,430.0,3503.0,1519.0,390.0,40.0,0.0,5886.0
Lincolnshire,Restraint,*Total Restraint,1.0,208.0,1792.0,788.0,206.0,15.0,0.0,3010.0
Lincolnshire,Restraint,"Handcuffing, of which",1.0,181.0,1505.0,696.0,190.0,13.0,0.0,2586.0
Lincolnshire,Restraint,Compliant handcuffing,0.0,104.0,793.0,374.0,85.0,8.0,0.0,1364.0
Lincolnshire,Restraint,Non-compliant handcuffing,1.0,77.0,712.0,322.0,105.0,5.0,0.0,1222.0
Lincolnshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Restraint,Limb / Body restraints,0.0,12.0,90.0,30.0,7.0,1.0,0.0,140.0
Lincolnshire,Restraint,Ground restraint,0.0,15.0,197.0,62.0,9.0,1.0,0.0,284.0
Lincolnshire,Unarmed skills,*Total Unarmed skills,3.0,162.0,1128.0,481.0,110.0,18.0,0.0,1902.0
Lincolnshire,Other equipment,*Total Other equipment,0.0,16.0,248.0,97.0,23.0,1.0,0.0,385.0
Lincolnshire,Other equipment,"Baton, of which",0.0,4.0,21.0,16.0,3.0,0.0,0.0,44.0
Lincolnshire,Other equipment,Baton drawn,0.0,3.0,16.0,11.0,3.0,0.0,0.0,33.0
Lincolnshire,Other equipment,Baton used,0.0,1.0,5.0,5.0,0.0,0.0,0.0,11.0
Lincolnshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,"Irritant spray, of which",0.0,9.0,193.0,61.0,17.0,1.0,0.0,281.0
Lincolnshire,Other equipment,Irritant spray - drawn,0.0,6.0,65.0,22.0,5.0,0.0,0.0,98.0
Lincolnshire,Other equipment,Irritant spray - used,0.0,3.0,128.0,39.0,12.0,1.0,0.0,183.0
Lincolnshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other equipment,Spit and bite guard,0.0,2.0,27.0,17.0,3.0,0.0,0.0,49.0
Lincolnshire,Other equipment,Shield,0.0,1.0,7.0,3.0,0.0,0.0,0.0,11.0
Lincolnshire,Less lethal weapons,*Total Less lethal weapons,0.0,28.0,244.0,105.0,36.0,2.0,0.0,415.0
Lincolnshire,Less lethal weapons,CED of which,0.0,27.0,232.0,98.0,36.0,2.0,0.0,395.0
Lincolnshire,Less lethal weapons,CED non-discharge,0.0,27.0,207.0,87.0,28.0,2.0,0.0,351.0
Lincolnshire,Less lethal weapons,CED discharge,0.0,0.0,24.0,10.0,8.0,0.0,0.0,42.0
Lincolnshire,Less lethal weapons,CED not stated,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Lincolnshire,Less lethal weapons,"AEP, of which",0.0,1.0,12.0,7.0,0.0,0.0,0.0,20.0
Lincolnshire,Less lethal weapons,AEP drawn,0.0,1.0,11.0,6.0,0.0,0.0,0.0,18.0
Lincolnshire,Less lethal weapons,AEP used,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Lincolnshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Firearms,*Total Firearms,0.0,2.0,15.0,14.0,3.0,0.0,0.0,34.0
Lincolnshire,Other,*Total Other,0.0,14.0,76.0,34.0,12.0,4.0,0.0,140.0
Lincolnshire,Other,"Dog use, of which",0.0,2.0,20.0,8.0,0.0,0.0,0.0,30.0
Lincolnshire,Other,Dog deployed,0.0,2.0,14.0,5.0,0.0,0.0,0.0,21.0
Lincolnshire,Other,Dog bite,0.0,0.0,6.0,3.0,0.0,0.0,0.0,9.0
Lincolnshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Other,Other / improvised,0.0,12.0,56.0,26.0,12.0,4.0,0.0,110.0
Lincolnshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lincolnshire,Tactical communication,Tactical communication,2.0,203.0,1388.0,663.0,174.0,24.0,0.0,2454.0
Merseyside,Total (excluding not reported and tactical communication),*Total Tactics,13.0,1078.0,6139.0,3195.0,832.0,73.0,308.0,11638.0
Merseyside,Restraint,*Total Restraint,4.0,529.0,2603.0,1310.0,351.0,28.0,77.0,4902.0
Merseyside,Restraint,"Handcuffing, of which",3.0,395.0,1882.0,970.0,280.0,26.0,56.0,3612.0
Merseyside,Restraint,Compliant handcuffing,1.0,83.0,536.0,298.0,80.0,7.0,13.0,1018.0
Merseyside,Restraint,Non-compliant handcuffing,2.0,312.0,1346.0,672.0,200.0,19.0,43.0,2594.0
Merseyside,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Restraint,Limb / Body restraints,1.0,38.0,190.0,79.0,18.0,0.0,4.0,330.0
Merseyside,Restraint,Ground restraint,0.0,96.0,531.0,261.0,53.0,2.0,17.0,960.0
Merseyside,Unarmed skills,*Total Unarmed skills,7.0,450.0,2623.0,1431.0,377.0,35.0,155.0,5078.0
Merseyside,Other equipment,*Total Other equipment,1.0,54.0,575.0,269.0,57.0,4.0,51.0,1011.0
Merseyside,Other equipment,"Baton, of which",0.0,8.0,65.0,35.0,17.0,1.0,25.0,151.0
Merseyside,Other equipment,Baton drawn,0.0,5.0,42.0,20.0,8.0,1.0,19.0,95.0
Merseyside,Other equipment,Baton used,0.0,3.0,23.0,15.0,9.0,0.0,6.0,56.0
Merseyside,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,"Irritant spray, of which",1.0,28.0,362.0,181.0,28.0,2.0,23.0,625.0
Merseyside,Other equipment,Irritant spray - drawn,0.0,19.0,147.0,70.0,6.0,1.0,12.0,255.0
Merseyside,Other equipment,Irritant spray - used,1.0,9.0,215.0,111.0,22.0,1.0,11.0,370.0
Merseyside,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other equipment,Spit and bite guard,0.0,18.0,142.0,49.0,12.0,1.0,3.0,225.0
Merseyside,Other equipment,Shield,0.0,0.0,6.0,4.0,0.0,0.0,0.0,10.0
Merseyside,Less lethal weapons,*Total Less lethal weapons,0.0,15.0,184.0,101.0,32.0,2.0,9.0,343.0
Merseyside,Less lethal weapons,CED of which,0.0,15.0,181.0,99.0,32.0,2.0,9.0,338.0
Merseyside,Less lethal weapons,CED non-discharge,0.0,15.0,166.0,92.0,27.0,2.0,7.0,309.0
Merseyside,Less lethal weapons,CED discharge,0.0,0.0,15.0,7.0,5.0,0.0,2.0,29.0
Merseyside,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Less lethal weapons,"AEP, of which",0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0
Merseyside,Less lethal weapons,AEP drawn,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
Merseyside,Less lethal weapons,AEP used,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Merseyside,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Firearms,*Total Firearms,0.0,4.0,26.0,7.0,2.0,0.0,2.0,41.0
Merseyside,Other,*Total Other,1.0,26.0,128.0,77.0,13.0,4.0,14.0,263.0
Merseyside,Other,"Dog use, of which",0.0,6.0,18.0,5.0,1.0,0.0,1.0,31.0
Merseyside,Other,Dog deployed,0.0,3.0,11.0,3.0,1.0,0.0,1.0,19.0
Merseyside,Other,Dog bite,0.0,3.0,7.0,2.0,0.0,0.0,0.0,12.0
Merseyside,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Other,Other / improvised,1.0,20.0,110.0,72.0,12.0,4.0,13.0,232.0
Merseyside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Merseyside,Tactical communication,Tactical communication,10.0,543.0,3011.0,1630.0,439.0,45.0,192.0,5870.0
Metropolitan,Total (excluding not reported and tactical communication),*Total Tactics,71.0,25495.0,118040.0,47674.0,12736.0,1119.0,0.0,205135.0
Metropolitan,Restraint,*Total Restraint,38.0,18583.0,84814.0,35010.0,9213.0,728.0,0.0,148386.0
Metropolitan,Restraint,"Handcuffing, of which",16.0,15611.0,69163.0,29114.0,7875.0,610.0,0.0,122389.0
Metropolitan,Restraint,Compliant handcuffing,7.0,11315.0,50205.0,21046.0,5585.0,405.0,0.0,88563.0
Metropolitan,Restraint,Non-compliant handcuffing,9.0,4296.0,18958.0,8068.0,2290.0,205.0,0.0,33826.0
Metropolitan,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Restraint,Limb / Body restraints,8.0,885.0,4985.0,2057.0,537.0,71.0,0.0,8543.0
Metropolitan,Restraint,Ground restraint,14.0,2087.0,10666.0,3839.0,801.0,47.0,0.0,17454.0
Metropolitan,Unarmed skills,*Total Unarmed skills,22.0,4156.0,19298.0,7670.0,2074.0,208.0,0.0,33428.0
Metropolitan,Other equipment,*Total Other equipment,3.0,540.0,3213.0,1137.0,250.0,18.0,0.0,5161.0
Metropolitan,Other equipment,"Baton, of which",2.0,286.0,1364.0,358.0,82.0,5.0,0.0,2097.0
Metropolitan,Other equipment,Baton drawn,2.0,228.0,952.0,252.0,67.0,5.0,0.0,1506.0
Metropolitan,Other equipment,Baton used,0.0,58.0,412.0,106.0,15.0,0.0,0.0,591.0
Metropolitan,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,"Irritant spray, of which",1.0,156.0,892.0,282.0,61.0,3.0,0.0,1395.0
Metropolitan,Other equipment,Irritant spray - drawn,1.0,122.0,534.0,152.0,32.0,3.0,0.0,844.0
Metropolitan,Other equipment,Irritant spray - used,0.0,34.0,358.0,130.0,29.0,0.0,0.0,551.0
Metropolitan,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other equipment,Spit and bite guard,0.0,84.0,860.0,469.0,98.0,7.0,0.0,1518.0
Metropolitan,Other equipment,Shield,0.0,14.0,97.0,28.0,9.0,3.0,0.0,151.0
Metropolitan,Less lethal weapons,*Total Less lethal weapons,0.0,1330.0,6026.0,2108.0,576.0,40.0,0.0,10080.0
Metropolitan,Less lethal weapons,CED of which,0.0,1330.0,6018.0,2104.0,576.0,40.0,0.0,10068.0
Metropolitan,Less lethal weapons,CED non-discharge,0.0,1257.0,5440.0,1881.0,516.0,39.0,0.0,9133.0
Metropolitan,Less lethal weapons,CED discharge,0.0,73.0,578.0,223.0,60.0,1.0,0.0,935.0
Metropolitan,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Less lethal weapons,"AEP, of which",0.0,0.0,8.0,4.0,0.0,0.0,0.0,12.0
Metropolitan,Less lethal weapons,AEP drawn,0.0,0.0,6.0,4.0,0.0,0.0,0.0,10.0
Metropolitan,Less lethal weapons,AEP used,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
Metropolitan,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Firearms,*Total Firearms,0.0,151.0,1201.0,251.0,86.0,8.0,0.0,1697.0
Metropolitan,Other,*Total Other,8.0,735.0,3488.0,1498.0,537.0,117.0,0.0,6383.0
Metropolitan,Other,"Dog use, of which",0.0,82.0,301.0,66.0,6.0,1.0,0.0,456.0
Metropolitan,Other,Dog deployed,0.0,59.0,229.0,43.0,3.0,1.0,0.0,335.0
Metropolitan,Other,Dog bite,0.0,23.0,72.0,23.0,3.0,0.0,0.0,121.0
Metropolitan,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Other,Other / improvised,8.0,653.0,3187.0,1432.0,531.0,116.0,0.0,5927.0
Metropolitan,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitan,Tactical communication,Tactical communication,23.0,5479.0,24856.0,9888.0,2812.0,287.0,0.0,43345.0
Norfolk,Total (excluding not reported and tactical communication),*Total Tactics,31.0,785.0,4891.0,2048.0,575.0,55.0,209.0,8594.0
Norfolk,Restraint,*Total Restraint,8.0,366.0,2276.0,955.0,275.0,28.0,95.0,4003.0
Norfolk,Restraint,"Handcuffing, of which",3.0,287.0,1698.0,791.0,234.0,28.0,84.0,3125.0
Norfolk,Restraint,Compliant handcuffing,0.0,173.0,1044.0,540.0,165.0,22.0,59.0,2003.0
Norfolk,Restraint,Non-compliant handcuffing,3.0,114.0,654.0,251.0,69.0,6.0,25.0,1122.0
Norfolk,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Restraint,Limb / Body restraints,3.0,32.0,272.0,85.0,16.0,0.0,3.0,411.0
Norfolk,Restraint,Ground restraint,2.0,47.0,306.0,79.0,25.0,0.0,8.0,467.0
Norfolk,Unarmed skills,*Total Unarmed skills,9.0,218.0,1183.0,502.0,125.0,15.0,35.0,2087.0
Norfolk,Other equipment,*Total Other equipment,0.0,27.0,332.0,122.0,50.0,2.0,18.0,551.0
Norfolk,Other equipment,"Baton, of which",0.0,8.0,30.0,8.0,4.0,1.0,3.0,54.0
Norfolk,Other equipment,Baton drawn,0.0,6.0,19.0,4.0,2.0,0.0,2.0,33.0
Norfolk,Other equipment,Baton used,0.0,2.0,11.0,4.0,2.0,1.0,1.0,21.0
Norfolk,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other equipment,"Irritant spray, of which",0.0,12.0,243.0,90.0,37.0,1.0,8.0,391.0
Norfolk,Other equipment,Irritant spray - drawn,0.0,6.0,88.0,28.0,17.0,1.0,1.0,141.0
Norfolk,Other equipment,Irritant spray - used,0.0,6.0,155.0,62.0,20.0,0.0,7.0,250.0
Norfolk,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other equipment,Spit and bite guard,0.0,7.0,50.0,23.0,7.0,0.0,2.0,89.0
Norfolk,Other equipment,Shield,0.0,0.0,9.0,1.0,2.0,0.0,5.0,17.0
Norfolk,Less lethal weapons,*Total Less lethal weapons,0.0,42.0,342.0,163.0,41.0,2.0,23.0,613.0
Norfolk,Less lethal weapons,CED of which,0.0,39.0,328.0,157.0,39.0,2.0,23.0,588.0
Norfolk,Less lethal weapons,CED non-discharge,,,,,,,,
Norfolk,Less lethal weapons,CED discharge,,,,,,,,
Norfolk,Less lethal weapons,CED not stated,0.0,39.0,328.0,157.0,39.0,2.0,23.0,588.0
Norfolk,Less lethal weapons,"AEP, of which",0.0,3.0,14.0,6.0,2.0,0.0,0.0,25.0
Norfolk,Less lethal weapons,AEP drawn,0.0,3.0,14.0,6.0,0.0,0.0,0.0,23.0
Norfolk,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Norfolk,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Firearms,*Total Firearms,0.0,1.0,4.0,6.0,0.0,0.0,0.0,11.0
Norfolk,Other,*Total Other,14.0,131.0,754.0,300.0,84.0,8.0,38.0,1329.0
Norfolk,Other,"Dog use, of which",0.0,5.0,12.0,3.0,0.0,0.0,3.0,23.0
Norfolk,Other,Dog deployed,0.0,3.0,11.0,3.0,0.0,0.0,3.0,20.0
Norfolk,Other,Dog bite,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0
Norfolk,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfolk,Other,Other / improvised,14.0,126.0,742.0,297.0,84.0,8.0,35.0,1306.0
Norfolk,Not reported,*Total Not reported,1.0,28.0,96.0,21.0,13.0,0.0,4.0,163.0
Norfolk,Tactical communication,Tactical communication,14.0,350.0,2061.0,874.0,249.0,29.0,95.0,3672.0
North Wales,Total (excluding not reported and tactical communication),*Total Tactics,1.0,194.0,1380.0,606.0,159.0,18.0,3.0,2361.0
North Wales,Restraint,*Total Restraint,0.0,95.0,601.0,259.0,65.0,7.0,0.0,1027.0
North Wales,Restraint,"Handcuffing, of which",0.0,88.0,560.0,239.0,60.0,6.0,0.0,953.0
North Wales,Restraint,Compliant handcuffing,0.0,15.0,103.0,64.0,16.0,2.0,0.0,200.0
North Wales,Restraint,Non-compliant handcuffing,0.0,73.0,457.0,175.0,44.0,4.0,0.0,753.0
North Wales,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Restraint,Limb / Body restraints,0.0,2.0,13.0,7.0,2.0,0.0,0.0,24.0
North Wales,Restraint,Ground restraint,0.0,5.0,28.0,13.0,3.0,1.0,0.0,50.0
North Wales,Unarmed skills,*Total Unarmed skills,1.0,28.0,207.0,80.0,20.0,0.0,1.0,337.0
North Wales,Other equipment,*Total Other equipment,0.0,13.0,143.0,53.0,10.0,0.0,1.0,220.0
North Wales,Other equipment,"Baton, of which",0.0,0.0,7.0,5.0,0.0,0.0,1.0,13.0
North Wales,Other equipment,Baton drawn,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
North Wales,Other equipment,Baton used,0.0,0.0,7.0,4.0,0.0,0.0,1.0,12.0
North Wales,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Wales,Other equipment,"Irritant spray, of which",0.0,13.0,131.0,46.0,9.0,0.0,0.0,199.0
North Wales,Other equipment,Irritant spray - drawn,0.0,0.0,18.0,9.0,2.0,0.0,0.0,29.0
