Tactic,Police Force,Force type - Output,Tactic - Output,age,count
Compliant handcuffing,Norfolk,Restraint,Handcuffing: compliant,Not reported,59.0
Non-compliant handcuffing,Norfolk,Restraint,Handcuffing: non-compliant,Not reported,25.0
Handcuffing not stated,Norfolk,,,Not reported,0.0
Limb / Body restraints,Norfolk,Restraint,Limb / body restraints,Not reported,3.0
Ground restraint,Norfolk,Restraint,Ground restraint,Not reported,8.0
*Total Unarmed skills,Norfolk,Unarmed skills,Total: unarmed skills,Not reported,35.0
*Total Other equipment,Norfolk,Other equipment,Total: Other equipment,Not reported,18.0
"Baton, of which",Norfolk,Other equipment,Total: Baton,Not reported,3.0
Baton drawn,Norfolk,Other equipment,Baton: drawn,Not reported,2.0
Baton used,Norfolk,Other equipment,Baton: used,Not reported,1.0
Baton not stated,Norfolk,,,Not reported,0.0
"Irritant spray, of which",Norfolk,Other equipment,Total: Irritant spray,Not reported,8.0
Irritant spray - drawn,Norfolk,Other equipment,Irritant spray: drawn,Not reported,1.0
Irritant spray - used,Norfolk,Other equipment,Irritant spray: used,Not reported,7.0
Irritant spray not stated,Norfolk,,,Not reported,0.0
Spit and bite guard,Norfolk,Other equipment,Spit and bite guard,Not reported,2.0
Shield,Norfolk,Other equipment,Shield,Not reported,5.0
*Total Less lethal weapons,Norfolk,Less lethal weapons,Total: Less lethal weapons,Not reported,23.0
CED of which,Norfolk,,,Not reported,23.0
CED non-discharge,Norfolk,,,Not reported,
CED discharge,Norfolk,,,Not reported,
CED not stated,Norfolk,,,Not reported,23.0
"AEP, of which",Norfolk,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Norfolk,,,Not reported,0.0
AEP used,Norfolk,,,Not reported,0.0
AEP not stated,Norfolk,,,Not reported,0.0
*Total Firearms,Norfolk,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Norfolk,Other,Total: Other,Not reported,38.0
"Dog use, of which",Norfolk,Other,Total: Dog,Not reported,3.0
Dog deployed,Norfolk,Other,Dog: deployed,Not reported,3.0
Dog bite,Norfolk,Other,Dog: bite,Not reported,0.0
Dog not stated,Norfolk,,,Not reported,0.0
Other / improvised,Norfolk,Other,Other / improvised,Not reported,35.0
*Total Not reported,Norfolk,Not reported,Total: Not reported,Not reported,4.0
Tactical communication,Norfolk,Excluded: Tactical Communication,Tactical Communication,Not reported,95.0
*Total Tactics,North Wales,Total,Total: all,Not reported,3.0
*Total Restraint,North Wales,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",North Wales,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,North Wales,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,North Wales,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,North Wales,,,Not reported,0.0
Limb / Body restraints,North Wales,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,North Wales,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,North Wales,Unarmed skills,Total: unarmed skills,Not reported,1.0
*Total Other equipment,North Wales,Other equipment,Total: Other equipment,Not reported,1.0
"Baton, of which",North Wales,Other equipment,Total: Baton,Not reported,1.0
Baton drawn,North Wales,Other equipment,Baton: drawn,Not reported,0.0
Baton used,North Wales,Other equipment,Baton: used,Not reported,1.0
Baton not stated,North Wales,,,Not reported,0.0
"Irritant spray, of which",North Wales,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,North Wales,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,North Wales,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,North Wales,,,Not reported,0.0
Spit and bite guard,North Wales,Other equipment,Spit and bite guard,Not reported,0.0
Shield,North Wales,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,North Wales,Less lethal weapons,Total: Less lethal weapons,Not reported,1.0
CED of which,North Wales,,,Not reported,1.0
CED non-discharge,North Wales,,,Not reported,1.0
CED discharge,North Wales,,,Not reported,0.0
CED not stated,North Wales,,,Not reported,0.0
"AEP, of which",North Wales,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,North Wales,,,Not reported,0.0
AEP used,North Wales,,,Not reported,0.0
AEP not stated,North Wales,,,Not reported,0.0
*Total Firearms,North Wales,Firearms,Total: Firearms,Not reported,0.0
*Total Other,North Wales,Other,Total: Other,Not reported,0.0
"Dog use, of which",North Wales,Other,Total: Dog,Not reported,0.0
Dog deployed,North Wales,Other,Dog: deployed,Not reported,0.0
Dog bite,North Wales,Other,Dog: bite,Not reported,0.0
Dog not stated,North Wales,,,Not reported,0.0
Other / improvised,North Wales,Other,Other / improvised,Not reported,0.0
*Total Not reported,North Wales,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,North Wales,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,North Yorkshire,Total,Total: all,Not reported,0.0
*Total Restraint,North Yorkshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",North Yorkshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,North Yorkshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,North Yorkshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,North Yorkshire,,,Not reported,0.0
Limb / Body restraints,North Yorkshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,North Yorkshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,North Yorkshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,North Yorkshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",North Yorkshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,North Yorkshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,North Yorkshire,Other equipment,Baton: used,Not reported,0.0
Baton not stated,North Yorkshire,,,Not reported,0.0
"Irritant spray, of which",North Yorkshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,North Yorkshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,North Yorkshire,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,North Yorkshire,,,Not reported,0.0
Spit and bite guard,North Yorkshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,North Yorkshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,North Yorkshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,North Yorkshire,,,Not reported,0.0
CED non-discharge,North Yorkshire,,,Not reported,0.0
CED discharge,North Yorkshire,,,Not reported,0.0
CED not stated,North Yorkshire,,,Not reported,0.0
"AEP, of which",North Yorkshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,North Yorkshire,,,Not reported,0.0
AEP used,North Yorkshire,,,Not reported,0.0
AEP not stated,North Yorkshire,,,Not reported,0.0
*Total Firearms,North Yorkshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,North Yorkshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",North Yorkshire,Other,Total: Dog,Not reported,0.0
Dog deployed,North Yorkshire,Other,Dog: deployed,Not reported,0.0
Dog bite,North Yorkshire,Other,Dog: bite,Not reported,0.0
Dog not stated,North Yorkshire,,,Not reported,0.0
Other / improvised,North Yorkshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,North Yorkshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,North Yorkshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Northamptonshire,Total,Total: all,Not reported,1.0
*Total Restraint,Northamptonshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Northamptonshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Northamptonshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Northamptonshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Northamptonshire,,,Not reported,0.0
Limb / Body restraints,Northamptonshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Northamptonshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Northamptonshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Northamptonshire,Other equipment,Total: Other equipment,Not reported,1.0
"Baton, of which",Northamptonshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Northamptonshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Northamptonshire,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Northamptonshire,,,Not reported,0.0
"Irritant spray, of which",Northamptonshire,Other equipment,Total: Irritant spray,Not reported,1.0
Irritant spray - drawn,Northamptonshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Northamptonshire,Other equipment,Irritant spray: used,Not reported,1.0
Irritant spray not stated,Northamptonshire,,,Not reported,0.0
Spit and bite guard,Northamptonshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Northamptonshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Northamptonshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Northamptonshire,,,Not reported,0.0
CED non-discharge,Northamptonshire,,,Not reported,0.0
CED discharge,Northamptonshire,,,Not reported,0.0
CED not stated,Northamptonshire,,,Not reported,0.0
"AEP, of which",Northamptonshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Northamptonshire,,,Not reported,0.0
AEP used,Northamptonshire,,,Not reported,0.0
AEP not stated,Northamptonshire,,,Not reported,0.0
*Total Firearms,Northamptonshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Northamptonshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Northamptonshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Northamptonshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Northamptonshire,Other,Dog: bite,Not reported,0.0
Dog not stated,Northamptonshire,,,Not reported,0.0
Other / improvised,Northamptonshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Northamptonshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Northamptonshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Northumbria,Total,Total: all,Not reported,5.0
*Total Restraint,Northumbria,Restraint,Total: Restraint,Not reported,5.0
"Handcuffing, of which",Northumbria,Restraint,Total: Handcuffing,Not reported,4.0
Compliant handcuffing,Northumbria,Restraint,Handcuffing: compliant,Not reported,4.0
Non-compliant handcuffing,Northumbria,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Northumbria,,,Not reported,0.0
Limb / Body restraints,Northumbria,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Northumbria,Restraint,Ground restraint,Not reported,1.0
*Total Unarmed skills,Northumbria,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Northumbria,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Northumbria,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Northumbria,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Northumbria,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Northumbria,,,Not reported,0.0
"Irritant spray, of which",Northumbria,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Northumbria,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Northumbria,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,Northumbria,,,Not reported,0.0
Spit and bite guard,Northumbria,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Northumbria,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Northumbria,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Northumbria,,,Not reported,0.0
CED non-discharge,Northumbria,,,Not reported,0.0
CED discharge,Northumbria,,,Not reported,0.0
CED not stated,Northumbria,,,Not reported,0.0
"AEP, of which",Northumbria,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Northumbria,,,Not reported,0.0
AEP used,Northumbria,,,Not reported,0.0
AEP not stated,Northumbria,,,Not reported,0.0
*Total Firearms,Northumbria,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Northumbria,Other,Total: Other,Not reported,0.0
"Dog use, of which",Northumbria,Other,Total: Dog,Not reported,0.0
Dog deployed,Northumbria,Other,Dog: deployed,Not reported,0.0
Dog bite,Northumbria,Other,Dog: bite,Not reported,0.0
Dog not stated,Northumbria,,,Not reported,0.0
Other / improvised,Northumbria,Other,Other / improvised,Not reported,0.0
*Total Not reported,Northumbria,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Northumbria,Excluded: Tactical Communication,Tactical Communication,Not reported,4.0
*Total Tactics,Nottinghamshire,Total,Total: all,Not reported,0.0
*Total Restraint,Nottinghamshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Nottinghamshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Nottinghamshire,,,Not reported,0.0
Limb / Body restraints,Nottinghamshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Nottinghamshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Nottinghamshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Nottinghamshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Nottinghamshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Nottinghamshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Nottinghamshire,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Nottinghamshire,,,Not reported,0.0
"Irritant spray, of which",Nottinghamshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Nottinghamshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Nottinghamshire,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,Nottinghamshire,,,Not reported,0.0
Spit and bite guard,Nottinghamshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Nottinghamshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Nottinghamshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Nottinghamshire,,,Not reported,0.0
CED non-discharge,Nottinghamshire,,,Not reported,0.0
CED discharge,Nottinghamshire,,,Not reported,0.0
CED not stated,Nottinghamshire,,,Not reported,0.0
"AEP, of which",Nottinghamshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Nottinghamshire,,,Not reported,0.0
AEP used,Nottinghamshire,,,Not reported,0.0
AEP not stated,Nottinghamshire,,,Not reported,0.0
*Total Firearms,Nottinghamshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Nottinghamshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Nottinghamshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Nottinghamshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Nottinghamshire,Other,Dog: bite,Not reported,0.0
Dog not stated,Nottinghamshire,,,Not reported,0.0
Other / improvised,Nottinghamshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Nottinghamshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Nottinghamshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,South Wales,Total,Total: all,Not reported,0.0
*Total Restraint,South Wales,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",South Wales,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,South Wales,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,South Wales,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,South Wales,,,Not reported,0.0
Limb / Body restraints,South Wales,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,South Wales,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,South Wales,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,South Wales,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",South Wales,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,South Wales,Other equipment,Baton: drawn,Not reported,0.0
Baton used,South Wales,Other equipment,Baton: used,Not reported,0.0
Baton not stated,South Wales,,,Not reported,0.0
"Irritant spray, of which",South Wales,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,South Wales,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,South Wales,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,South Wales,,,Not reported,0.0
Spit and bite guard,South Wales,Other equipment,Spit and bite guard,Not reported,0.0
Shield,South Wales,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,South Wales,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,South Wales,,,Not reported,0.0
CED non-discharge,South Wales,,,Not reported,0.0
CED discharge,South Wales,,,Not reported,0.0
CED not stated,South Wales,,,Not reported,0.0
"AEP, of which",South Wales,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,South Wales,,,Not reported,0.0
AEP used,South Wales,,,Not reported,0.0
AEP not stated,South Wales,,,Not reported,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,Not reported,0.0
*Total Other,South Wales,Other,Total: Other,Not reported,0.0
"Dog use, of which",South Wales,Other,Total: Dog,Not reported,0.0
Dog deployed,South Wales,Other,Dog: deployed,Not reported,0.0
Dog bite,South Wales,Other,Dog: bite,Not reported,0.0
Dog not stated,South Wales,,,Not reported,0.0
Other / improvised,South Wales,Other,Other / improvised,Not reported,0.0
*Total Not reported,South Wales,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,South Yorkshire,Total,Total: all,Not reported,0.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,South Yorkshire,,,Not reported,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,South Yorkshire,Other equipment,Baton: used,Not reported,0.0
Baton not stated,South Yorkshire,,,Not reported,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,South Yorkshire,,,Not reported,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,South Yorkshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,South Yorkshire,,,Not reported,0.0
CED non-discharge,South Yorkshire,,,Not reported,0.0
CED discharge,South Yorkshire,,,Not reported,0.0
CED not stated,South Yorkshire,,,Not reported,0.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,South Yorkshire,,,Not reported,0.0
AEP used,South Yorkshire,,,Not reported,0.0
AEP not stated,South Yorkshire,,,Not reported,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,South Yorkshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,Not reported,0.0
Dog deployed,South Yorkshire,Other,Dog: deployed,Not reported,0.0
Dog bite,South Yorkshire,Other,Dog: bite,Not reported,0.0
Dog not stated,South Yorkshire,,,Not reported,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Staffordshire,Total,Total: all,Not reported,1988.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,Not reported,752.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,Not reported,519.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,Not reported,
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,Not reported,
Handcuffing not stated,Staffordshire,,,Not reported,519.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,Not reported,51.0
Ground restraint,Staffordshire,Restraint,Ground restraint,Not reported,182.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,Not reported,1001.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,Not reported,151.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,Not reported,18.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,Not reported,9.0
Baton used,Staffordshire,Other equipment,Baton: used,Not reported,9.0
Baton not stated,Staffordshire,,,Not reported,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,Not reported,115.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,Not reported,63.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,Not reported,52.0
Irritant spray not stated,Staffordshire,,,Not reported,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,Not reported,16.0
Shield,Staffordshire,Other equipment,Shield,Not reported,2.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,Not reported,49.0
CED of which,Staffordshire,,,Not reported,42.0
CED non-discharge,Staffordshire,,,Not reported,39.0
CED discharge,Staffordshire,,,Not reported,2.0
CED not stated,Staffordshire,,,Not reported,1.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,Not reported,7.0
AEP drawn,Staffordshire,,,Not reported,5.0
AEP used,Staffordshire,,,Not reported,2.0
AEP not stated,Staffordshire,,,Not reported,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,Not reported,6.0
*Total Other,Staffordshire,Other,Total: Other,Not reported,29.0
"Dog use, of which",Staffordshire,Other,Total: Dog,Not reported,9.0
Dog deployed,Staffordshire,Other,Dog: deployed,Not reported,5.0
Dog bite,Staffordshire,Other,Dog: bite,Not reported,4.0
Dog not stated,Staffordshire,,,Not reported,0.0
Other / improvised,Staffordshire,Other,Other / improvised,Not reported,20.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,Not reported,2.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,Not reported,661.0
*Total Tactics,Suffolk,Total,Total: all,Not reported,102.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,Not reported,41.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,Not reported,35.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,Not reported,19.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,Not reported,16.0
Handcuffing not stated,Suffolk,,,Not reported,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,Not reported,2.0
Ground restraint,Suffolk,Restraint,Ground restraint,Not reported,4.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,Not reported,13.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,Not reported,15.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,Not reported,3.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,Not reported,3.0
Baton used,Suffolk,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Suffolk,,,Not reported,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,Not reported,10.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,Not reported,6.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,Not reported,4.0
Irritant spray not stated,Suffolk,,,Not reported,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,Not reported,2.0
Shield,Suffolk,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,Not reported,16.0
CED of which,Suffolk,,,Not reported,14.0
CED non-discharge,Suffolk,,,Not reported,
CED discharge,Suffolk,,,Not reported,
CED not stated,Suffolk,,,Not reported,14.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,Not reported,2.0
AEP drawn,Suffolk,,,Not reported,1.0
AEP used,Suffolk,,,Not reported,1.0
AEP not stated,Suffolk,,,Not reported,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,Not reported,3.0
*Total Other,Suffolk,Other,Total: Other,Not reported,14.0
"Dog use, of which",Suffolk,Other,Total: Dog,Not reported,0.0
Dog deployed,Suffolk,Other,Dog: deployed,Not reported,0.0
Dog bite,Suffolk,Other,Dog: bite,Not reported,0.0
Dog not stated,Suffolk,,,Not reported,0.0
Other / improvised,Suffolk,Other,Other / improvised,Not reported,14.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,Not reported,40.0
*Total Tactics,Surrey,Total,Total: all,Not reported,0.0
*Total Restraint,Surrey,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,Not reported,0.0
Handcuffing not stated,Surrey,,,Not reported,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Surrey,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Surrey,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Surrey,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Surrey,Other equipment,Baton: used,Not reported,0.0
Baton not stated,Surrey,,,Not reported,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,Not reported,0.0
Irritant spray not stated,Surrey,,,Not reported,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Surrey,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED of which,Surrey,,,Not reported,0.0
CED non-discharge,Surrey,,,Not reported,0.0
CED discharge,Surrey,,,Not reported,0.0
CED not stated,Surrey,,,Not reported,0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,Not reported,0.0
AEP drawn,Surrey,,,Not reported,0.0
AEP used,Surrey,,,Not reported,0.0
AEP not stated,Surrey,,,Not reported,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Surrey,Other,Total: Other,Not reported,0.0
"Dog use, of which",Surrey,Other,Total: Dog,Not reported,0.0
