Police Force,Type of force,Tactic,White,Black (or Black British),Asian (or Asian British),Mixed,Other,Not reported,Number of times tactic reported,Force type - Output,Tactic - Output
Humberside,Other equipment,"Baton, of which",67.0,1.0,1.0,1.0,0.0,0.0,70.0,Other equipment,Total: Baton
Humberside,Other equipment,Baton drawn,44.0,1.0,1.0,1.0,0.0,0.0,47.0,Other equipment,Baton: drawn
Humberside,Other equipment,Baton used,23.0,0.0,0.0,0.0,0.0,0.0,23.0,Other equipment,Baton: used
Humberside,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Humberside,Other equipment,"Irritant spray, of which",219.0,4.0,5.0,4.0,1.0,4.0,237.0,Other equipment,Total: Irritant spray
Humberside,Other equipment,Irritant spray - drawn,102.0,1.0,2.0,3.0,0.0,1.0,109.0,Other equipment,Irritant spray: drawn
Humberside,Other equipment,Irritant spray - used,117.0,3.0,3.0,1.0,1.0,3.0,128.0,Other equipment,Irritant spray: used
Humberside,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Humberside,Other equipment,Spit and bite guard,149.0,3.0,0.0,1.0,1.0,2.0,156.0,Other equipment,Spit and bite guard
Humberside,Other equipment,Shield,9.0,0.0,0.0,0.0,0.0,0.0,9.0,Other equipment,Shield
Humberside,Less lethal weapons,*Total Less lethal weapons,828.0,16.0,9.0,12.0,2.0,10.0,877.0,Less lethal weapons,Total: Less lethal weapons
Humberside,Less lethal weapons,CED of which,762.0,15.0,8.0,12.0,2.0,5.0,804.0,,
Humberside,Less lethal weapons,CED non-discharge,507.0,8.0,5.0,7.0,2.0,3.0,532.0,,
Humberside,Less lethal weapons,CED discharge,78.0,1.0,0.0,1.0,0.0,0.0,80.0,,
Humberside,Less lethal weapons,CED not stated,177.0,6.0,3.0,4.0,0.0,2.0,192.0,,
Humberside,Less lethal weapons,"AEP, of which",66.0,1.0,1.0,0.0,0.0,5.0,73.0,Less lethal weapons,Total: AEP
Humberside,Less lethal weapons,AEP drawn,64.0,1.0,1.0,0.0,0.0,5.0,71.0,,
Humberside,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Humberside,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Humberside,Firearms,*Total Firearms,150.0,7.0,2.0,1.0,0.0,1.0,161.0,Firearms,Total: Firearms
Humberside,Other,*Total Other,393.0,8.0,4.0,7.0,0.0,7.0,419.0,Other,Total: Other
Humberside,Other,"Dog use, of which",42.0,1.0,1.0,0.0,0.0,0.0,44.0,Other,Total: Dog
Humberside,Other,Dog deployed,30.0,1.0,1.0,0.0,0.0,0.0,32.0,Other,Dog: deployed
Humberside,Other,Dog bite,12.0,0.0,0.0,0.0,0.0,0.0,12.0,Other,Dog: bite
Humberside,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Humberside,Other,Other / improvised,351.0,7.0,3.0,7.0,0.0,7.0,375.0,Other,Other / improvised
Humberside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Humberside,Tactical communication,Tactical communication,3711.0,91.0,47.0,43.0,16.0,33.0,3941.0,Excluded: Tactical Communication,Tactical Communication
Kent,Total (excluding not reported and tactical communication),*Total Tactics,17770.0,1513.0,594.0,432.0,527.0,0.0,20836.0,Total,Total: all
Kent,Restraint,*Total Restraint,13307.0,1102.0,459.0,321.0,396.0,0.0,15585.0,Restraint,Total: Restraint
Kent,Restraint,"Handcuffing, of which",8531.0,776.0,328.0,226.0,303.0,0.0,10164.0,Restraint,Total: Handcuffing
Kent,Restraint,Compliant handcuffing,4974.0,522.0,218.0,145.0,234.0,0.0,6093.0,Restraint,Handcuffing: compliant
Kent,Restraint,Non-compliant handcuffing,3557.0,254.0,110.0,81.0,69.0,0.0,4071.0,Restraint,Handcuffing: non-compliant
Kent,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kent,Restraint,Limb / Body restraints,2542.0,171.0,66.0,48.0,48.0,0.0,2875.0,Restraint,Limb / body restraints
Kent,Restraint,Ground restraint,2234.0,155.0,65.0,47.0,45.0,0.0,2546.0,Restraint,Ground restraint
Kent,Unarmed skills,*Total Unarmed skills,2012.0,140.0,59.0,41.0,41.0,0.0,2293.0,Unarmed skills,Total: unarmed skills
Kent,Other equipment,*Total Other equipment,676.0,64.0,15.0,10.0,25.0,0.0,790.0,Other equipment,Total: Other equipment
Kent,Other equipment,"Baton, of which",97.0,19.0,2.0,0.0,10.0,0.0,128.0,Other equipment,Total: Baton
Kent,Other equipment,Baton drawn,64.0,15.0,1.0,0.0,7.0,0.0,87.0,Other equipment,Baton: drawn
Kent,Other equipment,Baton used,33.0,4.0,1.0,0.0,3.0,0.0,41.0,Other equipment,Baton: used
Kent,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kent,Other equipment,"Irritant spray, of which",349.0,34.0,11.0,6.0,11.0,0.0,411.0,Other equipment,Total: Irritant spray
Kent,Other equipment,Irritant spray - drawn,:,:,:,:,:,:,:,Other equipment,Irritant spray: drawn
Kent,Other equipment,Irritant spray - used,:,:,:,:,:,:,:,Other equipment,Irritant spray: used
Kent,Other equipment,Irritant spray not stated,349.0,34.0,11.0,6.0,11.0,0.0,411.0,,
Kent,Other equipment,Spit and bite guard,199.0,9.0,1.0,4.0,3.0,0.0,216.0,Other equipment,Spit and bite guard
Kent,Other equipment,Shield,31.0,2.0,1.0,0.0,1.0,0.0,35.0,Other equipment,Shield
Kent,Less lethal weapons,*Total Less lethal weapons,739.0,104.0,24.0,26.0,29.0,0.0,922.0,Less lethal weapons,Total: Less lethal weapons
Kent,Less lethal weapons,CED of which,695.0,97.0,20.0,26.0,25.0,0.0,863.0,,
Kent,Less lethal weapons,CED non-discharge,322.0,56.0,10.0,15.0,14.0,0.0,417.0,,
Kent,Less lethal weapons,CED discharge,101.0,9.0,4.0,1.0,1.0,0.0,116.0,,
Kent,Less lethal weapons,CED not stated,272.0,32.0,6.0,10.0,10.0,0.0,330.0,,
Kent,Less lethal weapons,"AEP, of which",44.0,7.0,4.0,0.0,4.0,0.0,59.0,Less lethal weapons,Total: AEP
Kent,Less lethal weapons,AEP drawn,42.0,7.0,4.0,0.0,4.0,0.0,57.0,,
Kent,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Kent,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kent,Firearms,*Total Firearms,91.0,23.0,5.0,4.0,4.0,0.0,127.0,Firearms,Total: Firearms
Kent,Other,*Total Other,945.0,80.0,32.0,30.0,32.0,0.0,1119.0,Other,Total: Other
Kent,Other,"Dog use, of which",17.0,4.0,1.0,0.0,1.0,0.0,23.0,Other,Total: Dog
Kent,Other,Dog deployed,12.0,2.0,1.0,0.0,1.0,0.0,16.0,Other,Dog: deployed
Kent,Other,Dog bite,5.0,2.0,0.0,0.0,0.0,0.0,7.0,Other,Dog: bite
Kent,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kent,Other,Other / improvised,928.0,76.0,31.0,30.0,31.0,0.0,1096.0,Other,Other / improvised
Kent,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Kent,Tactical communication,Tactical communication,4314.0,351.0,147.0,99.0,93.0,0.0,5004.0,Excluded: Tactical Communication,Tactical Communication
Lancashire,Total (excluding not reported and tactical communication),*Total Tactics,11664.0,330.0,869.0,131.0,31.0,427.0,13452.0,Total,Total: all
Lancashire,Restraint,*Total Restraint,5537.0,159.0,466.0,58.0,13.0,48.0,6281.0,Restraint,Total: Restraint
Lancashire,Restraint,"Handcuffing, of which",4477.0,127.0,418.0,44.0,11.0,42.0,5119.0,Restraint,Total: Handcuffing
Lancashire,Restraint,Compliant handcuffing,:,:,:,:,:,:,:,Restraint,Handcuffing: compliant
Lancashire,Restraint,Non-compliant handcuffing,:,:,:,:,:,:,:,Restraint,Handcuffing: non-compliant
Lancashire,Restraint,Handcuffing not stated,4477.0,127.0,418.0,44.0,11.0,42.0,5119.0,,
Lancashire,Restraint,Limb / Body restraints,274.0,9.0,9.0,2.0,0.0,2.0,296.0,Restraint,Limb / body restraints
Lancashire,Restraint,Ground restraint,786.0,23.0,39.0,12.0,2.0,4.0,866.0,Restraint,Ground restraint
Lancashire,Unarmed skills,*Total Unarmed skills,4159.0,113.0,265.0,46.0,14.0,252.0,4849.0,Unarmed skills,Total: unarmed skills
Lancashire,Other equipment,*Total Other equipment,1028.0,29.0,74.0,14.0,2.0,32.0,1179.0,Other equipment,Total: Other equipment
Lancashire,Other equipment,"Baton, of which",76.0,1.0,13.0,3.0,1.0,14.0,108.0,Other equipment,Total: Baton
Lancashire,Other equipment,Baton drawn,35.0,0.0,7.0,2.0,1.0,11.0,56.0,Other equipment,Baton: drawn
Lancashire,Other equipment,Baton used,41.0,1.0,6.0,1.0,0.0,3.0,52.0,Other equipment,Baton: used
Lancashire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lancashire,Other equipment,"Irritant spray, of which",840.0,27.0,60.0,11.0,1.0,18.0,957.0,Other equipment,Total: Irritant spray
Lancashire,Other equipment,Irritant spray - drawn,228.0,8.0,20.0,5.0,0.0,11.0,272.0,Other equipment,Irritant spray: drawn
Lancashire,Other equipment,Irritant spray - used,612.0,19.0,40.0,6.0,1.0,7.0,685.0,Other equipment,Irritant spray: used
Lancashire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lancashire,Other equipment,Spit and bite guard,104.0,1.0,1.0,0.0,0.0,0.0,106.0,Other equipment,Spit and bite guard
Lancashire,Other equipment,Shield,8.0,0.0,0.0,0.0,0.0,0.0,8.0,Other equipment,Shield
Lancashire,Less lethal weapons,*Total Less lethal weapons,389.0,13.0,36.0,9.0,0.0,4.0,451.0,Less lethal weapons,Total: Less lethal weapons
Lancashire,Less lethal weapons,CED of which,381.0,13.0,36.0,9.0,0.0,4.0,443.0,,
Lancashire,Less lethal weapons,CED non-discharge,319.0,12.0,31.0,7.0,0.0,4.0,373.0,,
Lancashire,Less lethal weapons,CED discharge,62.0,1.0,5.0,2.0,0.0,0.0,70.0,,
Lancashire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lancashire,Less lethal weapons,"AEP, of which",8.0,0.0,0.0,0.0,0.0,0.0,8.0,Less lethal weapons,Total: AEP
Lancashire,Less lethal weapons,AEP drawn,6.0,0.0,0.0,0.0,0.0,0.0,6.0,,
Lancashire,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Lancashire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lancashire,Firearms,*Total Firearms,2.0,2.0,1.0,0.0,0.0,1.0,6.0,Firearms,Total: Firearms
Lancashire,Other,*Total Other,549.0,14.0,27.0,4.0,2.0,90.0,686.0,Other,Total: Other
Lancashire,Other,"Dog use, of which",57.0,1.0,7.0,0.0,0.0,1.0,66.0,Other,Total: Dog
Lancashire,Other,Dog deployed,33.0,1.0,5.0,0.0,0.0,0.0,39.0,Other,Dog: deployed
Lancashire,Other,Dog bite,24.0,0.0,2.0,0.0,0.0,1.0,27.0,Other,Dog: bite
Lancashire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lancashire,Other,Other / improvised,492.0,13.0,20.0,4.0,2.0,89.0,620.0,Other,Other / improvised
Lancashire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Lancashire,Tactical communication,Tactical communication,5363.0,144.0,403.0,58.0,14.0,277.0,6259.0,Excluded: Tactical Communication,Tactical Communication
Leicestershire,Total (excluding not reported and tactical communication),*Total Tactics,8756.0,1450.0,1239.0,343.0,120.0,139.0,12047.0,Total,Total: all
Leicestershire,Restraint,*Total Restraint,5703.0,954.0,899.0,232.0,100.0,69.0,7957.0,Restraint,Total: Restraint
Leicestershire,Restraint,"Handcuffing, of which",5093.0,875.0,858.0,206.0,99.0,56.0,7187.0,Restraint,Total: Handcuffing
Leicestershire,Restraint,Compliant handcuffing,3857.0,676.0,722.0,158.0,86.0,38.0,5537.0,Restraint,Handcuffing: compliant
Leicestershire,Restraint,Non-compliant handcuffing,1236.0,199.0,136.0,48.0,13.0,18.0,1650.0,Restraint,Handcuffing: non-compliant
Leicestershire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leicestershire,Restraint,Limb / Body restraints,292.0,35.0,21.0,13.0,0.0,4.0,365.0,Restraint,Limb / body restraints
Leicestershire,Restraint,Ground restraint,318.0,44.0,20.0,13.0,1.0,9.0,405.0,Restraint,Ground restraint
Leicestershire,Unarmed skills,*Total Unarmed skills,1812.0,269.0,190.0,59.0,14.0,19.0,2363.0,Unarmed skills,Total: unarmed skills
Leicestershire,Other equipment,*Total Other equipment,270.0,53.0,34.0,4.0,0.0,9.0,370.0,Other equipment,Total: Other equipment
Leicestershire,Other equipment,"Baton, of which",61.0,16.0,18.0,1.0,0.0,3.0,99.0,Other equipment,Total: Baton
Leicestershire,Other equipment,Baton drawn,47.0,12.0,12.0,0.0,0.0,2.0,73.0,Other equipment,Baton: drawn
Leicestershire,Other equipment,Baton used,14.0,4.0,6.0,1.0,0.0,1.0,26.0,Other equipment,Baton: used
Leicestershire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leicestershire,Other equipment,"Irritant spray, of which",121.0,17.0,11.0,1.0,0.0,5.0,155.0,Other equipment,Total: Irritant spray
Leicestershire,Other equipment,Irritant spray - drawn,66.0,11.0,6.0,0.0,0.0,3.0,86.0,Other equipment,Irritant spray: drawn
Leicestershire,Other equipment,Irritant spray - used,55.0,6.0,5.0,1.0,0.0,2.0,69.0,Other equipment,Irritant spray: used
Leicestershire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leicestershire,Other equipment,Spit and bite guard,64.0,16.0,5.0,2.0,0.0,0.0,87.0,Other equipment,Spit and bite guard
Leicestershire,Other equipment,Shield,24.0,4.0,0.0,0.0,0.0,1.0,29.0,Other equipment,Shield
Leicestershire,Less lethal weapons,*Total Less lethal weapons,580.0,104.0,61.0,29.0,3.0,6.0,783.0,Less lethal weapons,Total: Less lethal weapons
Leicestershire,Less lethal weapons,CED of which,566.0,102.0,59.0,29.0,3.0,6.0,765.0,,
Leicestershire,Less lethal weapons,CED non-discharge,540.0,97.0,55.0,28.0,3.0,6.0,729.0,,
Leicestershire,Less lethal weapons,CED discharge,26.0,5.0,4.0,1.0,0.0,0.0,36.0,,
Leicestershire,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leicestershire,Less lethal weapons,"AEP, of which",14.0,2.0,2.0,0.0,0.0,0.0,18.0,Less lethal weapons,Total: AEP
Leicestershire,Less lethal weapons,AEP drawn,14.0,2.0,2.0,0.0,0.0,0.0,18.0,,
Leicestershire,Less lethal weapons,AEP used,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leicestershire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leicestershire,Firearms,*Total Firearms,35.0,12.0,5.0,3.0,0.0,0.0,55.0,Firearms,Total: Firearms
Leicestershire,Other,*Total Other,356.0,58.0,50.0,16.0,3.0,36.0,519.0,Other,Total: Other
Leicestershire,Other,"Dog use, of which",27.0,3.0,4.0,0.0,0.0,0.0,34.0,Other,Total: Dog
Leicestershire,Other,Dog deployed,21.0,2.0,3.0,0.0,0.0,0.0,26.0,Other,Dog: deployed
Leicestershire,Other,Dog bite,6.0,1.0,1.0,0.0,0.0,0.0,8.0,Other,Dog: bite
Leicestershire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Leicestershire,Other,Other / improvised,329.0,55.0,46.0,16.0,3.0,36.0,485.0,Other,Other / improvised
Leicestershire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Leicestershire,Tactical communication,Tactical communication,3431.0,579.0,514.0,139.0,39.0,42.0,4744.0,Excluded: Tactical Communication,Tactical Communication
Lincolnshire,Total (excluding not reported and tactical communication),*Total Tactics,5474.0,172.0,67.0,88.0,37.0,48.0,5886.0,Total,Total: all
Lincolnshire,Restraint,*Total Restraint,2787.0,88.0,40.0,47.0,22.0,26.0,3010.0,Restraint,Total: Restraint
Lincolnshire,Restraint,"Handcuffing, of which",2390.0,80.0,36.0,39.0,18.0,23.0,2586.0,Restraint,Total: Handcuffing
Lincolnshire,Restraint,Compliant handcuffing,1231.0,52.0,25.0,30.0,12.0,14.0,1364.0,Restraint,Handcuffing: compliant
Lincolnshire,Restraint,Non-compliant handcuffing,1159.0,28.0,11.0,9.0,6.0,9.0,1222.0,Restraint,Handcuffing: non-compliant
Lincolnshire,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lincolnshire,Restraint,Limb / Body restraints,133.0,2.0,1.0,3.0,1.0,0.0,140.0,Restraint,Limb / body restraints
Lincolnshire,Restraint,Ground restraint,264.0,6.0,3.0,5.0,3.0,3.0,284.0,Restraint,Ground restraint
Lincolnshire,Unarmed skills,*Total Unarmed skills,1782.0,48.0,20.0,31.0,9.0,12.0,1902.0,Unarmed skills,Total: unarmed skills
Lincolnshire,Other equipment,*Total Other equipment,364.0,15.0,2.0,1.0,3.0,0.0,385.0,Other equipment,Total: Other equipment
Lincolnshire,Other equipment,"Baton, of which",42.0,1.0,1.0,0.0,0.0,0.0,44.0,Other equipment,Total: Baton
Lincolnshire,Other equipment,Baton drawn,31.0,1.0,1.0,0.0,0.0,0.0,33.0,Other equipment,Baton: drawn
Lincolnshire,Other equipment,Baton used,11.0,0.0,0.0,0.0,0.0,0.0,11.0,Other equipment,Baton: used
Lincolnshire,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lincolnshire,Other equipment,"Irritant spray, of which",267.0,11.0,1.0,1.0,1.0,0.0,281.0,Other equipment,Total: Irritant spray
Lincolnshire,Other equipment,Irritant spray - drawn,93.0,4.0,0.0,0.0,1.0,0.0,98.0,Other equipment,Irritant spray: drawn
Lincolnshire,Other equipment,Irritant spray - used,174.0,7.0,1.0,1.0,0.0,0.0,183.0,Other equipment,Irritant spray: used
Lincolnshire,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lincolnshire,Other equipment,Spit and bite guard,45.0,2.0,0.0,0.0,2.0,0.0,49.0,Other equipment,Spit and bite guard
Lincolnshire,Other equipment,Shield,10.0,1.0,0.0,0.0,0.0,0.0,11.0,Other equipment,Shield
Lincolnshire,Less lethal weapons,*Total Less lethal weapons,381.0,14.0,3.0,8.0,2.0,7.0,415.0,Less lethal weapons,Total: Less lethal weapons
Lincolnshire,Less lethal weapons,CED of which,361.0,14.0,3.0,8.0,2.0,7.0,395.0,,
Lincolnshire,Less lethal weapons,CED non-discharge,322.0,10.0,3.0,8.0,2.0,6.0,351.0,,
Lincolnshire,Less lethal weapons,CED discharge,37.0,4.0,0.0,0.0,0.0,1.0,42.0,,
Lincolnshire,Less lethal weapons,CED not stated,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Lincolnshire,Less lethal weapons,"AEP, of which",20.0,0.0,0.0,0.0,0.0,0.0,20.0,Less lethal weapons,Total: AEP
Lincolnshire,Less lethal weapons,AEP drawn,18.0,0.0,0.0,0.0,0.0,0.0,18.0,,
Lincolnshire,Less lethal weapons,AEP used,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,
Lincolnshire,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lincolnshire,Firearms,*Total Firearms,28.0,3.0,1.0,1.0,0.0,1.0,34.0,Firearms,Total: Firearms
Lincolnshire,Other,*Total Other,132.0,4.0,1.0,0.0,1.0,2.0,140.0,Other,Total: Other
Lincolnshire,Other,"Dog use, of which",29.0,1.0,0.0,0.0,0.0,0.0,30.0,Other,Total: Dog
Lincolnshire,Other,Dog deployed,20.0,1.0,0.0,0.0,0.0,0.0,21.0,Other,Dog: deployed
Lincolnshire,Other,Dog bite,9.0,0.0,0.0,0.0,0.0,0.0,9.0,Other,Dog: bite
Lincolnshire,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lincolnshire,Other,Other / improvised,103.0,3.0,1.0,0.0,1.0,2.0,110.0,Other,Other / improvised
Lincolnshire,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Lincolnshire,Tactical communication,Tactical communication,2284.0,70.0,36.0,33.0,9.0,22.0,2454.0,Excluded: Tactical Communication,Tactical Communication
Merseyside,Total (excluding not reported and tactical communication),*Total Tactics,10627.0,466.0,146.0,0.0,69.0,330.0,11638.0,Total,Total: all
Merseyside,Restraint,*Total Restraint,4507.0,212.0,66.0,0.0,28.0,89.0,4902.0,Restraint,Total: Restraint
Merseyside,Restraint,"Handcuffing, of which",3319.0,159.0,54.0,0.0,23.0,57.0,3612.0,Restraint,Total: Handcuffing
Merseyside,Restraint,Compliant handcuffing,930.0,51.0,15.0,0.0,9.0,13.0,1018.0,Restraint,Handcuffing: compliant
Merseyside,Restraint,Non-compliant handcuffing,2389.0,108.0,39.0,0.0,14.0,44.0,2594.0,Restraint,Handcuffing: non-compliant
Merseyside,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Merseyside,Restraint,Limb / Body restraints,292.0,23.0,6.0,0.0,1.0,8.0,330.0,Restraint,Limb / body restraints
Merseyside,Restraint,Ground restraint,896.0,30.0,6.0,0.0,4.0,24.0,960.0,Restraint,Ground restraint
Merseyside,Unarmed skills,*Total Unarmed skills,4586.0,180.0,67.0,0.0,29.0,216.0,5078.0,Unarmed skills,Total: unarmed skills
Merseyside,Other equipment,*Total Other equipment,948.0,37.0,8.0,0.0,3.0,15.0,1011.0,Other equipment,Total: Other equipment
Merseyside,Other equipment,"Baton, of which",138.0,3.0,3.0,0.0,1.0,6.0,151.0,Other equipment,Total: Baton
Merseyside,Other equipment,Baton drawn,86.0,2.0,2.0,0.0,0.0,5.0,95.0,Other equipment,Baton: drawn
Merseyside,Other equipment,Baton used,52.0,1.0,1.0,0.0,1.0,1.0,56.0,Other equipment,Baton: used
Merseyside,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Merseyside,Other equipment,"Irritant spray, of which",595.0,22.0,3.0,0.0,0.0,5.0,625.0,Other equipment,Total: Irritant spray
Merseyside,Other equipment,Irritant spray - drawn,243.0,10.0,1.0,0.0,0.0,1.0,255.0,Other equipment,Irritant spray: drawn
Merseyside,Other equipment,Irritant spray - used,352.0,12.0,2.0,0.0,0.0,4.0,370.0,Other equipment,Irritant spray: used
Merseyside,Other equipment,Irritant spray not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Merseyside,Other equipment,Spit and bite guard,205.0,12.0,2.0,0.0,2.0,4.0,225.0,Other equipment,Spit and bite guard
Merseyside,Other equipment,Shield,10.0,0.0,0.0,0.0,0.0,0.0,10.0,Other equipment,Shield
Merseyside,Less lethal weapons,*Total Less lethal weapons,313.0,17.0,1.0,0.0,6.0,6.0,343.0,Less lethal weapons,Total: Less lethal weapons
Merseyside,Less lethal weapons,CED of which,308.0,17.0,1.0,0.0,6.0,6.0,338.0,,
Merseyside,Less lethal weapons,CED non-discharge,280.0,17.0,1.0,0.0,6.0,5.0,309.0,,
Merseyside,Less lethal weapons,CED discharge,28.0,0.0,0.0,0.0,0.0,1.0,29.0,,
Merseyside,Less lethal weapons,CED not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Merseyside,Less lethal weapons,"AEP, of which",5.0,0.0,0.0,0.0,0.0,0.0,5.0,Less lethal weapons,Total: AEP
Merseyside,Less lethal weapons,AEP drawn,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,
Merseyside,Less lethal weapons,AEP used,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,
Merseyside,Less lethal weapons,AEP not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Merseyside,Firearms,*Total Firearms,36.0,3.0,1.0,0.0,0.0,1.0,41.0,Firearms,Total: Firearms
Merseyside,Other,*Total Other,237.0,17.0,3.0,0.0,3.0,3.0,263.0,Other,Total: Other
Merseyside,Other,"Dog use, of which",28.0,1.0,2.0,0.0,0.0,0.0,31.0,Other,Total: Dog
Merseyside,Other,Dog deployed,16.0,1.0,2.0,0.0,0.0,0.0,19.0,Other,Dog: deployed
Merseyside,Other,Dog bite,12.0,0.0,0.0,0.0,0.0,0.0,12.0,Other,Dog: bite
Merseyside,Other,Dog not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Merseyside,Other,Other / improvised,209.0,16.0,1.0,0.0,3.0,3.0,232.0,Other,Other / improvised
Merseyside,Not reported,*Total Not reported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not reported,Total: Not reported
Merseyside,Tactical communication,Tactical communication,5308.0,232.0,74.0,0.0,40.0,216.0,5870.0,Excluded: Tactical Communication,Tactical Communication
Metropolitan,Total (excluding not reported and tactical communication),*Total Tactics,87840.0,76052.0,24385.0,6461.0,8295.0,2102.0,205135.0,Total,Total: all
Metropolitan,Restraint,*Total Restraint,63452.0,54277.0,18514.0,4654.0,6209.0,1280.0,148386.0,Restraint,Total: Restraint
Metropolitan,Restraint,"Handcuffing, of which",51096.0,44938.0,16283.0,3791.0,5311.0,970.0,122389.0,Restraint,Total: Handcuffing
Metropolitan,Restraint,Compliant handcuffing,36683.0,31405.0,12913.0,2725.0,4184.0,653.0,88563.0,Restraint,Handcuffing: compliant
Metropolitan,Restraint,Non-compliant handcuffing,14413.0,13533.0,3370.0,1066.0,1127.0,317.0,33826.0,Restraint,Handcuffing: non-compliant
Metropolitan,Restraint,Handcuffing not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Metropolitan,Restraint,Limb / Body restraints,4172.0,2917.0,730.0,295.0,322.0,107.0,8543.0,Restraint,Limb / body restraints
Metropolitan,Restraint,Ground restraint,8184.0,6422.0,1501.0,568.0,576.0,203.0,17454.0,Restraint,Ground restraint
Metropolitan,Unarmed skills,*Total Unarmed skills,14918.0,12323.0,3437.0,1063.0,1252.0,435.0,33428.0,Unarmed skills,Total: unarmed skills
Metropolitan,Other equipment,*Total Other equipment,2113.0,2113.0,484.0,162.0,192.0,97.0,5161.0,Other equipment,Total: Other equipment
Metropolitan,Other equipment,"Baton, of which",740.0,909.0,246.0,63.0,79.0,60.0,2097.0,Other equipment,Total: Baton
Metropolitan,Other equipment,Baton drawn,531.0,657.0,168.0,51.0,57.0,42.0,1506.0,Other equipment,Baton: drawn
Metropolitan,Other equipment,Baton used,209.0,252.0,78.0,12.0,22.0,18.0,591.0,Other equipment,Baton: used
Metropolitan,Other equipment,Baton not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Metropolitan,Other equipment,"Irritant spray, of which",508.0,650.0,114.0,45.0,63.0,15.0,1395.0,Other equipment,Total: Irritant spray
Metropolitan,Other equipment,Irritant spray - drawn,289.0,410.0,73.0,25.0,39.0,8.0,844.0,Other equipment,Irritant spray: drawn
