Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
*Total Less lethal weapons,Northamptonshire,Less lethal weapons,Total: Less lethal weapons,None,470.0
CED,Northamptonshire,Less lethal weapons,CED,None,454.0
"AEP, of which",Northamptonshire,Less lethal weapons,Total: AEP,None,16.0
AEP aimed,Northamptonshire,Less lethal weapons,AEP: Aimed,None,9.0
AEP fired,Northamptonshire,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Northamptonshire,Less lethal weapons,AEP: Not stated,None,7.0
*Total Firearms,Northamptonshire,Firearms,Total: Firearms,None,76.0
*Total Other,Northamptonshire,Other,Total: Other,None,656.0
"Dog use, of which",Northamptonshire,Other,Total: Dog,None,91.0
Dog deployed,Northamptonshire,Other,Dog: deployed,None,73.0
Dog bite,Northamptonshire,Other,Dog: bite,None,18.0
Not stated dog,Northamptonshire,Other,Dog: not stated,None,0.0
Other / improvised,Northamptonshire,Other,Other / improvised,None,565.0
*Total Not reported,Northamptonshire,Not reported,Total: Not reported,None,0.0
Tactical communication,Northamptonshire,Excluded: Tactical Communication,Tactical Communication,None,2563.0
*Total Tactics,Northumbria,Total,Total: all,None,25501.0
*Total Restraint,Northumbria,Restraint,Total: Restraint,None,18946.0
"Handcuffing, of which",Northumbria,Restraint,Total: Handcuffing,None,15022.0
Compliant handcuffing,Northumbria,Restraint,Handcuffing: compliant,None,10956.0
Non-compliant handcuffing,Northumbria,Restraint,Handcuffing: non-compliant,None,4066.0
Not stated handcuffing,Northumbria,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Northumbria,Restraint,Limb / body restraints,None,488.0
Ground restraint,Northumbria,Restraint,Ground restraint,None,3436.0
*Total Unarmed skills,Northumbria,Unarmed skills,Total: unarmed skills,None,4752.0
*Total Other equipment,Northumbria,Other equipment,Total: Other equipment,None,767.0
"Baton, of which",Northumbria,Other equipment,Total: Baton,None,201.0
Baton drawn,Northumbria,Other equipment,Baton: drawn,None,157.0
Baton used,Northumbria,Other equipment,Baton: used,None,44.0
Not stated baton,Northumbria,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Northumbria,Other equipment,Total: Irritant spray,None,295.0
Irritant spray - drawn,Northumbria,Other equipment,Irritant spray: drawn,None,145.0
Irritant spray - used,Northumbria,Other equipment,Irritant spray: used,None,150.0
Not stated irritant spray,Northumbria,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Northumbria,Other equipment,Spit and bite guard,None,248.0
Shield,Northumbria,Other equipment,Shield,None,23.0
*Total Less lethal weapons,Northumbria,Less lethal weapons,Total: Less lethal weapons,None,260.0
CED,Northumbria,Less lethal weapons,CED,None,221.0
"AEP, of which",Northumbria,Less lethal weapons,Total: AEP,None,39.0
AEP aimed,Northumbria,Less lethal weapons,AEP: Aimed,None,39.0
AEP fired,Northumbria,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Northumbria,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Northumbria,Firearms,Total: Firearms,None,137.0
*Total Other,Northumbria,Other,Total: Other,None,639.0
"Dog use, of which",Northumbria,Other,Total: Dog,None,133.0
Dog deployed,Northumbria,Other,Dog: deployed,None,106.0
Dog bite,Northumbria,Other,Dog: bite,None,27.0
Not stated dog,Northumbria,Other,Dog: not stated,None,0.0
Other / improvised,Northumbria,Other,Other / improvised,None,506.0
*Total Not reported,Northumbria,Not reported,Total: Not reported,None,0.0
Tactical communication,Northumbria,Excluded: Tactical Communication,Tactical Communication,None,15486.0
*Total Tactics,Nottinghamshire,Total,Total: all,None,6094.0
*Total Restraint,Nottinghamshire,Restraint,Total: Restraint,None,3669.0
"Handcuffing, of which",Nottinghamshire,Restraint,Total: Handcuffing,None,3494.0
Compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: compliant,None,1927.0
Non-compliant handcuffing,Nottinghamshire,Restraint,Handcuffing: non-compliant,None,1567.0
Not stated handcuffing,Nottinghamshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Nottinghamshire,Restraint,Limb / body restraints,None,175.0
Ground restraint,Nottinghamshire,Restraint,Ground restraint,None,0.0
*Total Unarmed skills,Nottinghamshire,Unarmed skills,Total: unarmed skills,None,1452.0
*Total Other equipment,Nottinghamshire,Other equipment,Total: Other equipment,None,217.0
"Baton, of which",Nottinghamshire,Other equipment,Total: Baton,None,87.0
Baton drawn,Nottinghamshire,Other equipment,Baton: drawn,None,55.0
Baton used,Nottinghamshire,Other equipment,Baton: used,None,32.0
Not stated baton,Nottinghamshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Nottinghamshire,Other equipment,Total: Irritant spray,None,108.0
Irritant spray - drawn,Nottinghamshire,Other equipment,Irritant spray: drawn,None,57.0
Irritant spray - used,Nottinghamshire,Other equipment,Irritant spray: used,None,51.0
Not stated irritant spray,Nottinghamshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Nottinghamshire,Other equipment,Spit and bite guard,None,15.0
Shield,Nottinghamshire,Other equipment,Shield,None,7.0
*Total Less lethal weapons,Nottinghamshire,Less lethal weapons,Total: Less lethal weapons,None,166.0
CED,Nottinghamshire,Less lethal weapons,CED,None,164.0
"AEP, of which",Nottinghamshire,Less lethal weapons,Total: AEP,None,2.0
AEP aimed,Nottinghamshire,Less lethal weapons,AEP: Aimed,None,1.0
AEP fired,Nottinghamshire,Less lethal weapons,AEP: Fired,None,1.0
Not stated AEP,Nottinghamshire,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Nottinghamshire,Firearms,Total: Firearms,None,7.0
*Total Other,Nottinghamshire,Other,Total: Other,None,583.0
"Dog use, of which",Nottinghamshire,Other,Total: Dog,None,33.0
Dog deployed,Nottinghamshire,Other,Dog: deployed,None,18.0
Dog bite,Nottinghamshire,Other,Dog: bite,None,15.0
Not stated dog,Nottinghamshire,Other,Dog: not stated,None,0.0
Other / improvised,Nottinghamshire,Other,Other / improvised,None,550.0
*Total Not reported,Nottinghamshire,Not reported,Total: Not reported,None,0.0
Tactical communication,Nottinghamshire,Excluded: Tactical Communication,Tactical Communication,None,2114.0
*Total Tactics,South Wales,Total,Total: all,None,25574.0
*Total Restraint,South Wales,Restraint,Total: Restraint,None,18022.0
"Handcuffing, of which",South Wales,Restraint,Total: Handcuffing,None,15464.0
Compliant handcuffing,South Wales,Restraint,Handcuffing: compliant,None,10910.0
Non-compliant handcuffing,South Wales,Restraint,Handcuffing: non-compliant,None,4554.0
Not stated handcuffing,South Wales,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,South Wales,Restraint,Limb / body restraints,None,415.0
Ground restraint,South Wales,Restraint,Ground restraint,None,2143.0
*Total Unarmed skills,South Wales,Unarmed skills,Total: unarmed skills,None,5415.0
*Total Other equipment,South Wales,Other equipment,Total: Other equipment,None,488.0
"Baton, of which",South Wales,Other equipment,Total: Baton,None,93.0
Baton drawn,South Wales,Other equipment,Baton: drawn,None,62.0
Baton used,South Wales,Other equipment,Baton: used,None,31.0
Not stated baton,South Wales,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",South Wales,Other equipment,Total: Irritant spray,None,213.0
Irritant spray - drawn,South Wales,Other equipment,Irritant spray: drawn,None,121.0
Irritant spray - used,South Wales,Other equipment,Irritant spray: used,None,92.0
Not stated irritant spray,South Wales,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,South Wales,Other equipment,Spit and bite guard,None,175.0
Shield,South Wales,Other equipment,Shield,None,7.0
*Total Less lethal weapons,South Wales,Less lethal weapons,Total: Less lethal weapons,None,482.0
CED,South Wales,Less lethal weapons,CED,None,424.0
"AEP, of which",South Wales,Less lethal weapons,Total: AEP,None,58.0
AEP aimed,South Wales,Less lethal weapons,AEP: Aimed,None,56.0
AEP fired,South Wales,Less lethal weapons,AEP: Fired,None,2.0
Not stated AEP,South Wales,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,South Wales,Firearms,Total: Firearms,None,123.0
*Total Other,South Wales,Other,Total: Other,None,1044.0
"Dog use, of which",South Wales,Other,Total: Dog,None,109.0
Dog deployed,South Wales,Other,Dog: deployed,None,102.0
Dog bite,South Wales,Other,Dog: bite,None,7.0
Not stated dog,South Wales,Other,Dog: not stated,None,0.0
Other / improvised,South Wales,Other,Other / improvised,None,935.0
*Total Not reported,South Wales,Not reported,Total: Not reported,None,45.0
Tactical communication,South Wales,Excluded: Tactical Communication,Tactical Communication,None,10348.0
*Total Tactics,South Yorkshire,Total,Total: all,None,10289.0
*Total Restraint,South Yorkshire,Restraint,Total: Restraint,None,4365.0
"Handcuffing, of which",South Yorkshire,Restraint,Total: Handcuffing,None,3200.0
Compliant handcuffing,South Yorkshire,Restraint,Handcuffing: compliant,None,1296.0
Non-compliant handcuffing,South Yorkshire,Restraint,Handcuffing: non-compliant,None,1904.0
Not stated handcuffing,South Yorkshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,South Yorkshire,Restraint,Limb / body restraints,None,256.0
Ground restraint,South Yorkshire,Restraint,Ground restraint,None,909.0
*Total Unarmed skills,South Yorkshire,Unarmed skills,Total: unarmed skills,None,3868.0
*Total Other equipment,South Yorkshire,Other equipment,Total: Other equipment,None,796.0
"Baton, of which",South Yorkshire,Other equipment,Total: Baton,None,283.0
Baton drawn,South Yorkshire,Other equipment,Baton: drawn,None,175.0
Baton used,South Yorkshire,Other equipment,Baton: used,None,108.0
Not stated baton,South Yorkshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",South Yorkshire,Other equipment,Total: Irritant spray,None,416.0
Irritant spray - drawn,South Yorkshire,Other equipment,Irritant spray: drawn,None,140.0
Irritant spray - used,South Yorkshire,Other equipment,Irritant spray: used,None,276.0
Not stated irritant spray,South Yorkshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,South Yorkshire,Other equipment,Spit and bite guard,None,89.0
Shield,South Yorkshire,Other equipment,Shield,None,8.0
*Total Less lethal weapons,South Yorkshire,Less lethal weapons,Total: Less lethal weapons,None,433.0
CED,South Yorkshire,Less lethal weapons,CED,None,428.0
"AEP, of which",South Yorkshire,Less lethal weapons,Total: AEP,None,5.0
AEP aimed,South Yorkshire,Less lethal weapons,AEP: Aimed,None,5.0
AEP fired,South Yorkshire,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,South Yorkshire,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,South Yorkshire,Firearms,Total: Firearms,None,46.0
*Total Other,South Yorkshire,Other,Total: Other,None,781.0
"Dog use, of which",South Yorkshire,Other,Total: Dog,None,93.0
Dog deployed,South Yorkshire,Other,Dog: deployed,None,59.0
Dog bite,South Yorkshire,Other,Dog: bite,None,34.0
Not stated dog,South Yorkshire,Other,Dog: not stated,None,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,None,688.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,None,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,None,3354.0
*Total Tactics,Staffordshire,Total,Total: all,None,5217.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,None,2996.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,None,1854.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,None,0.0
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,None,0.0
Not stated handcuffing,Staffordshire,Restraint,Handcuffing: not stated,None,1854.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,None,218.0
Ground restraint,Staffordshire,Restraint,Ground restraint,None,924.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,None,1449.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,None,555.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,None,105.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,None,58.0
Baton used,Staffordshire,Other equipment,Baton: used,None,47.0
Not stated baton,Staffordshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,None,368.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,None,181.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,None,187.0
Not stated irritant spray,Staffordshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,None,69.0
Shield,Staffordshire,Other equipment,Shield,None,13.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,None,23.0
CED,Staffordshire,Less lethal weapons,CED,None,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,None,23.0
AEP aimed,Staffordshire,Less lethal weapons,AEP: Aimed,None,22.0
AEP fired,Staffordshire,Less lethal weapons,AEP: Fired,None,1.0
Not stated AEP,Staffordshire,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,None,21.0
*Total Other,Staffordshire,Other,Total: Other,None,173.0
"Dog use, of which",Staffordshire,Other,Total: Dog,None,78.0
Dog deployed,Staffordshire,Other,Dog: deployed,None,62.0
Dog bite,Staffordshire,Other,Dog: bite,None,16.0
Not stated dog,Staffordshire,Other,Dog: not stated,None,0.0
Other / improvised,Staffordshire,Other,Other / improvised,None,95.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,None,6.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,None,2268.0
*Total Tactics,Suffolk,Total,Total: all,None,3989.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,None,2448.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,None,2026.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,None,1107.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,None,919.0
Not stated handcuffing,Suffolk,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,None,189.0
Ground restraint,Suffolk,Restraint,Ground restraint,None,233.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,None,646.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,None,278.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,None,13.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,None,8.0
Baton used,Suffolk,Other equipment,Baton: used,None,5.0
Not stated baton,Suffolk,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,None,216.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,None,95.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,None,121.0
Not stated irritant spray,Suffolk,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,None,46.0
Shield,Suffolk,Other equipment,Shield,None,3.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,None,18.0
CED,Suffolk,Less lethal weapons,CED,None,0.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,None,18.0
AEP aimed,Suffolk,Less lethal weapons,AEP: Aimed,None,18.0
AEP fired,Suffolk,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Suffolk,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,None,24.0
*Total Other,Suffolk,Other,Total: Other,None,575.0
"Dog use, of which",Suffolk,Other,Total: Dog,None,17.0
Dog deployed,Suffolk,Other,Dog: deployed,None,6.0
Dog bite,Suffolk,Other,Dog: bite,None,11.0
Not stated dog,Suffolk,Other,Dog: not stated,None,0.0
Other / improvised,Suffolk,Other,Other / improvised,None,558.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,None,53.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,None,1555.0
*Total Tactics,Surrey,Total,Total: all,None,7657.0
*Total Restraint,Surrey,Restraint,Total: Restraint,None,5085.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,None,2463.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,None,2172.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,None,291.0
Not stated handcuffing,Surrey,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,None,1417.0
Ground restraint,Surrey,Restraint,Ground restraint,None,1205.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,None,583.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,None,324.0
"Baton, of which",Surrey,Other equipment,Total: Baton,None,53.0
Baton drawn,Surrey,Other equipment,Baton: drawn,None,5.0
Baton used,Surrey,Other equipment,Baton: used,None,48.0
Not stated baton,Surrey,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,None,186.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,None,98.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,None,88.0
Not stated irritant spray,Surrey,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,None,84.0
Shield,Surrey,Other equipment,Shield,None,1.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,None,266.0
CED,Surrey,Less lethal weapons,CED,None,261.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,None,5.0
AEP aimed,Surrey,Less lethal weapons,AEP: Aimed,None,5.0
AEP fired,Surrey,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Surrey,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,None,75.0
*Total Other,Surrey,Other,Total: Other,None,1324.0
"Dog use, of which",Surrey,Other,Total: Dog,None,11.0
Dog deployed,Surrey,Other,Dog: deployed,None,8.0
Dog bite,Surrey,Other,Dog: bite,None,3.0
Not stated dog,Surrey,Other,Dog: not stated,None,0.0
Other / improvised,Surrey,Other,Other / improvised,None,1313.0
*Total Not reported,Surrey,Not reported,Total: Not reported,None,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,None,613.0
*Total Tactics,Sussex,Total,Total: all,None,23007.0
*Total Restraint,Sussex,Restraint,Total: Restraint,None,12571.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,None,6328.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,None,0.0
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,None,0.0
Not stated handcuffing,Sussex,Restraint,Handcuffing: not stated,None,6328.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,None,3545.0
Ground restraint,Sussex,Restraint,Ground restraint,None,2698.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,None,8690.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,None,721.0
"Baton, of which",Sussex,Other equipment,Total: Baton,None,152.0
Baton drawn,Sussex,Other equipment,Baton: drawn,None,31.0
Baton used,Sussex,Other equipment,Baton: used,None,18.0
Not stated baton,Sussex,Other equipment,Baton: not stated,None,103.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,None,527.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,None,72.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,None,81.0
Not stated irritant spray,Sussex,Other equipment,Irritant spray: not stated,None,374.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,None,42.0
Shield,Sussex,Other equipment,Shield,None,0.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,None,307.0
CED,Sussex,Less lethal weapons,CED,None,307.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,None,0.0
AEP aimed,Sussex,Less lethal weapons,AEP: Aimed,None,0.0
AEP fired,Sussex,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Sussex,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,None,117.0
*Total Other,Sussex,Other,Total: Other,None,601.0
"Dog use, of which",Sussex,Other,Total: Dog,None,68.0
Dog deployed,Sussex,Other,Dog: deployed,None,19.0
Dog bite,Sussex,Other,Dog: bite,None,10.0
Not stated dog,Sussex,Other,Dog: not stated,None,39.0
Other / improvised,Sussex,Other,Other / improvised,None,533.0
*Total Not reported,Sussex,Not reported,Total: Not reported,None,251.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,None,1330.0
*Total Tactics,Thames Valley,Total,Total: all,None,25911.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,None,15880.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,None,10431.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,None,4556.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,None,5578.0
Not stated handcuffing,Thames Valley,Restraint,Handcuffing: not stated,None,297.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,None,852.0
Ground restraint,Thames Valley,Restraint,Ground restraint,None,4597.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,None,7004.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,None,1489.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,None,309.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,None,113.0
Baton used,Thames Valley,Other equipment,Baton: used,None,119.0
Not stated baton,Thames Valley,Other equipment,Baton: not stated,None,77.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,None,878.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,None,316.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,None,562.0
Not stated irritant spray,Thames Valley,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,None,264.0
Shield,Thames Valley,Other equipment,Shield,None,38.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,None,734.0
CED,Thames Valley,Less lethal weapons,CED,None,723.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,None,11.0
AEP aimed,Thames Valley,Less lethal weapons,AEP: Aimed,None,10.0
AEP fired,Thames Valley,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Thames Valley,Less lethal weapons,AEP: Not stated,None,1.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,None,58.0
*Total Other,Thames Valley,Other,Total: Other,None,746.0
"Dog use, of which",Thames Valley,Other,Total: Dog,None,87.0
Dog deployed,Thames Valley,Other,Dog: deployed,None,57.0
Dog bite,Thames Valley,Other,Dog: bite,None,27.0
Not stated dog,Thames Valley,Other,Dog: not stated,None,3.0
Other / improvised,Thames Valley,Other,Other / improvised,None,659.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,None,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,None,13014.0
*Total Tactics,Warwickshire,Total,Total: all,None,2110.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,None,1171.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,None,872.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,None,389.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,None,483.0
Not stated handcuffing,Warwickshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,None,25.0
Ground restraint,Warwickshire,Restraint,Ground restraint,None,274.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,None,455.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,None,179.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,None,34.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,None,21.0
Baton used,Warwickshire,Other equipment,Baton: used,None,13.0
Not stated baton,Warwickshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,None,102.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,None,42.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,None,60.0
Not stated irritant spray,Warwickshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,None,37.0
Shield,Warwickshire,Other equipment,Shield,None,6.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,None,1.0
CED,Warwickshire,Less lethal weapons,CED,None,0.0
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,None,1.0
AEP aimed,Warwickshire,Less lethal weapons,AEP: Aimed,None,0.0
AEP fired,Warwickshire,Less lethal weapons,AEP: Fired,None,1.0
Not stated AEP,Warwickshire,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,None,53.0
*Total Other,Warwickshire,Other,Total: Other,None,251.0
"Dog use, of which",Warwickshire,Other,Total: Dog,None,36.0
Dog deployed,Warwickshire,Other,Dog: deployed,None,34.0
Dog bite,Warwickshire,Other,Dog: bite,None,2.0
Not stated dog,Warwickshire,Other,Dog: not stated,None,0.0
Other / improvised,Warwickshire,Other,Other / improvised,None,215.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,None,37.0
Tactical communication,Warwickshire,Excluded: Tactical Communication,Tactical Communication,None,410.0
*Total Tactics,West Mercia,Total,Total: all,None,9408.0
*Total Restraint,West Mercia,Restraint,Total: Restraint,None,5002.0
"Handcuffing, of which",West Mercia,Restraint,Total: Handcuffing,None,3395.0
Compliant handcuffing,West Mercia,Restraint,Handcuffing: compliant,None,1595.0
Non-compliant handcuffing,West Mercia,Restraint,Handcuffing: non-compliant,None,1800.0
Not stated handcuffing,West Mercia,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,West Mercia,Restraint,Limb / body restraints,None,170.0
Ground restraint,West Mercia,Restraint,Ground restraint,None,1437.0
*Total Unarmed skills,West Mercia,Unarmed skills,Total: unarmed skills,None,2228.0
*Total Other equipment,West Mercia,Other equipment,Total: Other equipment,None,642.0
"Baton, of which",West Mercia,Other equipment,Total: Baton,None,131.0
Baton drawn,West Mercia,Other equipment,Baton: drawn,None,76.0
Baton used,West Mercia,Other equipment,Baton: used,None,55.0
Not stated baton,West Mercia,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",West Mercia,Other equipment,Total: Irritant spray,None,380.0
Irritant spray - drawn,West Mercia,Other equipment,Irritant spray: drawn,None,172.0
Irritant spray - used,West Mercia,Other equipment,Irritant spray: used,None,208.0
Not stated irritant spray,West Mercia,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,West Mercia,Other equipment,Spit and bite guard,None,116.0
Shield,West Mercia,Other equipment,Shield,None,15.0
*Total Less lethal weapons,West Mercia,Less lethal weapons,Total: Less lethal weapons,None,7.0
CED,West Mercia,Less lethal weapons,CED,None,0.0
"AEP, of which",West Mercia,Less lethal weapons,Total: AEP,None,7.0
AEP aimed,West Mercia,Less lethal weapons,AEP: Aimed,None,7.0
AEP fired,West Mercia,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,West Mercia,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,West Mercia,Firearms,Total: Firearms,None,129.0
*Total Other,West Mercia,Other,Total: Other,None,1400.0
"Dog use, of which",West Mercia,Other,Total: Dog,None,164.0
Dog deployed,West Mercia,Other,Dog: deployed,None,142.0
Dog bite,West Mercia,Other,Dog: bite,None,22.0
Not stated dog,West Mercia,Other,Dog: not stated,None,0.0
Other / improvised,West Mercia,Other,Other / improvised,None,1236.0
